"longitude","latitude"
142.5758679631,-11.756963469
143.30638889,-12.78527778
143.11888889,-13.75305556
143.1189,-13.7531
143.1992566575,-13.9389675568
143.1992566875,-13.9389675368
143.3172530378,-14.3052822519
143.54972222,-13.97694444
143.6372222222,-14.0797222222
144.3475,-15.17833333
144.61694444,-15.3030555595
145.2508448976,-15.4152729395
144.80944444,-15.8633333295
145.0591811039,-15.7069386117
145.32555556,-15.59194444
145.09027778,-16.34444444
145.4036231157,-16.3291571605
145.3333,-16.75
145.3333,-16.75
145.8441749647,-16.8777647246
145.145,-17.6873
143.9022222222,-18.4566666667
144.8758564962,-18.0902624533
145.5091834067,-18.3902594955
146.30095892,-18.3463150194
146.30097,-18.34631
146.3258402124,-18.3402572974
143.88694444,-18.5425
144.49166667,-18.96027778
145.4258517132,-18.5902590185
144.46111111,-19.09083333
145.30138889,-19.10305556
145.97555556,-19.3874999994
146.0925122774,-19.1235884067
146.1075,-19.0178
146.1075,-19.0177777794
146.11444444,-19.11888889
146.17,-19.1347
146.31861111,-19.38222222
146.75,-19.3333
146.7758374038,-19.1402528955
145.6758518799,-19.4902551631
146.0591817839,-19.80691954
146.3355661722,-19.4852530483
146.7236175973,-19.6471956808
146.7425071403,-19.8902503483
145.9128,-20.2164
146.23916667,-20.13277778
146.6091761741,-20.0902501302
148.4424866329,-20.0902440976
148.4591530202,-20.0735774363
145.2,-20.4925
145.23305556,-20.48722222
147.7833,-20.5667
147.7924966698,-20.5735778679
147.8591624893,-20.5735776413
145.0092008419,-21.4235855723
148.08972222,-21.0713888894
148.09305556,-21.0866666694
148.12111111,-21.2166666694
148.9591502195,-21.0402389586
149.2167,-21.0667
149.2258135495,-21.0735712569
149.2508139092,-21.2485705628
146.8758453749,-21.5402448941
146.42808889,-22.1763277793
147.9886115855,-22.1077391742
149.4758156085,-22.3735661333
149.8591463361,-22.9402296925
150.8258013322,-23.256891703
150.9757989731,-23.1902246642
149.0841612804,-23.9152303534
151.3685744632,-23.8749433631
148.6495594073,-24.4576476317
151.93755194,-24.8165255293
152.0091262621,-24.9568823436
147.585,-25.4244444393
147.66,-25.4388888893
149.64527778,-25.2913888893
150.48769435,-25.3292507193
150.8710884105,-25.2821642551
151.29002526,-25.1488850493
151.3666666667,-25.4488888882
151.4,-25.3022222193
151.41905869,-25.3273064893
148.8465099339,-25.5247571577
151.3833,-25.9833
151.3889112731,-25.9828525805
