"longitude","latitude"
142.4175353697,-10.9153018964
130.651209406,-11.381935248
130.66787413,-11.43193269
132.144494113,-11.154196277
132.15,-11.17
132.15,-11.17
132.151190138,-11.148596052
132.151190138,-11.148596052
132.151190138,-11.148596052
132.1731,-11.3241
132.534515953,-11.081928155
132.567862747,-11.015267058
132.967852642,-11.431921259
130.601212084,-11.538596402
130.684533504,-11.731928501
131.217871432,-11.765268226
133.1833,-11.7667
133.184519522,-11.765261021
133.45,-11.8056
133.45,-11.8056
133.451181223,-11.804144406
142.9258644884,-11.940295337
131.017874401,-12.365268965
131.18453668,-12.3985936
131.261778159,-12.149695302
132.239942276,-12.174151499
132.3667,-12.3833
132.9333,-12.3833
132.934526115,-12.398586711
132.9442,-12.3575
132.9442,-12.3575
132.9442,-12.3575
132.9442,-12.3575
132.951187868,-12.381920849
132.9709,-12.4458
133.051186137,-12.331915582
133.334513262,-12.215256327
134.234505131,-12.048581956
134.301176195,-11.998579196
134.451180782,-12.13191634
134.884502165,-12.065253717
134.9333,-12.3
134.9333,-12.3
134.9833,-12.2833
134.9833,-12.2833
135.584499449,-11.998579027
135.5917,-12
136.017829546,-12.115246035
136.351161049,-12.131904404
143.0925296143,-12.1236274157
130.591215271,-12.503299678
130.86730732,-12.55299234
130.95,-12.6667
131,-12.9167
131,-12.9167
131.016666666667,-12.4833333333333
131.017879853,-12.731925924
131.017882253,-12.481930563
131.051212351,-12.615265189
131.2,-12.5
131.21787615,-12.53192383
131.316666666667,-12.6666666666667
131.31666667,-12.66666667
131.3744,-12.8078
131.3845357,-12.7985964
131.466666666667,-12.5333333333333
131.4667,-12.5333
131.467874834,-12.531920836
131.645333333,-12.908416666
132.416666666667,-12.5833333333333
132.4167,-12.5833
132.417866686,-12.581919323
132.417866686,-12.581919323
132.520278,-12.906667
132.5203,-12.9067
132.834525876,-12.848582849
132.8833,-12.6667
132.884491827,-12.515289622
132.9,-12.95
132.901193273,-12.948588129
132.917868128,-12.831914665
132.951189835,-12.748588365
133.351192126,-12.498587327
143.175862582,-12.5069584827
143.2258624129,-12.7569570347
130.1278,-13.0967
130.1278,-13.0967
130.128804,-13.095383
130.1333,-13.1667
130.1333,-13.1667
130.134544191,-13.165264151
130.1392,-13.1697
130.183,-13.1167
130.1833,-13.1167
130.184548931,-13.115268486
130.234519496,-13.248600337
130.3833,-13.1
130.7,-13.0667
130.701217444,-13.065262771
130.717883212,-13.1985939
132.2667,-13.1333
132.2667,-13.1333
132.267871386,-13.131920255
132.7667,-13.2333
132.8,-13.1833
132.801195284,-13.181919445
132.801199934,-13.098584505
134.15,-13.3333
134.15,-13.33
134.151189073,-13.331909405
135.7236,-13.1022
135.724781485,-13.100795718
142.9669768515,-13.1066777826
129.75,-13.95
129.751221877,-13.94859698
130.4667,-13.6333
130.4667,-13.6333
130.484549983,-13.631895416
130.551218626,-13.698595438
130.71788998,-13.66526264
132.5167,-13.5167
132.51786758,-13.51525372
134.45,-13.73
134.451186806,-13.731908584
135.517845187,-13.531906011
142.192541919,-13.8402865619
126.6,-14.3
127.5167,-14.1
127.5167,-14.1
127.5167,-14.1
131.666666666667,-14.0333333333333
131.66787924,-14.03191488
132.1833,-14.2
132.18453264,-14.19858931
132.367878426,-14.415253337
132.40917,-14.39944
132.4167,-14.3
132.4167,-14.3
132.417875004,-14.331911204
132.417876291,-14.298586323
132.42,-14.3
132.434537908,-14.315253215
132.467873719,-14.298582122
132.584537934,-14.465255041
133.251197993,-14.165247936
134.717850497,-14.231901376
143.66277778,-14.22638889
125.76666667,-14.86666667
125.7667,-14.8833
125.7667,-14.8
125.80138889,-14.61138889
125.80138889,-14.61138889
126.8333,-14.8333
127.08333333,-14.78333333
132.0889,-14.7136
132.090097161,-14.712199103
132.1,-14.65
132.134537126,-14.598585919
132.134539706,-14.581913708
132.1667,-14.5833
132.251209014,-14.498583892
132.301210677,-14.848582175
132.417873544,-14.498579717
132.5833,-14.5
132.8719,-14.5411
132.934536429,-14.515252614
133.284534932,-14.915250642
133.5,-14.6
134.71667,-14.71667
141.675882816,-14.8736163814
144.08,-14.75
144.08,-14.75
125.008611111,-15.105833333
128.14306,-15.07705
128.15493,-15.10795
134.101197083,-15.148577806
141.7,-15.0333
141.7072,-15.0208
143.6669,-15.0247
143.667,-15.0244
143.6678618327,-15.0232781574
144.2508554937,-15.0819433245
128.11666667,-15.48333333
128.12166667,-15.48638889
128.735,-15.762
128.7372,-15.6386
128.7372,-15.6386
128.7372,-15.6386
130.2222,-15.95
131.151221659,-15.615254868
144.267584,-15.915346
144.2676,-15.9153
144.2676,-15.9153
144.267751573,-15.915187969
144.2758571911,-15.9236060757
123.78,-16.15
127.1978,-16.2936
130.401233566,-16.198589406
130.401235377,-16.231921154
133.334535577,-16.248574339
136.0667,-16.2667
122.98333333,-16.51666667
122.984401,-16.515405
122.984618881,-16.515308735
123.70555556,-16.61666667
123.706621,-16.615403
125.28333333,-16.51666667
128.256556,-16.714944
130.301234141,-16.881924767
131.217899335,-16.798591149
135.43452463,-16.81523388
136.467850799,-16.74855797
136.776460928,-16.87772285
126.5344,-17.3267
128,-17
128.05,-17.23
128.25,-17.18
128.2512563,-16.9986065
128.251257222,-17.181931308
128.35,-17.35
128.3639,-17.3361
128.3639,-17.3361
128.41666667,-17.31666667
128.42,-17.45
128.42,-17.45
136.701182716,-17.048549526
137.267841888,-17.015225018
137.701172943,-17.181873744
137.717837244,-17.248550415
137.884501692,-17.381871485
124.8,-17.5
125.3,-17.9
126.0206,-17.5469
130.517915654,-17.548588667
138.023,-17.534
138.0233333333,-17.5338888889
139.342581746,-17.8902799078
141.2592280859,-17.6236079744
127.75,-18.2
138.1759280992,-18.3736161859
142.2333861592,-18.1436035413
143.684435257,-18.181835571
143.7508698268,-18.2485985795
144.0841988565,-18.0819314705
137.827582035,-18.869941177
138.2759276462,-18.5069489725
138.2925941538,-18.5069489154
138.4175938767,-18.7486147867
138.4259261487,-18.4902818188
138.4925929958,-18.7069479208
137.912883689,-19.196344595
138.6667,-18.9833
139.3425879069,-19.5236103566
