"longitude","latitude"
130.667880099,-11.448602653
132.501191868,-11.165262528
132.95,-11.38
132.951188064,-11.398589342
132.9667,-11.4
130.634541298,-11.765269346
133.101183126,-11.531920059
131.258133877,-12.204253009
131.467871109,-12.348592882
131.517874805,-12.348595905
132.242659367,-12.177792104
132.317868189,-12.398594267
132.634525313,-12.465262523
132.851193872,-12.465257837
132.9,-12.4667
132.95118809,-12.46525801
134.6833,-12.3333
134.684507483,-12.331914437
134.701179612,-12.415245986
134.834500664,-12.31525368
130.584547206,-12.815264709
130.6833,-12.8
130.784542684,-12.965266199
130.8639,-12.5569
131.35121055,-12.66526366
132.417866686,-12.581919323
132.551193351,-12.715260897
132.5833,-12.7167
132.584528697,-12.715259683
132.6,-12.7333
132.81950137,-12.50286884
132.8333,-12.5167
132.85,-12.475
130.55451637,-13.43641842
130.585,-12.993
131.1667,-13.4667
131.1764,-13.8358
134.451181016,-13.598578095
134.451181016,-13.598578095
130.95044,-14.12892
131.02689,-14.01661
131.25602,-14.14825
132.1667,-14.1833
132.417876291,-14.298586323
132.7154,-14.0673
134.150833333,-14.088055556
134.49086,-14.01224
134.751186435,-14.015243489
125.7667,-14.9
125.80138889,-14.61138889
125.834583661,-14.815291858
125.83742445,-14.81941425
125.85,-14.82
125.85,-14.82
125.85,-14.8167
126.91666667,-14.81666667
132.0856,-14.7161
133.08765,-14.56418
133.134529796,-14.915251775
133.167874034,-14.931905616
134.42374,-14.84903
134.793,-14.774
134.9,-14.6
134.901184283,-14.598567241
125.5,-15.2
125.534596072,-15.198622835
126.15,-15.13
126.151258502,-15.131943928
126.71666667,-15.26666667
126.91666667,-15.03333333
126.9167,-15.0333
128.63555556,-15.17777778
128.6356,-15.1778
129.450555556,-15.207222222
129.4506,-15.2072
133.167871943,-15.015246259
142.17166667,-15.46305556
127.55666667,-15.83805556
128.33444444,-15.64555556
128.53305556,-15.48305556
128.65458046,-15.60856482
128.7319,-15.7231
128.732,-15.723
128.7333,-15.75
128.734570475,-15.73193472
