"longitude","latitude"
142.3686,-10.8461
132.867862103,-11.420789725
142.37,-11.2
131.017874401,-12.365268965
131.047011157,-12.148592607
131.0843,-12.46531
131.084533133,-12.398594104
131.084537087,-12.415268445
131.084537087,-12.415268445
131.1,-12.28
131.138143802,-12.449156371
131.217876325,-12.365266158
131.584537487,-12.348594727
132.242659367,-12.177792104
132.3,-12.3
132.301192813,-12.298595081
132.301195722,-12.34858886
132.684490945,-12.198590492
132.684518501,-12.198590724
132.834341,-12.432045
132.847777778,-12.191111111
132.8488,-12.1898
132.85,-12.43
132.86789415,-12.46529084
132.917859661,-12.281919067
134.084509782,-12.298579085
134.234505374,-12.148583069
134.234505374,-12.148583069
134.234505374,-12.148583069
134.26785057,-11.98190981
134.301176195,-11.998579196
134.384503607,-12.248580942
134.5,-12.22
134.5,-12.2167
134.501176494,-12.215250656
134.753673005,-12.072195284
134.984506459,-12.248583154
134.98688,-12.20698
136.295596261,-12.439401552
136.39420511,-12.3469051
136.77,-12.17
136.8,-12.25
136.8,-12.2
136.8833,-12.2833
136.884483137,-12.281904988
136.884485148,-12.248570385
136.88925748,-12.24966707
136.92226248,-12.3594001
130.875098212,-12.524710548
130.967880736,-12.565270124
130.9833,-12.7
131.051212351,-12.615265189
131.151212202,-12.781926146
131.251208348,-12.631925612
131.27,-12.57
131.634531286,-12.498591334
132.301197774,-12.615258966
132.367865732,-12.73192382
132.400636929,-12.592196318
132.401193176,-12.565260965
132.417866686,-12.581919323
132.4667,-12.65
132.551191445,-12.615257487
132.901195886,-12.565261914
134.901170117,-12.531911616
134.9667,-12.4833
134.97,-12.48
135.401171347,-12.915246085
135.401171347,-12.915246085
135.4667,-12.8833
135.467867135,-12.881877062
136.234494189,-12.615246439
136.43,-12.9
136.434490318,-12.898571595
136.790872359,-12.499397597
142.5,-12.5167
130.801212611,-13.198599636
132.8,-13.1
132.801199934,-13.098584505
135.901447114,-13.224414908
136.182222222,-13.049722222
136.1832,-13.0484
141.751100762,-13.065213356
141.767773109,-13.365214781
141.834430574,-13.315212103
141.8416667,-13.325
143,-13.1194
130.45,-13.7666666666667
130.451216186,-13.765263417
130.601215468,-13.598594218
130.751218378,-13.748598425
136.71783238,-13.91523757
141.63443936,-13.61520979
129.55,-14.1
130.451224782,-14.215261763
135.79277,-14.2139
133.067876588,-14.931913664
133.07,-14.92
133.07,-14.92
133.084530582,-14.915245349
133.134529796,-14.915251775
133.284534932,-14.915250642
133.401194687,-14.798580755
141.501112834,-14.498540225
142.484433504,-14.815205571
133.067872607,-15.115249587
133.251203421,-15.015251565
133.251203421,-15.015251565
135.55,-15.3333
145.15,-15.4333
136.4,-15.9
142.701102586,-15.48185421
142.7083333,-15.4916667
145.2291666667,-15.5063888889
145.251070707,-15.498513825
145.3761,-16.2792
145.3761,-16.2792
145.3833,-16.2833
145.3833,-16.2833
145.3833,-16.2667
122.6667,-16.9667
125.92888889,-16.65833333
122.2667,-17.1583
122.65129237,-16.98196856
126.487,-17.136
125.38461172,-17.98195442
