"longitude","latitude"
142.8333,-11.6333
148.53,-21.45
148.5424906087,-21.4569057072
151.8330936382,-26.4000118675
152.7667,-26.4333
152.7757897018,-26.4402090697
152.8924538422,-26.2902088549
151.6366419626,-26.8707690883
151.8569828718,-26.5116782698
151.857,-26.511
151.8608,-26.4808
151.8617048369,-26.4794560609
151.8619,-26.4792
151.8855259102,-26.6338238668
151.8867052892,-26.6102891009
151.8975382416,-26.5702891048
151.9174715156,-26.9152121519
151.95,-26.83
151.965555555556,-26.8361111111111
151.9656,-26.8361
151.9656,-26.8361
151.966427808,-26.8347328688
151.9667,-26.7333
152.02,-26.93
152.1833,-26.8667
152.7507927312,-26.9152082977
152.909747034,-26.607784182
152.08536457,-27.3023647192
152.7302398435,-27.3240966047
152.7667,-27.3333
152.7794040511,-27.0252079792
152.8667,-27.4667
152.867531,-27.465284
152.87,-27.47
152.8757941349,-27.4735401354
152.9091267793,-27.4402066968
152.9174598424,-27.4152066966
152.92,-27.42
152.1508066129,-27.7779876258
152.75,-27.5167
152.7591294857,-27.5235406105
152.9257935935,-27.5068731827
153.1155555556,-27.5133333325
153.1156,-27.5133
153.1156388889,-27.5133333325
152.3333,-28.3167
152.3916666667,-28.2916666659
152.4836,-28.2314
152.4836111,-28.2313889
152.4844156315,-28.2299299197
152.486,-28.2389
152.64055556,-27.9797222192
152.6667,-28.0333
152.6667,-28.0333
152.6667,-28.0333
152.67,-28.03
152.9375556176,-28.3119381125
152.9719089471,-28.3168718738
153.2852777778,-28.2111111103
152.3,-28.62
152.745,-28.9078
152.74656,-28.90539
152.74703,-28.90606
153.23,-28.78
153.33,-28.72
153.33,-28.65
153.3333,-28.65
153.3333,-28.65
153,-29.62
153.05,-30.4
152.4,-30.7667
152.4,-30.48333
152.67,-31.08
