"longitude","latitude"
142.43,-10.85
142.47,-10.78
142.47,-10.78
145,-16.2333
145,-16.2333
145.0333,-16.25
145.05,-16.27
145.05,-16.25
145.05,-16.25
145.0549674932,-16.2645599316
145.0643218489,-16.2645553329
145.08,-16.28
145.08,-16.27
145.0833,-16.2833
145.0833,-16.2833
145.0833,-16.2833
145.0833,-16.2833
145.0833,-16.2833
145.0833,-16.2833
145.0833,-16.2833
145.0833,-16.2833
145.0833,-16.2833
145.0833,-16.2833
145.0833,-16.2833
145.0833,-16.2833
145.0833,-16.2667
145.0833,-16.2667
145.0833,-16.2667
145.0833,-16.2667
145.0833,-16.2667
145.0833,-16.2667
145.0833,-16.2667
145.0833,-16.2667
145.0833,-16.2667
145.0833,-16.25
145.0833,-16.25
145.0833,-16.2167
145.0841821526,-16.2486027255
145.084403054,-16.281844207
145.0925154114,-16.2569360015
145.0925154539,-16.2736025933
145.0925154572,-16.2736025933
145.0925154966,-16.2902691852
145.0925154966,-16.2902691852
145.1667,-16.25
145.1667,-16.25
145.1667,-16.25
145.1667,-16.25
145.1667,-16.25
145.1667,-16.25
145.2833,-16.0833
145.2833,-16.0833
145.1667,-16.5
145.1667,-16.5
145.1667,-16.5
145.1667,-16.5
145.1667,-16.5
145.1667,-16.5
145.1667,-16.5
145.1667,-16.5
145.1667,-16.5
145.1667,-16.5
145.1667,-16.5
145.25,-16.57
145.25,-16.5667
145.25,-16.5667
145.25,-16.5667
145.25,-16.5667
145.25,-16.5667
145.25,-16.5667
145.251075899,-16.56517871
145.259180978,-16.5736008549
145.2775,-16.5933
145.2833,-16.5
145.2833,-16.5
145.3333,-16.5333
145.3333,-16.5333
145.3333,-16.5333
145.3333,-16.5333
145.3333,-16.5333
152.9167,-26.75
152.9167,-26.75
152.92,-26.75
152.9257892672,-26.7568744535
152.0667,-27.0333
152.6667,-27.3333
152.6667,-27.3333
152.667713495,-27.331740969
152.75,-27.42
152.75,-27.25
152.7507956331,-27.4152074789
152.7563506175,-27.3313186956
153.2094032534,-27.9674267243
152.4680967289,-28.2561178337
153.2757543703,-28.2163572717
152.7667,-28.5333
153.3167,-28.6333
152.421,-29.19
152.25,-29.56667
153.08,-30.25
153.08,-30.25
153.0833,-30.25
153.0833,-30.25
153.0833,-30.25
153.0833,-30.25
153.0833,-30.25
153.0833,-30.25
153.0833,-30.25
153.0833,-30.25
