"longitude","latitude"
142.1758709325,-10.6069706398
142.2,-10.5667
142.2014,-10.6003
142.20921667,-10.61313333
142.2167,-10.5833
142.22138889,-10.57444444
142.2214,-10.5744
142.2225,-10.545
142.2225,-10.545
142.2225,-10.545
142.225,-10.5749999997
142.25,-10.75
142.25,-10.75
142.25,-10.75
142.25,-10.5833
142.25,-10.5833
142.25,-10.5833
142.25,-10.5833
142.2528,-10.5919
142.2667,-10.5833
142.2925364067,-10.6236371053
142.45,-10.9333
142.4539,-10.9586
142.4539,-10.9586
142.4592016251,-10.940301707
142.4592016413,-10.9569682736
142.4706,-10.7233
142.4706,-10.7233
142.4758679149,-10.7236363365
142.35,-11.1333
142.35,-11.1333
142.35,-11.13
142.35,-11.13
142.35,-11.13
142.351084726,-11.13188699
142.3592025368,-11.1403009487
142.3667,-11.2167
142.3667,-11.2167
142.367753599,-11.215227598
142.37,-11.22
142.75,-11.05
142.0083,-11.9272
142.0211,-11.8864
142.7583658454,-11.595297528
141.7092110435,-12.3069615913
141.7149945194,-12.2550237474
141.7925435221,-12.3069614725
141.8925425374,-12.3402944994
142.1775,-12.36305556
142.6144444444,-12.3708333333
142.7597,-12.4156
142.7606474142,-12.414253242
142.7608,-12.4142
143.01666667,-12.46666667
143.0258641411,-12.4736255414
143.05,-12.28
143.1333,-12.35
143.2667,-12.4167
143.2667,-12.4167
143.2758613889,-12.4236254779
141.87305,-12.672133333
141.8758764603,-12.6236263858
142.003888889,-12.6527777776
142.02302944,-12.64417464
142.14960428,-12.69038411
142.2,-12.7167
143.0503,-12.7969
143.0503,-12.7969
143.184417635,-12.715215074
143.1925293879,-12.7236239319
143.2098068263,-12.7308667773
143.2425286043,-12.5569581123
143.2758615308,-12.5236249182
143.3833,-12.6
143.3925270597,-12.6069576241
143.4,-12.6
143.4,-12.6
141.7425457772,-13.3902894824
141.8333,-13.3333
141.8342,-13.3319
141.8342,-13.3319
141.8416667,-13.3416667
141.8425446527,-13.3402895511
141.85,-13.3
141.851101456,-13.298547519
141.8592110878,-13.30695635
141.9,-13.3
141.9,-13.3
141.9952092953,-13.0874738658
142,-13.0667
142.93,-13.45
142.9333,-13.45
142.9333,-13.45
142.9425332629,-13.4569537889
143.00916667,-13.1163888896
143.0092,-13.1164
143.0101111,-13.2683055996
143.0328,-13.1203
143.3833,-13.0333
143.383333333333,-13.0333333333333
143.384413137,-13.031870048
143.3869,-13.0289
143.3925277208,-13.0402885816
141.6333,-13.6167
141.6342,-13.6153
141.6342,-13.6153
141.642547021,-13.5069557725
141.6425472366,-13.6236218971
142.08,-13.75
142.0842095438,-13.7486205222
142.192541919,-13.8402865619
142.250874157,-13.5819543533
142.250874157,-13.5819543533
142.5,-13.6667
142.5991666667,-13.6213888889
143.1425317749,-13.8236182659
143.2,-13.7333
143.2,-13.7333
143.4167,-13.6667
143.024706,-13.9766649996
143.2575,-14.1511111107
143.2575,-14.1511
143.67527778,-14.44666667
143.75833333,-14.39166667
144.2508540917,-14.4152799301
144.2591868883,-14.1902810657
144.3333,-14.3333
144.3333,-14.3333
144.3333,-14.3333
144.3416667,-14.3416667
144.3425195868,-14.3402801387
144.4167,-14.2667
144.4167,-14.25
144.4167,-14.25
144.4167,-14.25
144.4258518258,-14.2569470793
144.425851858,-14.2736136598
144.44916667,-14.25666667
144.45055556,-14.2471666695
144.4688888889,-14.2213888889
141.58,-14.58
141.5842,-14.5819
141.5842,-14.5819
141.5842164454,-14.5819511149
141.69166667,-14.8916666695
141.7167,-14.9667
142.0833,-14.5833
142.2736,-14.6817
142.2736111111,-14.6816666667
143.066666666667,-14.9666666666667
143.0667,-14.8833
143.0667,-14.8667
143.067763212,-14.965196163
143.075,-14.875
143.0758679626,-14.8736134104
143.528483,-14.84615
143.5293462914,-14.8447626034
143.81555556,-14.50333333
143.8291666667,-14.4911111111
143.9,-14.6
143.901077816,-14.498527609
143.9091916086,-14.6069463055
143.99305556,-14.69666667
143.9931,-14.6967
144.0667,-14.7667
144.0758567772,-14.7736118313
144.1667,-14.7167
144.1667,-14.7167
144.1667,-14.7167
144.1786332997,-14.7208341054
144.2650209743,-14.6000011988
144.3167,-14.65
144.4167,-14.9
144.417744505,-14.898525266
144.4258531515,-14.9069438059
144.7811,-14.7169
144.7811,-14.7169
144.7819598447,-14.715555165
144.8425149038,-14.8069434719
141.7508833182,-15.4152807174
142.81112076,-15.30752815
143.0518055556,-15.1408611106
143.7333,-15.2167
143.7333,-15.2167
143.7333,-15.2167
143.734254,-15.21535
143.7416667,-15.225
143.7425281281,-15.2236104093
143.9175262484,-15.2486099179
144.1425241085,-15.4069420354
144.15,-15.4
144.6167,-15.2833
144.61694444,-15.3030555595
144.62,-15.28
144.6258517421,-15.2902748728
144.6591848843,-15.3736077374
144.9166667,-15.2916667
145,-15
145.0841797689,-15.2486074414
145.0925130254,-15.2569407162
145.1925119166,-15.2736070911
145.2043455436,-15.4643005691
145.2091787287,-15.4236063175
145.2333,-15.4333
145.2425114539,-15.3236067387
145.2425117169,-15.4402728314
145.25,-15.47
145.25,-15.4667
145.25,-15.4667
145.25,-15.4667
145.25,-15.4667
145.25,-15.3167
145.2508448976,-15.4152732695
145.2508448976,-15.4152729362
145.2508448976,-15.4152729362
145.2508448976,-15.4152729362
145.2508448976,-15.4152729362
145.2591779289,-15.3236067036
145.2591782677,-15.473605966
145.2636111111,-15.4713888884
145.27,-15.47
141.7333,-15.4833
141.9167,-15.9167
141.9167,-15.9167
141.9167,-15.9167
142.5008755988,-15.4986119884
144.45,-15.5833
144.45,-15.5833
144.45,-15.5667
144.45,-15.5667
144.45,-15.5666666666667
144.451080753,-15.565186607
144.4591872786,-15.5736072374
144.4591876119,-15.5736072374
144.4775208534,-15.6221069733
144.477782165,-15.622113757
144.5,-15.67
144.5,-15.6667
144.5,-15.6667
144.5,-15.6667
144.5,-15.6667
144.5,-15.6667
144.5,-15.6667
144.7167,-15.8333
145.2,-15.5
145.2,-15.5
145.2258453941,-15.5069392086
145.2258453941,-15.5069392086
145.22861111,-15.5075
145.2298422522,-15.5027164765
145.2358,-15.5356
145.2416666667,-15.4916666662
145.2416666667,-15.4916666662
145.25,-15.4833
145.2591783055,-15.4902725516
145.2591783058,-15.4902725513
145.2591784207,-15.540272308
145.27,-15.53
145.2758448955,-15.5402722719
145.3167,-15.7
145.7667,-16.9167
141.1667,-17.4667
141.1667,-17.4667
141.1758951352,-17.4736086446
141.192561632,-17.4736085954
144.6667,-17.25
141.1219,-17.6581
