"longitude","latitude"
142.4175353697,-10.9153018964
142.4175353697,-10.9153018964
142.6333,-11.2167
142.7,-11.6833
142.7,-11.6833
142.7050679225,-11.6932485861
142.7264801023,-11.6548127545
142.17763,-12.3644799996
142.19163299,-12.2845256196
142.22406979,-12.3064071396
142.2366666667,-12.3338888889
142.2372,-12.3353
142.237222222,-12.335277778
142.2372222222,-12.3352777778
142.9167,-12.4667
142.9167,-12.4667
142.9167,-12.4667
142.9167,-12.4667
142.9167,-12.4667
142.9167,-12.4667
142.9167,-12.4667
142.9167,-12.4667
142.9167,-12.4667
142.9167,-12.4667
142.9167,-12.4667
142.9167,-12.45
142.9247,-12.4617
142.9255874124,-12.4602924234
142.9258651847,-12.4569591014
142.9258652085,-12.4736256798
141.8758765115,-12.6569595488
141.901095103,-12.615215614
141.9092094485,-12.6236263367
141.9092094485,-12.6236263367
141.92135438,-12.63459944
141.925875968,-12.6402928966
141.9841666667,-12.6966666663
142.07807457,-12.6737132296
142.10606716,-12.6672512
143.4175280702,-13.4152865492
143.4833,-13.7667
143.4833,-13.7667
143.4833,-13.7667
143.4925278891,-13.7736179023
143.4925278891,-13.7736179023
