"longitude","latitude"
142.031872,-11.860691
142.032,-11.861
145.1833,-16.3667
145.1861,-16.4517
145.188579612,-16.376305568
145.1917,-16.375
145.1917,-16.375
146.3,-19.3833
148.7833,-20.2833
149,-23
148.98,-23.95
149,-23.8333
149.0833,-23.9167
149.0841612837,-23.9152303501
149.2508249172,-23.748563368
151.0044153035,-24.3838323838
151.2757995563,-24.2068872789
151.3591317289,-24.2071647178
150.8924749623,-24.8902205569
151.8257934622,-24.5402174965
152.3281813806,-25.2178376413
152.4924532771,-25.0735467054
153.083333333333,-25.25
153.116666666667,-25.4666666666667
153.2050128853,-25.1975077666
153.2591097562,-25.2568763802
150.9174782532,-25.581885679
152.0224629864,-25.6499362449
152.05317778,-25.5808111093
152.3757920783,-25.8068788126
150.9759553391,-26.010158056
151.9800232303,-26.4694557359
152.375,-26.2417
152.3757944174,-26.2402112494
152.3757945089,-26.2568778799
152.6427336135,-25.9854883735
152.6636372798,-26.2683414529
152.9591197148,-26.3235418244
151.5841429746,-26.915213713
151.7963617729,-26.8496572619
151.8924707698,-26.7235459065
151.9424688183,-26.5068793759
152.02,-26.78
152.084135771,-26.9152113788
152.7507908521,-26.5818755704
152.8667,-26.5667
152.94166667,-26.9249999992
152.94431111,-26.8631694392
152.95,-26.85
152.9591213657,-26.6235412233
152.9591230488,-26.9235406634
152.9757887198,-26.7902074983
152.9833,-26.8
152.9833,-26.8
152.1258038368,-27.2568773244
152.3591339697,-27.2902095108
152.6444444444,-27.3544444444
152.8269432243,-27.4435324739
153.016666666667,-27.4666666666667
153.4545,-27.41005
152.8581,-27.6939
152.9004543314,-27.6201324998
152.93238784,-27.63605312
152.975792854,-27.5068729442
153.0191264283,-27.6554836305
153.0191264283,-27.6554836305
153.034195,-27.515283
153.0393578584,-27.8530792302
153.042458734,-27.5402059197
153.05,-27.5
153.0667,-27.5667
153.084125023,-27.5818723199
153.0841250263,-27.5818723232
153.1416666667,-27.6249999992
153.1757906778,-27.640205136
153.1803056136,-27.7088924781
153.2507892165,-27.5818715401
153.26372222,-27.6466388892
153.2924559046,-27.6902045103
153.3013888889,-27.6695833325
153.3724562311,-27.9440926454
152.167544,-28.065287
152.5083333333,-28.0749999992
152.6636496886,-28.2683390298
152.6758016516,-28.2235400978
152.983888888889,-28.3680555555556
153.2083333333,-28.2249999992
153.2097222222,-28.1936111103
152.52,-28.75
153.47,-28.95
152.835,-29.02472
153.43,-29.12
153.2,-29.82
152.97,-30.47
153.15,-30.22
152.1833,-32.4333
