"longitude","latitude"
142.25,-10.5833
142.4333,-10.85
142.4333,-10.85
142.4667,-10.7833
142.4667,-10.7833
142.4667,-10.7833
142.467593,-10.78204
142.4833,-10.7833
142.4833,-10.7833
142.4833,-10.7833
142.484259,-10.78204
142.1667,-12.3833
143.2333,-12
143.2833,-12.7333
143.2833,-12.7333
143.2833,-12.7333
143.3333,-12.8333
143.3333,-12.8333
143.3333,-12.8333
143.3333,-12.8333
143.4333,-12.6
143.4333,-12.6
143.3,-13.7
143.3,-13.7
143.3,-13.7
143.3091964256,-13.7069518939
144.5833,-14.7
147.66690876,-19.83217623
148.4424863296,-20.0069110741
148.5506740193,-20.182065833
148.7591499703,-20.2902423207
148.7591499703,-20.2902423207
148.825816085,-20.3735751259
148.3397151396,-21.3838511075
148.3397281019,-21.383959948
148.34,-21.38
148.568116711,-21.4307208168
148.2912965193,-21.5248092753
149.8424795966,-22.8735632768
150.3091406523,-23.023561048
150.4591392181,-23.1568934151
150.4602503068,-23.1552267493
150.4633058536,-23.1624489399
150.4667,-23.1667
150.4758055831,-23.1402267327
150.5167,-23.3167
150.5841386948,-23.4152255253
150.4424748524,-23.6068922254
150.4424748557,-23.6068922221
150.4758078093,-23.6235587145
151.1091336915,-23.8902221313
151.184759843,-24.4380227564
151.213,-24.428
151.2130555556,-24.4280555556
151.2142,-24.4289
151.215,-24.427
151.2150352423,-24.4275181808
151.8238483287,-24.3929956712
150.8992070804,-24.6364080281
151.1833,-24.8
151.1924703536,-24.8068861369
151.3206,-24.8869
151.3213578417,-24.8854965161
151.322,-24.885
151.4667,-24.5333
151.4667,-24.5333
151.4667,-24.5167
151.4681,-24.5206
151.4688539366,-24.5191079062
151.47,-24.52
151.4757983877,-24.5402189353
151.1994830136,-25.0169615165
151.2131,-25.4281
152.5305099303,-25.3974346371
152.7424506829,-25.2735451581
151.7733005087,-25.7685481976
152.09472222,-25.6669444393
152.1,-25.6333
152.1,-25.6333
152.1047518927,-25.6360072166
152.1280526145,-25.8555642495
152.5667,-25.7833
152.5667,-25.7833
152.5757891009,-25.7902113143
152.6544,-25.7119
152.6553967092,-25.7105856593
152.6563908846,-25.7114910136
151.8716360132,-26.419935407
152.2667,-26.1333
152.2757953156,-26.1402118926
152.3281851069,-26.111258762
152.3283333333,-26.1111111104
152.4257937849,-26.2568776602
152.525,-26.2167
152.7091237326,-26.3902094663
152.8091206441,-26.090209643
152.8588438342,-26.4021532197
151.9458709,-26.5658444291
152.925787783,-26.4902083008
