"longitude","latitude"
142.2458,-10.6481
142.2458,-10.6481
142.2458,-10.6481
142.2458,-10.6481
142.25,-10.75
142.25,-10.75
142.25,-10.5833
142.25,-10.5833
142.25,-10.5833
142.25,-10.5833
142.25,-10.5833
142.3333,-10.5
142.34602778,-10.8859722196
142.3461,-10.8861
142.3667,-10.85
142.375869082,-10.8569689524
142.4092020516,-10.8403023557
142.4092020993,-10.8903020544
142.4167,-10.7167
130.6667,-11.4333
130.667687,-11.43205
130.667873093,-11.315269332
130.667873989,-11.34860051
130.66787413,-11.43193269
132.051196811,-11.198600573
132.151189927,-11.365261724
132.151190138,-11.148596052
132.151190138,-11.148596052
132.172035676,-11.325263677
132.867856987,-11.148594081
132.875353642,-11.163596214
132.875353642,-11.163596214
142.7667,-11.1833
142.7676,-11.1819
142.7676,-11.1819
142.7758652151,-11.1902998979
130.151215742,-11.815272112
130.167883363,-11.815276387
130.251211808,-11.748602191
132.9197,-11.7703
132.9197,-11.7703
132.934514702,-11.548587967
132.934514702,-11.548587967
133.1,-11.65
133.101183297,-11.648586134
133.140622335,-11.687196693
133.2167,-11.7167
133.217671,-11.71538
133.21785834,-11.71525732
133.351182121,-11.631920623
133.384511786,-11.681920955
133.398125902,-11.527200322
142.7645355328,-11.86203384
142.7678688316,-11.8606449544
142.7833,-11.6333
142.8037016417,-11.7203678737
142.8148126965,-11.7648120698
131.2528,-12.3103
132.25,-12.2
132.25,-12.2
132.25119591,-12.19859147
132.9403,-12.3558
132.95,-12.3833
132.9667,-12.45
132.9667,-12.45
132.9667,-12.4333
132.967863082,-12.448591764
133.0167,-12.3833
133.3167,-12.3167
133.317860964,-12.315259272
134.301176195,-11.998579196
134.884502165,-12.065253717
134.9897,-12.29
134.9897,-12.29
135.934492767,-12.365244762
136.717824181,-12.198573179
136.730358784,-12.173568125
136.77945831,-12.18046788
136.884484063,-12.265237696
136.88925748,-12.24966707
136.88925748,-12.24966707
141.7092110196,-12.2902950114
141.7174889629,-12.2356301218
142.7,-12.2667
142.7,-12.2666666666667
142.701091157,-12.265218892
142.7092005617,-12.2736270753
142.8667,-12.4167
142.8667,-12.2167
142.8758656697,-12.4236260236
142.9167,-12.4167
142.9167,-12.4167
143.0758631258,-12.1236274369
143.0833,-12.25
143.0833,-12.25
143.0833,-12.25
143.0833,-12.1667
143.0833,-12.1167
143.0886,-12.2536
143.0894742633,-12.2522378022
143.0925296143,-12.1236274157
143.0925297927,-12.2569599938
130.967881071,-12.665267356
131,-12.7
131.001212549,-12.698594352
131.0833,-12.5833
131.1667,-12.7167
131.584537852,-12.881922398
132.784526739,-12.865253757
132.801197441,-12.865258585
132.817868399,-12.865253316
132.866666666667,-12.8166666666667
132.8667,-12.7667
132.867861686,-12.815255931
132.9,-12.7
132.9,-12.7
132.9,-12.7
132.901193592,-12.698590304
132.9167,-12.75
132.951189835,-12.748588365
133.006475832,-12.815818667
133.7333,-12.7667
133.7333,-12.7667
133.734486188,-12.765278855
135.401171347,-12.915246085
135.467836965,-12.915243736
135.717838701,-12.648574996
141.8167,-12.5667
141.8167,-12.5667
141.8167,-12.5667
141.8167,-12.5667
141.817770464,-12.948543716
141.82,-12.95
141.82,-12.95
141.8258775061,-12.956958116
141.8925429545,-12.6236263612
141.901388889,-12.5822222216
141.901388889,-12.5822222216
141.9167,-12.5167
143.2167,-12.75
143.2167,-12.75
143.2217,-12.7453
143.2217,-12.7453
143.2258624129,-12.7569570347
143.2375,-12.7417
143.25,-12.75
143.25,-12.75
143.2508621312,-12.7486237106
143.2591953873,-12.7569569862
143.3333,-12.6167
143.3333,-12.6167
143.4,-12.6667
143.4,-12.6667
143.4,-12.6667
130.134544191,-13.165264151
130.6667,-13.1167
130.6667,-13.1167
130.717883212,-13.1985939
131.234541532,-13.098594414
132.443254375,-13.328930009
132.463906759,-13.470977618
132.55,-13.28
132.6333,-13.4667
132.634527037,-13.465251851
132.651196434,-13.44858413
132.7833,-13.325
132.784493561,-13.32358354
132.784523256,-13.315252291
132.9583,-12.975
133.417858995,-13.015252457
134.2,-13.2833
134.201183835,-13.281908722
134.884503378,-13.131909257
135.73200904,-13.10551326
136.081165154,-13.456902382
136.201162537,-13.198573342
141.6181020921,-13.0900133535
142.9669768515,-13.1066777826
143.0167,-13.05
130.71788998,-13.66526264
130.857321427,-13.491360227
131.33454155,-13.78192131
132.4667,-13.5
132.4667,-13.5
132.539810097,-13.53191365
132.546500698,-13.521489924
132.579966264,-13.496517615
132.587565093,-13.56706455
132.6667,-13.65
132.667867433,-13.731912587
132.7167,-13.7333
135.9108,-13.6833
135.911999501,-13.681903471
141.5008817977,-13.4986227262
142.85,-13.8167
142.85,-13.8167
143.2508637996,-13.7486184511
143.4167,-13.6667
143.4842,-13.7161
143.4850278638,-13.7147293278
143.4925280116,-13.8402842296
126.1958,-14.0875
126.4833,-14.2
127.31916667,-14.04444444
127.5333,-14.1
127.5333,-14.1
127.5333,-14.1
127.5333,-14.1
132.2667,-14.4667
132.467873719,-14.298582122
132.5178,-14.2828
132.5597,-14.31
135.751177251,-14.265233995
136.684496567,-13.98189406
136.7,-14.2
144.3333,-14.3333
144.3333,-14.3333
144.3333,-14.3333
144.3425195901,-14.340280142
144.4167,-14.25
144.4167,-14.25
144.4258518258,-14.2569470793
144.45066593,-14.2472491944
125.12,-14.55
125.7,-14.8
125.73333333,-14.91666667
125.73333333,-14.81666667
125.75,-14.67
125.755,-14.585
125.755,-14.585
125.8,-14.8
125.8,-14.6
125.8,-14.6
125.80138889,-14.61138889
125.80138889,-14.61138889
125.8095277,-14.6194444
125.8095277,-14.6194444
125.834586474,-14.781946857
125.83888889,-14.87361111
125.85,-14.82
125.85,-14.8167
125.93055556,-14.85833333
125.9306,-14.8583
126.2,-14.9
126.8,-14.8
126.8,-14.8
126.81791815,-14.96528702
126.9,-14.9333
126.9,-14.9333
126.9,-14.7
126.95,-14.65
127.0833,-14.7833
127.08333333,-14.78333333
127.08333333,-14.78333333
129.9897,-14.8239
129.990944955,-14.822485428
130.0178,-14.7911
130.019004624,-14.789710123
130.8,-14.7506
130.801225659,-14.748588257
132.251209014,-14.498583892
132.3333,-14.75
132.334535699,-14.748581236
132.45,-14.55
132.45,-14.55
132.451208802,-14.548584068
132.534532178,-14.598586466
132.8372,-14.4897
133.844722222,-14.673611111
141.5842171933,-14.9152830801
141.6258834118,-14.9069496868
141.6333,-14.8833
143.4003675145,-14.7934078836
143.4575,-14.6278
143.8990010258,-14.616645036
144.5833,-14.5
144.5833,-14.5
144.5923661251,-14.7032678389
144.5972232256,-14.5126909807
124.5833,-15.4167
124.58333333,-15.41666667
124.58333333,-15.41666667
124.58333333,-15.41666667
125.06666667,-15.28333333
125.06666667,-15.28333333
125.06666667,-15.28333333
125.08333333,-15.28333333
125.1,-15.1
125.48333333,-15.46666667
125.65,-15.47
125.65,-15.47
125.651266897,-15.465291824
126.66666667,-15.03333333
128.1,-15.45
129.41790447,-15.41526872
129.87387,-15.37761
130.1667,-15.0833
130.167903087,-15.081923328
130.388333333,-15.116666667
130.3883333333,-15.1166666667
131.3244,-15.3981
131.334546492,-15.148589465
135.734510071,-15.148566597
142.17527778,-15.4372222195
143.6678618327,-15.0232781574
143.7669444444,-15.0461111106
144.4591870695,-15.3402749924
144.9029296497,-15.1003764245
145.2167,-15.1167
145.2167,-15.1167
145.2167,-15.1167
145.2258445379,-15.1236077706
145.2425110133,-15.1236077365
145.25,-15.4667
145.25,-15.12
145.25,-15.12
145.25,-15.0833
145.25,-15.0833
145.2667,-15.4667
125.21666667,-15.53333333
125.2167,-15.5333
125.3,-15.6
127.434586231,-15.965280795
127.44,-15.96
129.0611,-15.4806
129.101238627,-15.798602161
129.265955202,-15.531657783
130.2222,-15.95
130.2222,-15.95
130.228736165,-15.834145525
130.501233251,-15.665265043
130.501234649,-15.831888109
131.034556551,-15.498585162
135.3333,-15.9333
135.334516425,-15.931896493
135.367853111,-15.865233432
136.401172981,-15.631892653
136.6167,-15.7333
136.667846319,-15.681892571
136.667846319,-15.681892571
136.81783938,-15.56522577
136.81784273,-15.6818902
136.984498619,-15.6985586
143.8176,-15.5819
143.8176,-15.5819
143.8258613992,-15.5902752462
144.3925217357,-15.5902739756
144.533333333333,-15.65
144.5347222222,-15.6427777773
123.61,-16.09
123.6167,-16.1
123.6811,-16.1733
124.2314,-16.373
124.68333333,-16.01666667
124.9667,-16.35
124.97,-16.35
124.98333333,-16.26666667
125,-16
127.525769,-16.06039
128.667919931,-16.048598719
130.0736,-16.2433
130.074848375,-16.241925051
130.1,-16.2167
130.1,-16.2167
130.1,-16.2
130.1344,-16.4431
130.1344,-16.4431
130.1919,-16.2225
130.1919,-16.2225
130.21089,-16.31964
130.21089,-16.3196399995
130.31,-16.4533
130.311236947,-16.451923108
130.4,-16.05
130.401235923,-16.048595265
130.6667,-16.0167
135.588402823,-16.087726239
136.0667,-16.2667
136.367845481,-16.08189239
137.751166539,-16.265220979
144.1361814698,-16.0355824552
144.5599,-16.2215588889
144.56,-16.22
144.8119444444,-16.0158333328
122.53,-16.95
122.53,-16.95
122.89305556,-16.51638889
122.9,-16.5167
122.9,-16.5
122.901283441,-16.515304058
124.91666667,-16.83333333
125.807,-16.925
128.5,-16.7
128.501251117,-16.748602874
130.184571412,-16.715265545
130.585396616,-16.476091495
135.7,-16.7
136,-16.5333
136.1833,-16.6
136.776460928,-16.87772285
137.4544,-16.8106
137.4547,-16.8108
143.9667,-16.8167
143.9667,-16.8167
143.9667,-16.8167
145.2110634912,-16.8237567991
145.5642,-16.6533
145.5833,-16.7167
122.18333333,-17.23333333
122.34194444,-17.11194444
125.16666667,-17.18333333
125.2667,-17.1667
125.3,-17.2
125.3,-17.1667
125.3833,-17.3
125.4,-17.3
127.33666667,-17.35861111
127.45,-17.13
128.05,-17.23
137.767835683,-17.165220236
138.1397,-17.4231
138.1397,-17.4231
138.1406472799,-17.4216735248
138.3290333975,-17.4481353924
144.0333,-17.0167
144.0333,-17.0167
144.034427778,-17.015183786
144.03722222,-17.0197222195
144.4,-17.1
144.5167,-17.15
144.5167,-17.15
144.6,-17.2
144.6667,-17.3333
145.0591851296,-17.2402652143
145.2833,-17
145.3,-17.1
145.3333,-17.4167
145.3333,-17.4167
145.3333,-17.3833
145.3341,-17.0319
145.3425146149,-17.0402652963
145.3667,-17.1167
145.3667,-17.1167
145.3667,-17.1167
145.3758477946,-17.1235981917
145.4175138589,-17.0819315923
122.2,-17.9
122.22324037,-17.90972409
122.23,-17.96
122.23,-17.96
122.23,-17.96
122.234626566,-17.958645273
125.97133,-17.54378
126,-17.6
126.0453,-17.5086
126.97848,-17.65584
137.7833,-17.7333
137.784502248,-17.731876009
137.867846445,-17.865214797
138.0233333333,-17.5338888889
138.03,-17.85
138.0310577419,-17.8476754421
138.1725,-17.7844444444
143.1641022873,-17.6295686167
143.7961,-17.5672
143.7969782391,-17.5658229909
138.151168509,-18.348539493
138.1592615289,-18.3569496017
144.0091994624,-18.0069319485
144.0616022159,-18.0102352621
144.2405704256,-18.0923346203
144.5416666667,-18.1858333333
144.6144348903,-18.1686783883
144.6814,-18.2392
146.0167,-18.2167
146.0258434292,-18.2235919501
146.2258409902,-18.2069247751
146.25,-18.3667
146.259174611,-18.4235904954
146.2781,-18.2886
138.284505892,-18.498543468
138.2925941538,-18.5069489154
143.335,-18.765
143.335,-18.765
143.7425382607,-18.7402637275
143.8333,-18.5833
143.8333,-18.5833
146.1167,-18.5333
144.1092017749,-19.0235950318
145.3333,-19.3333
146.35,-19.225
146.4,-19.2
146.4091753019,-19.1735872405
146.4167,-19.25
146.425842056,-19.2569202237
146.4333,-19.2333
146.4466013142,-19.2400919809
146.6333333333,-19.0291666661
146.6783,-19.3725
146.7508386609,-19.4152519682
147.7758284573,-20.1069128677
148.1091573472,-20.0402453564
148.417487525,-20.2485769228
148.459153144,-20.1069106448
148.8424821708,-20.2735754456
148.883333333333,-20.05
147.4093320776,-20.6601053924
148.189,-21.189
149.1785917738,-21.0299604607
149.859142294,-22.0068991996
149.5833,-22.6667
149.5924820418,-22.6735648099
150.192474744,-22.8402287006
150.244640128,-22.6619580227
