"longitude","latitude"
142.25,-10.5833
142.25,-10.5833
142.4175353697,-10.9153018964
142.45,-10.9667
142.4592016576,-10.9736348404
142.4633,-10.9589
142.4633,-10.9589
131.184506609,-11.365294561
132.084527016,-11.331928194
142.5842006283,-11.2486330795
142.6842,-10.9819
142.6842,-10.9819
142.6925325593,-10.990301184
130.567880062,-11.54860138
130.5833,-11.5333
130.6667,-11.5833
130.667877755,-11.581934926
130.834532347,-11.548601623
131.03021,-11.51516
131.03021,-11.51516
131.167870841,-11.581928442
142.9833,-11.9333
134.1833,-12.1
134.184505435,-12.098580448
135.134505027,-12.248574534
136.8833,-12.2667
136.884484063,-12.265237696
136.901157498,-12.281866863
136.907264593,-12.389404948
136.92615348,-12.3596799
143.0925296805,-12.1736271316
130.591215271,-12.503299678
142.500869748,-12.4986261384
143.25,-12.5
143.2591950196,-12.5069583675
145.2063888889,-15.4691666667
145.2258452797,-15.4569394522
145.2327777778,-15.4508333333
145.2833,-16.1333
145.4022341982,-16.3124905687
145.4058,-16.4406
145.40583333,-16.4405555595
145.4072,-16.4122
145.41268889,-16.32386944
145.413,-16.324
145.4167,-16.2
145.4167,-16.1667
145.4167,-16.1667
145.4167,-16.1667
145.42,-16.17
145.4258446845,-16.1736022623
145.4258447682,-16.2069354383
145.4258448101,-16.2236020314
145.4333,-16.2833
145.4667,-16.0833
145.4669444444,-16.0855555551
145.4758449127,-16.4902673638
145.4833,-16.55
145.6425102515,-16.7235992434
145.692,-16.78
145.7591762138,-16.9694311953
145.7925091703,-16.9735977623
145.7925091703,-16.9735977623
145.9167,-17.25
145.9175084645,-17.2485962462
145.924,-17.247
145.9333,-17.25
145.9333,-17.2333
145.9333,-17.2333
144.33442162,-17.83183959
146.0167,-18.2667
146.08,-18.32
146.0841761464,-18.2485916845
146.0841761464,-18.2485916845
146.117744708,-18.315165357
146.15,-18.45
146.151071135,-18.448491602
146.1591759154,-18.4569239928
146.2258411999,-18.2735911783
146.25,-18.3833
146.2508413508,-18.4152572188
146.3,-18.35
146.3042,-18.3556
146.1667,-18.5
146.1758425443,-18.5069237523
146.1875,-18.5042
146.1875,-18.5042
146.1875,-18.5042
146.2091755325,-18.523590257
146.2508418893,-18.5819232446
146.2508418893,-18.5819232446
146.2508418893,-18.5819232446
146.2508418893,-18.5819232446
146.2508418893,-18.5819232413
146.3,-18.5333
