"longitude","latitude"
142.4167,-11.8
142.4258696,-11.8069633655
142.8425319183,-11.8402960143
142.9,-12.45
142.9014,-12.4478
142.9091986923,-12.4569591244
143,-12.3514
143,-12.3514
143.000277777778,-12.3508333333333
143.0008642337,-12.3500151511
143.0012005011,-12.3495310175
143.0017,-12.3536
143.0017,-12.3536
143.0017,-12.3536
143.002530889,-12.3522373565
143.0064783921,-12.465641531
143.25,-12.4667
142.6676,-12.5819
142.6676,-12.5819
142.6758680349,-12.5902920681
143.009444444444,-12.5341666666667
143.0102243935,-12.5327752374
143.016666666667,-12.8833333333333
143.0167,-12.8833
143.0167,-12.8833
143.0258647389,-12.8736233661
143.0258647649,-12.890289947
143.0733,-12.6003
143.0733,-12.6003
143.07333333,-12.6002499996
143.0925304147,-12.6902909284
143.1,-12.8
143.1091970983,-12.8236235107
143.1858,-12.5503
143.18583333,-12.55027778
143.1925291693,-12.5736247567
143.2,-12.7
143.2,-12.7
143.21495,-12.73043333
143.216666666667,-12.75
143.2169,-12.7356
143.2258623627,-12.7236238837
143.2425285356,-12.5069583872
142.97125219,-13.2216131796
143.03311137,-13.2336092996
143.035555555556,-13.1213888888889
143.0364205795,-13.1200109335
143.2333,-13.7167
