"longitude","latitude"
132.353787,-11.354826
132.96762,-11.38197
132.96762,-11.38197
132.9333,-12.45
132.9667,-12.45
132.967864688,-12.415260231
132.967864688,-12.415260231
133,-12
133.034519236,-12.365255467
133.25137,-12.40157
133.3333,-12.4667
132.901189386,-12.481918603
132.9012,-12.4905
132.9082,-12.7563
132.917863882,-12.481921358
132.934520227,-12.481913902
132.95493,-12.54099
132.9976,-12.6342
133.051191255,-12.615282221
133.2436,-12.6567
133.93109,-12.63815
134.1431,-12.6256
135.4667,-12.8833
135.467657,-12.88204
135.64893,-12.69255
131.001210953,-13.165265945
132.45,-13.125
132.45,-13.12
132.451196072,-13.115255341
132.451196072,-13.115255341
132.451201846,-13.098586756
132.551199293,-13.281920122
131.1967,-13.9025
131.751210977,-13.565259043
132.001208688,-13.68192188
132.05,-13.8167
132.08,-13.82
132.08453217,-13.66526055
132.084537928,-13.831921954
132.132681,-13.482045
132.45,-13.5167
132.643,-13.956
134.1431,-13.6256
134.1431,-13.6256
130.77464,-14.32952
131.17673,-14.02351
131.17673,-14.02351
132.08739,-14.13306
132.1166,-14.0877
132.626,-14.32
132.7299,-14.2453
125.85,-14.82
130.019004624,-14.789710123
132.0333,-14.6833
126.71666667,-15.26666667
127.2,-15.3
128.14115,-15.08335
130.433,-15.182
125.89111111,-15.79638889
126.1428,-15.4825
128.1,-15.9
129.18904,-15.68262
130.42,-15.65
130.68483,-15.51043
127.15,-16.25
127.42644444,-16.11983333
128.023,-16.014
128.7167,-16.0167
128.845556,-16.031333
125.8,-16.8
125.93333333,-16.64972222
124.74666667,-17.25666667
126.69654587,-17.01441261
126.6967,-17.0144
