"longitude","latitude"
132.1108,-11.2886
142.0758732494,-11.8069637939
136.82,-12.27
142.176666667,-12.7208333326
132.0428,-14.1775
132.0833,-14.2833
125.64166667,-14.82222222
125.6417,-14.8222
132.4333,-14.5333
143.424491,-14.511094
124.75527778,-15.36777778
125.21666667,-15.53333333
128.73333333,-15.76666667
144.85,-15.85
123.97,-16.75
124.02222222,-16.64027778
124.93333333,-16.83333333
124.93333333,-16.83333333
144.85,-16.87
145.2694,-16.6644
125,-17
125.2,-17
125.2,-16.9833
125.22349824,-17.04442256
125.227778,-17.041944
125.27072052,-17.14581116
125.39166667,-17.16388889
125.3917,-17.1639
125.4,-17.2
125.4,-17.2
125.4,-17.2
138.2839,-17.3819
138.284866886,-17.3806356335
144.65,-17.35
145.2333,-17.1167
145.25,-17.12
145.2591825311,-17.1402650938
145.05,-18.95
146.6394,-19.8775
