"longitude","latitude"
133.145172,-11.80288
142.4592024009,-11.656964179
132.963,-12.434
134.234511604,-12.081912742
130.95,-12.5833
131.001212549,-12.698594352
131.067686,-12.532048
132.757676,-12.769268
132.766,-12.8753
132.766,-12.8753
132.766692931,-12.873885898
132.768,-12.885
132.8333,-12.85
132.88429,-12.63197
132.892,-12.5572
132.895729,-12.563156
130.674,-13.1814
130.7,-13.2
130.721,-13.1883
131,-13
132.7167,-13.3417
132.717900839,-13.340288161
132.789,-13.2875
132.789,-13.2875
132.789,-13.2875
132.7892,-13.2875
132.821,-13.2664
132.821,-13.2036
132.821,-13.2036
132.822000731,-13.264989894
132.845636898,-13.318209123
134.85344,-13.05634
142.944,-13.0992
142.9453104031,-13.0977889699
142.973,-13.1042
142.9736434416,-13.1027888992
143.002,-13.0708
143.0028097417,-13.0694556952
143.011,-12.9944
143.023,-13.0522
130.45,-13.7833
132.46,-13.5128
132.46,-13.5128
132.46,-13.5128
132.53,-13.67
143.01,-13.5519
143.0108660286,-13.5505643101
143.037,-13.5894
143.067,-13.6336
143.0678100072,-13.6322304669
143.069,-13.6436
143.072,-13.6703
130.667,-14.3092
132.4167,-14.3167
132.417871073,-14.31525324
132.4831,-14.3372
132.5632,-14.1275
132.5981,-14.0426
143.259,-14.1542
143.2597533582,-14.1527830969
143.303,-14.2753
143.3036420106,-14.2738935373
143.391,-14.0961
143.479,-14.0431
143.481,-14.0597
143.4816952068,-14.0583387079
143.482,-14.1119
125.83888889,-14.81666667
125.839,-14.8167
126.2,-14.9
126.2,-14.9
126.81666667,-14.81666667
129.979571124,-14.820545275
130.019004624,-14.789710123
130.88452056,-14.68189
141.6916666667,-14.8916666662
143.475,-14.6586
143.4753,-14.6586
143.4753,-14.6586
143.4761409194,-14.6572247019
143.499,-14.7419
143.5,-14.7833333333333
143.5,-14.7833
143.5000297243,-14.7405575948
143.5036,-14.7658
143.504,-14.7658
143.504,-14.7628
143.5044741713,-14.7644463627
143.539,-14.8744
124.58333333,-15.41666667
126,-15
126.2167,-15
129.42291,-15.41764
130.517,-15.05
143.799,-15.1364
143.8003050664,-15.1349995807
143.969,-15.2667
143.9703034782,-15.2652763943
144.113,-15.3783
144.1133576979,-15.376942237
144.124,-15.3875
144.23,-15.45
144.9029066442,-15.0989304704
145.0667,-15.3333
125.3,-15.8
125.3333,-15.8
125.6,-15.6
127.089867828,-15.974172478
127.44022222,-15.95877778
129.047348747,-15.777212565
129.46828,-15.49734
130.3678,-15.6008
135.42168,-15.79375
136.298,-15.9667
136.298,-15.9667
136.298,-15.9667
136.298979864,-15.965257003
136.304,-15.9597
143.4847541175,-15.6166647986
143.905,-15.5003
125.97,-16.15
125.9867,-16.1525
126,-16.2
126.51666667,-16.08333333
127.24133333,-16.34577778
127.60472222,-16.24138889
128.832,-16.036
135.463,-16.2164
136.1167,-16.1167
136.432,-16.0542
136.433679698,-16.052756873
136.475,-16.0703
136.476473936,-16.068860653
136.658,-16.1528
136.6583,-16.1528
136.659476521,-16.151356474
137.131,-16.3006
137.1314,-16.3006
137.1314,-16.3006
137.1486,-16.3361
137.1486,-16.3361
137.1486,-16.3361
137.149,-16.3361
137.159,-16.3539
137.16,-16.355
137.16,-16.355
137.160569877,-16.352457146
137.198,-16.4003
137.231,-16.4333
137.249,-16.4436
137.253,-16.4453
137.254267349,-16.443848977
142.98705131,-16.1936261495
124.03333333,-16.76666667
125.35,-16.48
125.40166667,-16.71833333
125.45111111,-16.71666667
125.515278,-16.573056
126.8,-16.5
127.18831,-16.52325
135.85,-16.6667
135.85,-16.6667
144.14916667,-16.79472222
145.09465502,-16.53613806
145.2213732112,-16.8713142839
145.2791043207,-16.9254642435
145.4175133959,-16.9152656369
125.35,-17.17
125.35,-17.17
137.712,-17.1906
137.7125,-17.1906
138.2581991568,-16.9756363649
138.269,-17.3697
138.275,-17.3711
142.4450481115,-17.3908274282
144.1230843432,-17.115823759
144.9160470472,-17.4223772032
145.3717,-17.0664
145.372,-17.0664
145.372,-17.0664
145.372,-17.0664
145.372,-17.0664
145.3758476072,-17.0569318061
145.4175138589,-17.0819315923
145.43,-17
138.02305556,-17.52861111
138.381,-17.4864
138.385,-17.5067
138.47,-17.72
138.474,-17.7392
141.7441666667,-17.7977777778
142.4378277397,-17.9474923813
143.8130892531,-17.5936006243
143.8142003215,-17.5841562147
144.7583961388,-17.854738807
142.2844961666,-17.9786038632
142.3822741384,-18.3474913897
144.3258630218,-18.1569304969
144.5555820351,-17.9752638002
142.5842183959,-18.9152669734
146.14229732,-18.8245432294
146.45637362,-19.0855307794
144.0527198593,-19.5568083373
147.8941596777,-19.935801987
148.0999906922,-20.0105232686
148.5110436126,-20.1384149862
