"longitude","latitude"
130.3222,-11.6836
133,-12.0667
133,-12
133.234517117,-12.298589194
133.3333,-12.3333
130.6167,-12.85
130.784542684,-12.965266199
130.967881071,-12.665267356
132.7536,-12.8539
132.817868399,-12.865253316
132.85,-12.5667
135.4667,-12.8833
131.117881302,-13.248590004
131.8667,-13.1667
132.41666667,-13.43333333
132.4167,-13.4333
132.85,-13.0833
132.867869572,-13.048582912
135.7258,-13.1056
131.634535203,-13.715257732
132.4833,-13.5333
133.1167,-13.7833
133.117869652,-13.781911548
130.051226343,-14.398596455
132.1833,-14.2
132.1833,-14.2
132.2667,-14.4667
132.2667,-14.4667
132.267682,-14.465378
132.4167,-14.2833
132.4667,-14.3167
132.4667,-14.3167
132.4667,-14.3167
132.4667,-14.3167
132.4667,-14.3167
132.4667,-14.3167
132.4667,-14.3167
132.4667,-14.3167
132.4667,-14.3167
132.467873719,-14.298582122
132.467873719,-14.298582122
132.551199418,-14.098582635
132.56768,-14.315377
132.25,-14.4833
132.25,-14.4833
