"longitude","latitude"
142.2508701331,-10.5819707279
142.433,-11.4419
142.4336468616,-11.4405765617
142.4337,-11.4405
130.667880466,-11.498603508
130.689,-11.655
130.71788031,-11.66526965
131.167870841,-11.581928442
132.667856998,-11.865259724
142.0592068402,-11.8736301141
132.651195127,-12.415257799
132.8833,-12.45
132.884518818,-12.448584973
133.33451532,-12.33191287
133.734511698,-12.065259352
134.217850083,-12.398585007
135.1117,-12.3875
135.11188,-12.38775
136.099487355,-12.06996986
142.5588888889,-12.0941666667
142.6303611083,-12.4507777771
142.7859249384,-12.4111976671
130.8833,-12.7167
130.981555556,-12.713638889
130.98189,-12.54885
130.99025,-12.70631
131.008888889,-12.618333333
131.067882475,-12.631928376
131.084534016,-12.56526472
131.1833,-12.6
131.201203256,-12.548598502
131.251208348,-12.631925612
131.251208348,-12.631925612
131.251208348,-12.631925612
131.251208348,-12.631925612
131.717868387,-12.481926797
132.367865732,-12.73192382
132.5333,-12.85
132.754807796,-12.85358784
132.8333,-12.85
132.8333,-12.85
132.8391,-12.8723
132.85,-12.8333
132.85,-12.83
132.851190279,-12.831920065
132.8833,-12.6667
132.8833,-12.5167
132.884524257,-12.481914888
132.896,-12.672
132.934494314,-12.781888055
133.384522335,-12.56525813
134.567847121,-12.881911295
134.817572737,-12.7935766
135.301172014,-12.915244843
136.4833,-12.8167
136.484489769,-12.815242176
141.938888889,-12.663611111
142.1092075242,-12.7236255262
142.1092075242,-12.7236255262
142.1092075242,-12.7236255262
142.6925346279,-12.6569583469
130.694825297,-13.211375013
131.0833,-13.25
131.084541438,-13.248593539
131.23453613,-13.16526478
131.801209311,-13.165258738
132.4667,-13.0167
132.483,-13.45
132.4833,-13.45
132.484532382,-13.44858978
132.634530486,-13.298583886
141.9592099043,-13.2236232546
143.025,-13.1666666663
143.0425320208,-13.3569541313
131.699166667,-13.966666666
132.934527771,-13.531915681
142.5836111111,-13.6186111107
142.7927777778,-13.6591666667
142.793,-13.659
143.05,-13.75
143.05,-13.75
143.058,-13.7583
143.0591988826,-13.7569517454
143.0666666667,-13.7508333329
143.1997222222,-13.9383333333
143.2,-13.95
143.2,-13.9
143.2508641091,-13.9152842828
127.81666667,-14.36666667
129.919722222,-14.363333333
130.7853,-14.0756
130.78549,-14.07569
132.0252,-14.153
132.0416,-14.1618
132.28107,-14.21474
132.417871073,-14.31525324
132.4355,-14.234
132.5,-14.3333
132.5,-14.3333
132.501207915,-14.33191835
132.50512,-14.30086
132.6021,-14.0331
132.63576,-14.06983
132.6965,-14.2463
143.365,-14.4
144.4572780514,-14.2539416456
125.81666667,-14.78333333
126.1,-14.8167
126.50075,-14.79689
129.9783,-14.8219
129.979571124,-14.820545275
129.998165105,-14.589424657
130.315118584,-14.585251438
130.884548719,-14.681925917
141.6167,-14.9014
141.6916666667,-14.8916666662
141.85,-14.8
143.2956549425,-14.9167390283
143.5025,-14.7819
143.503363107,-14.7805574006
143.504,-14.781
143.5833,-14.9667
143.5842,-14.9653
143.5925292175,-14.9736118747
143.7975,-14.6794444444
143.8719444444,-14.6280555556
143.9,-14.6
143.9,-14.6
143.908,-14.625
143.9091916432,-14.6236128911
144.0091907451,-14.7236122071
144.025857262,-14.7402787597
144.03,-14.75
144.0425237822,-14.7569453089
144.058,-14.7583
144.0591902571,-14.7569452755
144.0625,-14.7580555556
125.727556,-15.209944
126.302972,-15.373917
128.13046,-15.06881
128.13047222,-15.06880556
135.14607,-15.43478
142.16666949,-15.4616651895
142.167,-15.462
143.592,-14.975
143.703,-15.005
143.70341667,-15.0045527795
143.775,-15.125
143.7758608664,-15.1236107962
143.8925264307,-15.2069434967
143.8925264307,-15.2069434967
143.9,-15.2
143.903055556,-15.213055556
143.90305556,-15.21305556
144,-15
144,-15
144.1205555556,-15.3886111111
144.6205555556,-15.3047222222
144.6591848876,-15.3736077374
144.9026597064,-15.0994522629
127.57222222,-15.79361111
129.17062,-15.62345
135.24241,-15.70961
135.43385,-15.60906
136.640976917,-15.683812924
136.9833,-15.7
136.984498619,-15.6985586
143.65,-15.62
143.658,-15.625
143.6591966567,-15.6236088109
145.25,-15.58
145.2508452796,-15.5819387908
124.77597222,-16.33977778
127.60472222,-16.24138889
128.023222,-16.004167
130.23,-16.22
130.23,-16.2167
130.72351,-16.09595
130.7285,-16.101
126.1667,-16.55
130.3167,-16.48
130.317935712,-16.478588262
130.651231127,-16.78191684
143.1848780409,-16.524227895
143.185,-16.524
143.4697222222,-16.5411111111
144.11666667,-16.77027778
145.0946550232,-16.5361380577
145.1698294229,-16.8171515888
145.2214016161,-16.8712874223
145.2281606636,-16.8750778481
145.3667,-16.7833
145.367748238,-16.78183984
145.375,-16.7917
145.3758468724,-16.790266283
145.7063986162,-16.8069320475
128.401257473,-17.43193113
128.42,-17.45
138.1547222222,-17.2611111111
138.25722222,-16.97694444
138.2581991568,-16.9756363649
138.34194444,-17.46
139.2397222222,-17.43
144.143018503,-17.3226276958
145.1975771624,-17.2081163261
145.2425168345,-17.4097084779
145.3167,-17.0833
145.3667,-17.1411
145.36675,-17.1412499995
145.4175138589,-17.0819315923
145.42,-17
138.02305556,-17.52861111
138.065,-17.5320999995
139.9005555556,-17.7569444444
140.95,-17.75
141.1770075286,-17.8686075546
141.7441666667,-17.7977777778
143.97057989,-17.6379221895
145.4258,-17.4758
145.42583333,-17.4758333295
145.42608963,-17.4757721395
145.4610211969,-17.888170613
142.136,-18.261
142.13638889,-18.26111111
142.2844961677,-17.9786038632
142.2861628441,-17.986937167
137.121111111,-18.653055555
146.0167,-18.4833
146.0258442821,-18.4902575917
145.9244444444,-19.1774999994
146.0586111111,-19.1502777772
146.4091748982,-19.0569209926
