"longitude","latitude"
132.0289,-11.3478
142.3676,-11.1153
142.3676,-11.1153
142.37,-11.12
142.3758693456,-11.1236340302
142.3758693456,-11.1236340302
142.7758651808,-11.1569667642
130.14394,-11.76671
130.2589,-11.5921
130.3242,-11.6822
134.1833,-12.1167
134.184509977,-12.115254655
136.667828776,-12.298569533
136.859458564,-12.426366321
136.88758,-12.24943
136.888,-12.249
136.8957,-12.2789
134,-12.5
135.8917,-13.1442
135.1814,-13.7769
143.4911402803,-14.4283368761
145.12,-15.15
145.27,-15.32
145.27,-15.25
145.2758442557,-15.2569403332
145.3258431029,-14.9902749107
145.3333,-15.2667
145.3333,-15.2667
145.3425101921,-15.2736067777
143.4847541164,-15.6166647942
144.7277976053,-16.3499920218
145.1306,-16.1417
145.4216781779,-16.2194353904
145.4308125,-16.30098
145.27570491,-16.67007895
145.2758,-16.67
145.5333,-16.9667
144.6191896479,-17.0527671332
145.3925756024,-17.3903373522
145.4167,-17.3667
145.425,-17.365
145.4258478986,-17.3635970622
145.53,-17.38
145.5416599305,-17.3764904129
145.5425132791,-17.390263307
145.57,-17.02
145.58,-17
145.5833,-17.3667
145.5841785799,-17.0819311606
145.5925116071,-17.0069314613
145.6846315851,-17.3654996565
145.68534112,-17.3662996
145.30866647,-17.52371868
145.5591812177,-17.881927948
145.9925095615,-17.9235932339
137.2667,-18.25
137.267850405,-18.248551227
145.5091827677,-18.190260238
145.9925105979,-18.2569252499
146,-18.0833
146.0172,-18.0528
146.01736111,-18.0529722194
146.15,-18.4667
146.1591759692,-18.4735905956
146.3258402124,-18.3402572941
143.7342,-18.6819
143.7425380866,-18.6902638797
143.767815306,-18.6110973771
143.8092044093,-18.8069299805
145.8053,-18.5892
146.13139975,-18.4783683594
146.2508424374,-18.7485892827
143.5077777778,-19.0519444444
144.384431421,-19.465167535
144.4175323886,-19.2485933535
144.42,-19.25
145.1017,-19.0153
146.07,-19
146.08919444,-19.00627778
146.1016,-19.0153
146.1258448638,-19.0235886584
146.4494855223,-19.0930835676
143.3772683671,-19.7647065609
148.45,-19.9833
148.45,-19.98
148.4591527242,-19.9902444172
149.2258136145,-21.0902378652
149.4924786367,-21.5569020011
118.25166667,-22.35583333
118.252,-22.3558
118.4,-22.42
118.4,-22.4
118.418018471,-22.41536062
146.240577856,-22.0910792973
146.243,-22.095
146.2436333855,-22.0935792796
146.483075899,-22.3171889438
118.584684004,-22.482018749
118.6,-22.5
118.61472222,-22.49305556
118.61472222,-22.49305556
118.61472222,-22.49305556
118.61472222,-22.49305556
146.7508515766,-22.5819095131
150.2424744397,-22.9235615967
150.5,-22.83
150.65,-22.73
150.651039162,-22.73177922
150.6580102998,-22.7298236038
150.6591346451,-22.740227246
150.7091333192,-22.5902275324
150.7924660923,-22.7235601302
149.0841612837,-23.9152303501
149.0841612837,-23.9152303501
149.1258269454,-23.8235637139
149.1764432423,-23.9317264391
151.1757982652,-23.6402225682
151.1757982652,-23.6402225649
147.584181727,-24.0819030868
151.859083333333,-24.2443888888889
151.9319018737,-24.2924399529
151.9424575106,-24.3402175562
151.9591239416,-24.340217489
151.9591239416,-24.340217489
152.2091225042,-24.773548648
150.024989809,-25.4343899338
151.1341394353,-25.1188301268
152.2257901795,-25.023547943
153.25735968,-24.9816633893
152.83,-25.58
152.8496729817,-25.5918772617
152.9167,-25.9333
152.9257848094,-25.9402094635
152.9333,-25.8333
152.9424507051,-25.840209618
152.9604166667,-25.8391388882
152.9604166667,-25.8391388882
152.9604167,-25.8391388993
152.9091209022,-26.4068752088
152.9167,-26.0667
152.9167,-26.0667
152.9257855195,-26.0735425023
152.9554531184,-26.9511731616
152.97,-26.92
152.95,-27.08
152.9591240044,-27.0902070368
153.1189912009,-27.0262206915
153.16111111,-27.06166667
153.37,-27.12
153.3757846962,-27.1235384004
153.3852285577,-27.0457607214
153.41666667,-27.31666667
153.4167,-27.3167
153.4257851011,-27.3235378179
153.4410300546,-27.4362794253
153.4421982842,-27.4018794266
153.4455166667,-27.4517666667
153.4455166667,-27.4517666667
153.447099097,-27.0286402498
153.4632635852,-27.4080764179
153.47,-27.47
153.1091244088,-27.5402056032
153.1757906778,-27.640205136
153.3194012024,-27.8999262945
153.33,-27.82
153.3431704714,-27.8243349797
153.4026983982,-27.6877785982
153.4053122547,-27.659586971
153.4124926557,-27.7249430929
153.4154176603,-27.6561356165
153.4174533989,-27.5818707599
153.4265801388,-27.7188068561
153.4297,-27.4917
153.4297601301,-27.4915560495
153.45,-27.5167
153.4631672195,-27.5953822598
153.4631672195,-27.5953822598
153.4650195632,-27.6165277236
153.4703517228,-27.5978886581
153.4703517228,-27.5978886581
153.4757861062,-27.6235370872
153.4849820229,-27.5467481906
153.4905011348,-27.5328803964
153.497917405,-27.5223729161
114.33933141,-28.10284711
114.339333333,-28.102833333
114.34233333,-28.10488889
153.207777777778,-28.2211111111111
153.2091270479,-28.2235374987
151.9174828584,-28.748543406
151.9174828584,-28.748543406
151.9174828584,-28.748543406
151.98444444,-28.8612499992
151.9844444444,-28.8612499992
152.05,-28.95
152.1,-28.8833333333333
152.1,-28.8833
152.116666666667,-28.85
152.153055555556,-28.8577777777778
152.25,-28.9666666666667
153.167,-28.75
151.68,-29.3
151.68,-29.25
151.6917,-29.24167
151.6917,-29.2417
153.3667,-29.11667
153.42,-29.05
153.4317,-29.08069
115.0119,-29.9041
115.4486,-29.59128
115.4759,-29.49078
115.4782,-29.48761
151.05,-29.95
151.05,-29.93333
152.03,-29.58
152.0333,-29.5833
152.25,-29.56667
152.25,-29.56667
152.25,-29.55
152.2657,-29.54017
152.2833,-29.48333
152.3053,-29.54167
152.4167,-29.58333
152.4167,-29.58333
152.8086,-29.82556
153.13,-29.95
153.18,-29.92
153.2,-29.97
153.2,-29.83
153.2667,-29.85
153.35,-29.48333
151.35,-30.23
151.35,-30.23
151.9333,-30.08333
151.9333,-30.08333
152.2833,-30.46667
152.3,-30.47
152.3,-30.46667
152.3483,-30.3978
152.4917,-30.39444
153.005,-30.04139
153.1135,-30.31736
153.1136,-30.32056
153.15,-29.98333
153.1833,-30.2
153.2333,-30.03333
152.05,-30.5
152.2833,-30.5
152.2889,-30.8878
152.9092,-30.73195
115.9692,-31.43832
115.9693,-31.43814
151.88,-30.98
152.9097,-31.4297
115.9614,-31.74446
115.9687,-31.74493
116.0181,-31.83944
116.0212,-31.62042
116.0329,-31.47989
116.033,-31.48
116.06,-31.87
116.075,-31.925
116.0917,-31.83333
116.1667,-31.88333
116.3718,-31.90433
149.338,-31.583
152.78,-31.73
152.88,-31.5
116.1,-32
116.241,-32.375
116.893,-32.223
116.8931,-32.22333
149.728,-32.319
149.83,-32.42
151.4236,-32.2108
152.42,-32.4
116.06,-32.67
150.3333,-32.8333
150.384,-32.8347
151.7297,-32.76
151.88,-32.75
151.8911,-32.7494
151.8911,-32.7494
151.932,-32.6667
152.08,-32.73
115.8025,-33.4147
150.004,-33.123
150.1641,-33.35943
150.23,-33.47
151.2333,-33.3
151.43,-33.25
151.4316,-33.24528
151.432,-33.2453
151.47,-33.12
151.4933,-33.12528
115.054,-33.649
115.0544,-33.6486
115.0544,-33.64861
115.1041,-33.66854
115.111,-33.765
115.1328,-33.6715
115.2167,-33.76617
115.2631,-33.88278
115.38,-33.82
115.3833,-33.81667
115.4982,-33.72409
115.5833,-33.51667
116.0406,-33.85806
122.1258,-33.97406
122.134,-33.9694
122.1342,-33.96944
150.2667,-33.75
150.3133,-33.6319
150.3167,-33.71667
150.32,-33.77
150.43,-33.72
150.55,-33.67
150.9667,-33.9333
151.132,-33.4878
151.18,-33.7
151.22,-33.9
151.2475,-33.66889
151.28,-33.67
115.31,-34.07
115.31,-34.07
115.725,-34.433
115.7815,-34.40964
115.8708,-34.14528
115.871,-34.1453
116.5833,-34.38333
149.5444,-34.3736
149.5447,-34.3742
150.47,-34.23
150.88,-34.25
150.92,-34.23
150.98,-34.17
150.9833,-34.1667
116.0667,-34.71667
116.07,-34.78
116.0786,-34.77083
116.079,-34.7708
116.1167,-34.63333
116.1196,-34.70436
116.4947,-34.74528
116.495,-34.7453
116.88,-34.97
117.0832,-34.84213
117.3,-34.9
117.3567,-34.95639
117.3567,-34.95639
117.8797,-34.9325
117.9597,-34.97333
118.1819,-34.92137
118.1943,-34.97156
149.4333,-34.91667
149.5167,-34.9
149.914,-34.5867
150.5,-34.65
150.5,-34.65
150.5142,-34.57333
