"longitude","latitude"
142.2092038767,-10.556970915
142.2167,-10.55
142.22,-10.55
142.22,-10.55
142.225,-10.5583
133.28708015,-12.45924586
133.4894,-12.4672
133.4894,-12.4672
134.89503,-12.65403
130.901217881,-13.665262084
132.617866881,-13.548589492
132.62736466,-13.55841091
130.7947,-14.355
130.795,-14.355
132.151212931,-14.415256755
134.1822,-14.3502
144.2508540917,-14.4152799301
125.83,-14.87
125.8333,-14.8667
125.83333333,-14.86666667
125.834585635,-14.865291085
125.834585635,-14.865291085
132.65,-14.67
132.7167,-14.7
132.717871321,-14.765252886
143.48165,-14.681495
143.482,-14.681
144.99796694,-15.1336
144.998,-15.134
145.022683,-15.3325499995
124.631,-15.525
128.53,-15.49
128.53305556,-15.48305556
128.53305556,-15.48305556
128.53305556,-15.48305556
128.53305556,-15.48305556
128.53305556,-15.48305556
133.4025,-15.6903
145.3222222222,-15.5983333333
135.68471,-16.23022
125.45833333,-16.71666667
125.45972222,-16.71666667
125.47,-16.75
145.1818333333,-16.7057777773
145.1819,-16.7058
145.182,-16.706
145.5680673424,-16.9685983561
145.5680673424,-16.9685983561
145.57,-16.97
125.5833,-17.05
144.7091895487,-17.3735989551
144.949,-17.289
144.9491195721,-17.2886565712
144.9492,-17.2886
145.5,-17.0333
145.6833,-17.1667
145.692,-17.175
145.6925112345,-17.1735971544
138.95,-17.93
145.5008474166,-17.498596308
144.64166667,-18.22527778
144.6417,-18.2253
144.64194444,-18.22444444
144.6422222222,-18.2238888889
144.66638889,-18.22138889
144.8667,-18.9833
144.9667,-18.9833
144.9758583409,-18.990259036
145.926,-19.2048
145.9272367515,-19.2033108701
146.0525,-19.1847222194
146.3167,-19.3667
146.4658411008,-19.1205317004
146.6347,-19.03
146.7333,-19.3333
146.75,-19.3167
146.8,-19.4
146.8091707309,-19.2569190254
146.8167,-19.3333
146.8258374829,-19.3402520026
144.1863452229,-19.524101024
145.4425231124,-19.973587766
147.4,-19.5667
144.2667,-20.1333
148.5378336203,-20.1068171424
145.5008578002,-20.4985860587
148.5758223693,-21.1735731697
