"longitude","latitude"
142.1667,-10.6833
142.1667,-10.6
142.1667,-10.6
142.1667,-10.5833
142.2,-10.55
142.2089,-10.6142
142.2089,-10.6139
142.209,-10.59748333
142.2167,-10.5833
142.2167,-10.5833
142.217754344,-10.581893605
142.2206,-10.5772
142.225,-10.5749999997
142.2458,-10.6481
142.25,-10.75
142.25,-10.75
142.25,-10.75
142.25,-10.75
142.25,-10.75
142.25,-10.5833
142.25,-10.5833
142.25,-10.5833
142.25,-10.5833
142.25,-10.5833
142.25,-10.5833
142.2847222222,-10.9213888885
142.3667,-10.7167
142.4092020516,-10.8403023557
142.4092020993,-10.8903020544
142.4425350219,-10.8236357589
142.4758679911,-10.8069691629
132.501191517,-11.331927542
132.551192001,-11.0985912
132.567858375,-11.148597416
142.25,-11.0833333329
142.6167,-11.1667
142.675866068,-10.9903011999
130.667875216,-11.715266087
132.917860801,-11.548595434
132.93452126,-11.78192449
133.075076874,-11.572477386
142.434413736,-11.531884881
142.4592024009,-11.656964179
142.7833,-11.6333
142.7833,-11.6333
142.84,-11.6214
142.8409233791,-11.6200905892
131.2167,-12.4167
131.217876184,-12.415267258
132.9667,-12.4167
132.9667,-12.4167
132.97,-12.42
133.0833,-12.1
133.167862902,-12.331919943
133.33852,-12.46608
133.651182071,-12.298584412
134.66784182,-12.33191274
134.90117704,-12.4652468
135.5833,-12.05
135.584497166,-12.048577039
136.034488778,-12.098574446
136.496708851,-12.118852183
136.717820893,-12.365241844
136.72,-12.37
136.77,-12.17
136.784484396,-12.315242417
136.974761341,-12.340233859
142.1667,-12.3833
142.1758729969,-12.3902938382
142.7,-12.2667
142.7092005617,-12.2736270753
142.7642579092,-11.9825887681
142.8217,-12.405
142.822222222,-12.405277778
142.9164206801,-12.3430708578
142.916687105,-12.342946124
142.9258651847,-12.4569591047
143.08,-12.17
143.0833,-12.3333
143.0833,-12.25
143.0833,-12.25
143.0833,-12.1667
143.0833,-12.1667
143.0833,-12.1667
143.0833,-12.1667
143.0925296805,-12.1736271316
143.0925297927,-12.2569599938
143.2667,-12.4167
143.2667,-12.4167
143.2758613889,-12.4236254779
143.4,-12.2833
130.584544931,-12.898601063
130.966666666667,-12.7
130.984541085,-12.681927063
131,-12.7
131,-12.7
131.001212549,-12.698594352
131.001212549,-12.698594352
131.21787615,-12.53192383
131.21787615,-12.53192383
131.23,-12.55
131.23,-12.55
131.2333,-12.55
131.2333,-12.5333
131.234534144,-12.531921324
131.234539967,-12.548594005
131.234539967,-12.548594005
131.466666666667,-12.5333333333333
131.4667,-12.5333
131.4667,-12.5333
131.467870709,-12.498598519
131.467874834,-12.531920836
131.467874834,-12.531920836
131.467874834,-12.531920836
131.47,-12.53
131.784536189,-12.665262214
132.4667,-12.65
132.817868399,-12.865253316
132.8833,-12.6333
132.9,-12.5167
132.9,-12.5
132.9167,-12.9167
132.9167,-12.5333
132.9167,-12.5333
132.9167,-12.5333
132.92,-12.53
132.95119626,-12.53192025
132.967862646,-12.881913392
133.0167,-12.9
133.0511922,-12.7818905
133.35,-12.7833
133.35,-12.78
133.35118796,-12.78191188
133.360356534,-12.776925029
133.36785561,-12.81525362
133.601182753,-12.548585414
133.7333,-12.7667
133.734513955,-12.765251866
134.9167,-12.5667
134.917847388,-12.565249532
134.92,-12.57
135.1667,-12.5167
135.167842713,-12.515247416
135.217844651,-12.631909929
135.284501652,-12.631910465
135.401171347,-12.915246085
135.83449654,-12.61524078
135.83449654,-12.61524078
136.53,-12.6
136.534489281,-12.598567275
141.829166667,-12.6469444436
141.889316316,-12.5016639216
142.97,-12.88
143.1333,-12.7
143.1333,-12.7
143.1333,-12.7
143.1425299,-12.7069574286
143.2374446691,-12.7333456139
143.25,-12.9167
143.25,-12.9167
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.7333
