"longitude","latitude"
142.2,-10.6
142.20146111,-10.6000194397
142.206666667,-10.606666667
142.2068,-10.5901
142.2167,-10.5833
142.2167,-10.5833
142.2167,-10.5833
142.217754344,-10.581893605
142.2192,-10.5792
142.2194,-10.5553
142.21944444,-10.55527778
142.225,-10.58
142.225,-10.58
142.225,-10.5749999997
142.225,-10.5749999997
142.225,-10.5749999997
142.2258703567,-10.5403043364
142.2258703853,-10.5736374665
142.25,-10.5833
142.25,-10.5833
142.25625,-10.606183333
142.29075,-10.597041667
142.2908,-10.595
142.3287222222,-10.9035833329
142.3289,-10.9036
142.3289,-10.9036
142.3416666667,-10.9749999996
142.3833,-10.8833
142.386666667,-10.883333333
142.3881,-10.8839
142.3925354515,-10.72363641
142.4758680536,-10.8736354261
142.65,-11.05
142.6591996424,-11.0569674804
142.0695093364,-11.7569675075
142.0842064233,-11.7486307735
142.6592005805,-11.8902959515
142.85,-11.65
142.85919818,-11.6569637144
142.8189801635,-12.4050865427
142.9712476825,-12.4742626769
143.1758623704,-12.3569593205
143.2414,-11.9956
143.2425278561,-12.0069612304
141.8333,-12.5186
142.0833,-12.6333
142.08345,-12.635633333
142.176666667,-12.7208333326
142.7,-12.7
142.7,-12.7
142.70108874,-12.69854696
142.7092011868,-12.7069580557
143.0167,-12.8833
143.0167,-12.8833
143.0167,-12.8833
143.0167,-12.8833
143.0519444444,-12.7939722222
143.15,-12.7167
143.15,-12.7167
143.15,-12.7167
143.1793844256,-12.7256968297
143.1925293879,-12.7236239319
141.7676,-13.0153
141.7676,-13.0153
141.767769597,-13.015217106
141.7758781334,-13.0236245329
142.82413889,-13.1005111096
143.0011,-13.1203
143.0331113691,-13.2336092961
143.0356,-13.1214
143.21,-13.9619444444
143.3167,-13.9667
143.3258634066,-13.9736171908
144.25666667,-14.4466666695
141.5917,-14.85
141.625,-14.7583
141.625,-14.7583
145.234399543,-15.115187221
144.2925231393,-15.7069403364
144.6539,-15.8658
145.1833,-16.6833
145.1833,-16.6833
145.1833,-16.6833
145.1833,-16.6833
145.1833,-16.6833
145.1966823398,-16.8124888625
145.2508486648,-16.9152660624
145.2556974,-16.59770201
145.3333,-16.7167
144.7167,-17.35
145.3513202893,-17.3634890699
145.4167,-17.2333
145.5,-17.1
145.5167,-17.1
145.5167,-17.1
145.5258459985,-17.1069312018
145.5333,-17.1167
145.5008474166,-17.498596308
150.5841386915,-23.4152255286
