"longitude","latitude"
132.017866575,-11.331921632
132.093959287,-11.236922325
132.875353642,-11.163596214
135.651162466,-12.015251446
131.15,-12.65
132.705899901,-12.864279184
135.5,-12.9
141.65,-12.5167
141.9175428924,-12.7486256866
136.351161263,-13.281899734
131.1764,-13.8358
131.567882043,-13.481921984
131.701212848,-13.698593891
131.75,-13.75
132.05,-13.83
132.084537928,-13.831921954
142.675869831,-13.6736198308
143.1758649044,-13.9069511223
132.184535024,-14.181916035
132.5764,-14.2936
132.6207,-14.0891
132.817873436,-14.298582863
132.834528541,-14.265256711
133.0667,-14.2333
135.71784862,-14.28189999
143.7408333333,-14.3194444444
143.7725,-14.2191666667
132.07,-14.7
132.472600301,-14.577471236
132.584535871,-14.598585621
132.951205455,-14.481909673
141.6167,-14.9
143.4387272914,-14.5864667803
133.86786652,-15.1152478
142.02722222,-15.42277778
143.685972,-15.065997
144.38916667,-15.20777778
144.42861111,-15.3075
144.81111111,-15.24222222
127.5,-15.83
127.584379,-15.832056
128.14166667,-15.89305556
135.4667,-15.6167
136.667842667,-15.598559123
136.667842667,-15.598559123
141.500886128,-15.4986143144
143.55,-15.4999999995
143.8176,-15.5819
143.8176,-15.5819
143.8258613992,-15.5902755795
144.25,-15.75
144.2925231393,-15.7069403364
134.667869309,-16.081895506
135.317858234,-16.015236706
124.18083333,-16.81638889
125.45,-16.72
130.0747,-16.7106
130.100833333,-16.651388888
130.544227519,-16.60595344
136.934444444,-16.773888888
138.2077777778,-16.7158333333
144.08835,-16.725917
144.8591863955,-16.873600575
145.17019434,-16.573085
145.1703,-16.5731
145.2216777406,-16.5581694367
145.22816066,-16.87507785
144.0952232696,-17.0274372426
144.1229425566,-17.1172278718
144.1277777778,-17.0344444439
144.3091929924,-16.9902681988
144.3925257155,-17.1069341848
144.4075,-17.10055556
144.49305556,-17.20833333
144.50722222,-17.12277778
144.5425,-17.13472222
144.54277778,-17.13555556
144.5472,-17.1169
144.551111111,-17.190833333
144.56,-17.02194444
144.5961111111,-17.0625
144.6416666667,-17.1363888889
144.8883,-17.3672
144.8891874553,-17.3658207172
144.9175201242,-17.2485988884
144.9186919552,-17.4406162548
144.9189,-17.4406
144.92305556,-17.34972222
145.0342,-17.1819
145.0342,-17.1819
145.0425185184,-17.190265462
145.0841853533,-17.4152644393
145.1878551302,-17.2372829123
145.1970216353,-17.2161718537
145.22361111,-17.39805556
145.2508496037,-17.248598001
145.3,-17.3333
145.3796723466,-17.1838080476
145.5591786601,-17.0069315435
145.5614,-17.0017
145.5622341659,-17.0002649043
145.5841790471,-17.2485971203
129.244584631,-17.903875807
141.05,-17.73
141.0592305454,-17.7402749279
141.0758970425,-17.7402748772
141.65027778,-17.95222222
143.8130892531,-17.5936006243
144.4075,-17.92583333
144.4833,-17.7667
144.4925265741,-17.773598044
144.8673047041,-17.7939485363
144.8680555556,-17.7938888889
144.9136111111,-17.9683333333
145.06305556,-17.63916667
145.146167,-17.6884
132.267903609,-17.998583002
142.16527778,-18.13111111
142.2477777778,-18.1969444438
142.29194444,-18.00388889
142.44416667,-18.23083333
142.7925,-18.2206
142.7925,-18.220555555
142.9175457452,-18.2486011235
144.3258630218,-18.1569304936
144.5211386428,-18.1791520677
144.5459205963,-18.2164481398
144.55027778,-18.22166667
144.55388889,-18.24555556
144.7508589946,-18.4152616667
145.3758511581,-18.2402604425
146.02694444,-18.2818611094
146.2667,-18.3
146.2925067028,-18.1569247842
133.737877969,-18.949959337
137.1,-18.65
137.951177785,-18.515210566
143.5008734688,-18.4985985574
143.52888889,-18.52166667
143.85777778,-18.54277778
145.4258517132,-18.5902590185
145.4333,-18.6
145.5446813398,-18.9032246413
145.6758499431,-18.940257017
133.735833333,-19.023611111
143.5019868122,-19.1338744715
143.5425,-19.0211111111
143.6322222222,-19.0491666667
144.1614694444,-19.4465777778
145.8333,-19.1
145.92444444,-19.2130555594
145.92861111,-19.1811111094
146.0927777778,-19.140555555
146.3167,-19.3667
146.4411204132,-19.4735860805
146.50649434,-19.0994175794
146.8091707276,-19.2569190221
139.1967449,-19.60270207
144.1863452192,-19.5241010281
147.0841696936,-19.9152491414
137.017864395,-20.0485412
144.8533650271,-20.3924775351
144.8536,-20.3922
145.5236345862,-20.3160864899
145.9375561851,-20.1143112688
146.2508471702,-20.0819180233
148.8,-20.4
135.184547831,-20.565226252
145.2508617852,-20.7485862886
146.109184056,-20.5569170751
145.7425247684,-21.2735831464
145.7925236748,-21.1569165839
146.4725165542,-21.4305244633
146.472579,-21.430599
148.11222222,-21.2233333294
145.94130751,-21.6444611694
145.9572461561,-21.6813591222
146.94,-21.6775
140.7259188392,-22.1236020549
150.0311111111,-22.1377777771
150.0319183073,-22.1363425959
150.2760752205,-22.3496813162
150.2916666667,-22.4333333326
150.29166667,-22.4333333293
148.1691679772,-22.8102366515
150.0841432013,-22.9152288979
150.7508001025,-22.7485602068
150.785,-22.5611111104
147.01166667,-23.0008333293
150.7924680796,-23.1735587478
145.7425355699,-23.5735785981
151.1667,-23.5
151.2507969571,-23.5818891055
151.3091302911,-23.7568883743
149.5997766252,-24.1655813125
149.6133225291,-24.247171843
151.344964932,-24.1382760672
151.4494084012,-24.2396642645
151.8946802872,-24.3149400412
151.9091238481,-24.173551484
152.4010687788,-25.6716012276
