"longitude","latitude"
142.3667,-10.8833
142.3833,-10.8833
142.4092020516,-10.8403023557
142.4167,-10.9
142.4167,-10.9
142.4167,-10.85
142.4175352135,-10.748636236
142.4175353697,-10.9153018964
142.4175353697,-10.9153018964
142.4175353697,-10.9153018964
142.4175353697,-10.9153018964
142.4258685603,-10.8569689062
142.4425350219,-10.8236357589
142.4667,-10.8
142.4667,-10.8
142.4833,-10.7833
142.4833,-10.7833
142.4925344681,-10.7903025824
142.5667,-11.2833
142.6258683928,-12.4736260973
142.63,-12.45
142.63,-12.45
142.6408,-12.4556
142.6411,-12.4556
142.6411,-12.455
142.6425348625,-12.4569594942
142.667761162,-12.165219224
142.75,-12.25
142.75,-12.25
142.75,-12.25
142.7508667527,-12.248627158
142.9175316491,-12.2486269376
143.0591967035,-12.1736271746
143.0758631258,-12.1236274369
143.0833,-12.3333
143,-12.9
143.0091983028,-12.9069565464
143.0091983028,-12.9069565464
143.1667,-12.6667
143.25,-12.9167
143.25,-12.9167
143.25,-12.9167
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.7333
143.25,-12.7333
143.25,-12.7333
143.25,-12.7333
143.2508621312,-12.7486237106
143.2508621312,-12.7486237106
143.2591950196,-12.5069583675
143.2591953622,-12.7402904108
143.2591953622,-12.7402904108
143.2591953873,-12.7569569862
143.2591953873,-12.7569569862
143.2591953873,-12.7569569862
143.2591956435,-12.9236227468
143.2833,-12.7667
143.2833,-12.7667
143.2833,-12.7667
143.2833,-12.7333
143.2833,-12.7333
143.2833,-12.7333
143.2833,-12.7333
143.2833,-12.7333
143.2925283364,-12.7402903625
143.2925283364,-12.7402903625
143.3333,-12.8333
143.3333,-12.8333
143.3333,-12.8333
143.3333,-12.8333
143.3833,-12.65
143.4004986344,-12.6487892705
142.459204387,-13.0569566127
142.8799166667,-13.0058888885
142.9175328968,-13.0819557626
142.977337867,-13.1153166055
143.0152777778,-13.1861111111
143.245,-13.46138889
143.2591961547,-13.2402877247
143.33441567,-13.33186919
143.4175280702,-13.4152865492
143.25,-13.8833
143.25,-13.8833
143.25,-13.8833
143.25,-13.8833
143.25,-13.8833
143.25,-13.8833
143.25,-13.88
143.25,-13.72
143.25,-13.7167
143.25,-13.7167
143.25,-13.7167
143.2508637996,-13.7486184511
143.2591973679,-13.9236175597
143.3167,-13.7667
143.3333,-13.9167
143.3333,-13.9167
143.3333,-13.9167
143.3758626137,-13.8402844356
143.3758626137,-13.8402844356
143.4,-13.9
143.4091956468,-13.8736175418
143.4258619783,-13.7902846007
143.459195259,-13.9569503667
143.4667,-13.8167
143.4667,-13.8167
143.4667,-13.8
143.5581361111,-14.2319749995
143.634413763,-14.081861508
143.6425268442,-14.0902826986
143.6579472825,-14.2229476353
143.6691689476,-14.2314762661
145.591067,-16.9732499995
145.6591767677,-16.7402657946
145.6591768571,-16.7735989799
145.6667,-16.8833
145.6667,-16.8833
145.6667,-16.875
145.6833,-16.8833
145.6833,-16.8833
145.6833,-16.8833
145.6833,-16.8833
145.6833,-16.8833
145.6833,-16.8833
145.6833,-16.8833
145.6925098003,-16.7735988968
145.6925101159,-16.8902650481
145.7,-16.85
145.7,-16.85
145.7167,-16.9167
145.7258431494,-16.9235981508
145.7350704345,-16.8892272342
145.7375,-16.8875
145.75,-16.9333
145.7508428333,-16.9152647908
