"longitude","latitude"
130.667877044,-11.465272654
132.334526259,-11.365262343
132.55157,-11.38528
132.884515113,-11.731921757
133.067861963,-11.965260925
133.201186941,-11.748589645
131.3167,-12.45
132.9167,-12.4667
132.92,-12.47
132.921188032,-12.465290761
132.9667,-12.4167
133.33451532,-12.33191287
133.9558,-12.1628
134.1,-12.45
134.1,-12.4
134.101182929,-12.448578766
134.1106,-12.3525
134.1106,-12.3525
134.117849704,-12.365256728
134.117849704,-12.365256728
134.662272328,-12.378883974
134.9163,-12.3685
135.0799,-12.3866
130.7197,-12.6306
130.9333,-12.5667
130.967874208,-12.481929607
130.997,-12.618
131.02746,-12.61772
131.08,-12.58
131.0833,-12.5833
131.0833,-12.55
131.084539655,-12.581929833
131.10901,-12.48295
132.58,-12.67
132.5833,-12.6667
132.667864001,-12.865253742
132.754807796,-12.85358784
132.8333,-12.85
132.834522039,-12.948584762
132.8833,-12.4833
132.884524257,-12.481914888
132.90119179,-12.59859183
132.934494314,-12.781888055
133.032718183,-12.766614773
133.4667,-12.8
133.5,-12.8
133.6439,-12.6831
135.401171347,-12.915246085
135.817832519,-12.615247114
130.528055556,-13.063055555
130.7519,-13.1733
132.4733,-13.3283
132.651196434,-13.44858413
132.775,-13.4
132.8667,-13.2833
132.867869572,-13.048582912
132.95,-13.0667
142.00109618,-13.11521445
132.3849,-13.9374
132.4833,-13.5667
132.484527651,-13.565251933
132.608921036,-13.647683159
133.152025496,-13.766923606
130.6667,-14.3097
130.667891518,-14.308317575
130.6872,-14.1803
130.688441924,-14.178870605
130.72749,-14.35037
132.3209,-14.0496
132.417871073,-14.31525324
132.451203409,-14.165254156
132.47,-14.33
132.5605,-14.3484
132.6105,-14.0238
126.25,-14.9
126.3,-14.9
126.3,-14.8167
126.55,-14.75
126.9167,-14.8167
129.86269,-14.59067
129.9978,-14.5892
129.998993049,-14.587757701
126.15,-15.13
126.16666667,-15.13333333
126.25555556,-15.05583333
126.42277778,-15.04833333
125.3333,-15.8
125.4,-15.8
129.417908605,-16.248595122
126.2103,-16.4917
129.151388889,-16.865555555
137.7075,-16.7878
137.7085,-16.7865
