"longitude","latitude"
142.2096666667,-10.6084166664
142.2097,-10.6083
142.2097,-10.6083
142.216666667,-10.555
142.2167,-10.55
143.0258647389,-12.8736233661
143.1078043938,-13.1798025692
143.1078056,-13.1798027996
143.1521111111,-13.2176388885
143.4667,-13.8
144.4611428761,-14.2578583979
143.893611111,-14.615833333
143.8936111111,-14.6158333333
145.1731169498,-15.3641521213
145.2425110133,-15.1236077365
145.0388888889,-15.6972222222
145.3091781939,-15.690271474
145.3164,-15.9614
145.3164,-15.9614
145.31641667,-15.9614166695
145.4758449127,-16.4902673671
145.5641666667,-16.6472222217
145.5667,-16.65
145.5667,-16.65
145.5667,-16.65
145.5841776634,-16.7485992775
145.6716768118,-16.8110987826
144.518055556,-17.166388889
144.5181388889,-17.1665555556
144.55,-17.1833
144.55,-17.1833
144.5591907239,-17.1902667488
144.5667,-17.2667
144.5667,-17.2667
144.5667,-17.2667
144.5758574463,-17.2735997069
144.57623,-17.26673
144.5764963098,-17.2670164009
144.6,-17.2
144.6,-17.2
145.4273381675,-17.2861031881
144.5833,-18.2167
144.62083333,-18.1819444394
144.620833333333,-18.1819444444444
144.6427777778,-18.2255555556
144.642777778,-18.225555556
144.9175237371,-18.4152611687
146.2508413508,-18.4152572221
145.0792545092,-18.8568599578
144.1258683112,-19.0402615978
146.6258393433,-19.1735865667
146.7508380805,-19.2485859042
146.7925046181,-19.3569187101
146.8333,-19.1333
146.8591697771,-19.1569192399
146.2333,-19.8833
147.0091691502,-19.5069174845
147.4958,-19.7453
147.4958,-19.7453
147.5083333333,-19.6249999994
147.66690876,-19.83217623
147.9174926502,-19.9152464372
146.527662429,-20.1512177384
146.5333,-20.15
148.25,-20.0167
148.2508223703,-20.0819114111
148.2591552636,-19.9902450613
148.5078,-20.0914
148.5085968986,-20.0899661056
148.7258164,-20.1069097832
148.813888889,-20.2558333324
148.8833,-20.25
146.8186225423,-21.2266348492
149.3424839689,-22.3569000132
150.208818777,-22.4244410708
148.2925002446,-22.9235692169
149.7597233556,-23.2202369273
149.8202585094,-23.0599517275
150.0483112272,-23.108839593
148.675831747,-23.5902327716
148.6911101686,-23.7627323249
149.0333,-23.9167
149.0424952146,-23.9235638394
149.8424837027,-23.7568942532
150,-23.75
147.89168064,-24.3080998493
150.0841503287,-24.4152250448
150.8424733022,-24.4235551796
150.918861052,-24.4077215679
150.9591382674,-24.4068880697
150.99534569,-24.3780634593
151.025803845,-24.3735545432
151.2,-24.2833
151.2091342188,-24.2902206708
151.2091342188,-24.2902206708
148.0108472242,-24.9041220929
150.5619905711,-24.8944646093
151.3333,-24.7
151.3458680743,-24.6569615675
151.3473958339,-24.7085027365
151.4685761695,-24.5204967927
151.4757983877,-24.5402189386
151.4802777778,-24.5377777771
151.5075,-24.5853
151.5075,-24.5853
151.5083655735,-24.5839054558
151.509131497,-24.5902186751
151.8333,-24.8167
151.8446108069,-24.8133915654
152,-24.7833
152.0091254289,-24.7902161009
152.056,-24.612166666
152.3924533051,-24.7902145207
148.5758414437,-25.2068968509
148.9872248525,-25.2071727645
151.195,-25.0158333333
152.1014827271,-25.4385363344
152.6738407073,-25.3010453776
148.2664687852,-25.7833631885
148.8591745523,-25.8402280035
149.25,-25.75
149.2508354252,-25.7485596307
150.8758126622,-25.6735523615
151.3469,-25.9572
151.347819667,-25.9558481505
152.05,-25.5833
152.0914208339,-25.9355669086
152.2924582824,-25.4902132154
152.4614145066,-25.6922323001
152.6547,-25.7108
152.6555786584,-25.7094536013
148.509181374,-26.2068959057
148.7508460449,-26.4152278671
149.9833,-26.1
150.0841592642,-26.0818886165
152.4669254571,-26.1723355331
147.7078,-26.4986
149.2947950757,-26.7128018618
152.0091354665,-26.6735454515
152.2069246666,-26.5049741243
149.3925099785,-27.3902238587
152.1258038368,-27.2568773244
152.4174662091,-27.2485426323
152.6805168217,-27.0613194825
152.698888888889,-27.3419444444444
152.699754343,-27.3405619717
152.7507946546,-27.2485410724
152.8105778746,-27.4747840924
149.1925133633,-27.4902248061
151.6091469623,-27.6402126442
152.3114759208,-27.7218218644
152.3167,-27.7333
152.8055555556,-27.8130555556
152.8257969694,-27.8235398688
153.009125694,-27.5068727909
153.084125023,-27.5818723199
153.3924545146,-27.7068706772
152.5333,-28.2167
152.6258022874,-28.2068736951
152.6758016516,-28.2235400978
152.6899,-31.25433
150.8,-31.97
151.57,-32.84
150.8175,-33.78188
