"longitude","latitude"
142.2167,-10.5833
142.2167,-10.5833
142.2167,-10.5833
142.225,-10.5917
142.225,-10.5749999997
130.651205022,-11.365274114
132.851191112,-11.398588686
130.801206158,-11.748599799
130.967879301,-11.665266271
131.034533065,-11.848594361
142.0662052133,-11.7639693456
142.442,-11.525
142.4425357522,-11.5236316283
131,-12.45
131.034537653,-12.465266193
132.317868189,-12.398594267
132.584523445,-12.23192355
132.9,-12.47
133.267860104,-12.331913513
133.5,-12.25
134.15805,-12.35656
134.234509648,-12.398578248
134.317851771,-12.015249894
135.5833,-12
136.801155638,-12.415239793
136.8833,-12.25
141.7076815497,-12.2605767018
142.1797222222,-12.3669444444
142.8175912884,-12.4059198704
142.826666667,-12.395555556
142.8275911732,-12.3942532554
142.875,-12.3917
142.8758656225,-12.3902928771
130.967879439,-12.698599633
131.008888889,-12.618333333
131.067882475,-12.631928376
131.1667,-12.6
131.167880483,-12.598591745
131.2,-12.55
131.201203256,-12.548598502
131.23,-12.92
131.351206786,-12.731921898
131.3667,-12.8
131.367880286,-12.798593087
131.584532406,-12.831925958
131.584532406,-12.831925958
131.93453151,-12.79858827
132,-12.6667
132.7,-12.8833
132.8167,-12.7167
132.8167,-12.65
132.817859465,-12.715259814
132.8414,-12.7078
132.8497,-12.8672
132.8497,-12.8672
132.917858734,-12.531916966
132.9333,-12.75
132.95,-12.5
133.05,-12.6167
133.05,-12.4833
133.05,-12.4833
133.051192186,-12.481914748
133.8333,-12.85
135.467839535,-12.881904238
141.6592118763,-12.5236272137
142.67,-12.62
142.6758680845,-12.6236252193
142.72,-12.78
142.7258678077,-12.7902909249
143.025,-12.875
143.0258647389,-12.8736233661
130.834355,-13.349547
130.984539629,-12.998595466
131.017884468,-12.998591503
131.1333,-13.2333
131.134541832,-13.248595714
131.134544122,-13.231922714
131.151210965,-13.448591282
131.57,-13.47
132.27480976,-13.43191563
132.435555556,-13.310277777
132.436,-13.3102
132.451201846,-13.098586756
132.634530486,-13.298583886
132.7,-13.4
132.701199795,-13.398590111
133.384521579,-13.38191471
136.084499765,-13.456897066
141.750879069,-13.4152893495
142.838,-13.2313
143.0425321036,-13.4069538775
130.684543111,-13.748593043
131.55,-13.5
131.567882043,-13.481921984
131.6667,-13.5
131.70120611,-13.73191738
132.251201652,-13.581913252
132.284532525,-13.531918837
132.3833,-13.7167
132.3833,-13.7167
134.15,-13.97
136.6333,-13.8167
142.4,-13.7667
142.4,-13.7666666666667
142.401098586,-13.765206818
142.408,-13.775
142.4092061771,-13.7736198191
142.5908333333,-13.6202777778
142.6175,-13.65
142.79277778,-13.65916667
142.92111111,-13.715
143.04055556,-13.75111111
143.0667,-13.65
143.07,-13.65
143.075,-13.6583
143.0758655208,-13.6569525473
143.0763888889,-13.7505555556
126.26694444,-14.24194444
126.95,-14.0833
126.95,-14.08
129.919722222,-14.363333333
130.64922,-14.33076
131.0764,-14.3535
131.0764,-14.3533
131.17,-14.05
131.9333,-14.0333
131.934542896,-14.031914936
132.0173,-14.1586
132.0333,-14.2
