"longitude","latitude"
142.2667,-10.6
142.334418994,-11.048562028
142.4667,-11.4167
142.5,-11.05
142.5,-11
142.5,-11
142.7,-11.1
142.7,-11.1
142.7,-11.1
142.8333,-11.65
142.9,-11.9
142.9,-11.9
142.934417237,-11.865217637
143.0833,-12.1667
143.0833,-12.1667
143.0833,-12.1667
143.0833,-12.1667
143.0833,-12.1667
142.7453,-12.9031
142.7453,-12.9031
143.2333,-12.7333
143.2333,-12.7333
143.2333,-12.7333
143.3,-12.75
143.3333,-12.6667
143.4292,-12.6119
131.2,-13.6
131.2,-13.6
132.125838681,-13.645267595
132.1333,-13.65
145.25,-15.47
145.25,-15.4667
144.25,-15.75
145.26773451,-15.49851853
145.35,-15.7333
145.4167,-16.4333
145.1667,-16.7167
145.1667,-16.7
145.4167,-16.5
145.6,-16.9667
145.6,-16.9667
145.6458,-16.8336
145.701072112,-16.781835288
145.7167,-16.9333
145.7333,-16.8833
145.7333,-16.8833
145.75,-16.9167
145.4667,-17.2333
145.5,-17
145.5,-17
145.5,-17
145.5667,-17.0333
145.7167,-17.0167
145.7167,-17.0167
145.7333,-17.2
145.7333,-17.2
145.7333,-17.2
145.7333,-17.2
145.7333,-17.2
145.7333,-17.2
145.7333,-17.2
145.7333,-17.2
145.7333,-17.2
145.7333,-17.2
145.7333,-17.2
145.7333,-17.2
145.7333,-17.2
145.7497,-17.21
145.75,-17.1833
145.75,-17.1333
145.8667,-17.35
145.8833,-17.1833
145.309,-17.522
145.3092,-17.5222
146.0333,-18.2667
146.0333,-18.2667
146.2,-19
146.4,-19.0833
146.8458,-19.1583
148.7,-20.7
148.9167,-20.8333
148.9167,-20.8333
148.95,-20.87
149.18,-21.05
149.967711174,-22.148455727
149.97,-22.15
150.1833,-22.3333
151.4667,-24.4
