"longitude","latitude"
142.348333333,-10.885
142.3506,-10.8947
136.88925748,-12.24966707
143.25,-12.7333
132.4167,-13.4333
141.750879069,-13.4152893495
136.855865582,-13.906859523
143.4167,-13.6667
143.4167,-13.6667
143.4175286594,-13.7486181605
125.7167,-14.5833
125.7167,-14.5833
125.755,-14.585
125.755,-14.585
125.8,-14.8
141.6167,-14.9
126.8167,-15.0333
145.24,-15.4599999995
128.11666667,-15.88333333
128.117914895,-15.881934415
128.14166667,-15.89305556
128.14166667,-15.89305556
136.6167,-15.7167
136.617838741,-15.731884072
136.66784415,-15.76522549
144.8353,-15.5008
144.8458,-15.5172
144.8459621,-15.5173060395
144.9029250571,-15.8673699444
144.9167,-15.8833
144.9167,-15.8833
144.9167,-15.8833
145.2333,-15.8
128.69777778,-15.98944444
128.69902712,-15.98800933
128.78333333,-16.06666667
144.75,-16
144.8119444444,-16.0155555551
123.51794651,-16.48193251
124.91666667,-16.76666667
124.917950194,-16.765294132
125.45,-16.72
144.2667,-16.7333
144.2667,-16.7333
144.2667,-16.7333
144.2758593349,-16.7402692867
144.331,-16.704
145.2508486648,-16.9152660624
145.5841781186,-16.915265213
145.6833,-16.8167
124.53805556,-17.36055556
124.95,-17.42
124.95,-17.4167
124.96666667,-17.41666667
124.9667,-17.4167
124.9667,-17.4167
124.9667,-17.4167
125.227778,-17.041944
125.227797098,-17.041901714
128.25,-17.18
128.251257222,-17.181931308
128.3,-17.4417
128.301259749,-17.431930886
128.31666667,-17.13333333
128.317929618,-17.131929844
128.39666667,-17.35305556
128.4167,-17.45
128.42,-17.45
144.3667,-17.0667
144.3667,-17.0667
144.3667,-17.0667
144.3833,-17.1167
144.3833,-17.1167
144.3923076016,-17.0920078067
144.4,-17.1167
144.4,-17.1167
144.4,-17.1167
144.4,-17.1
144.4,-17.1
144.4,-17.1
144.409192241,-17.1236007417
144.4167,-17.1
144.4167,-17.1
144.4167,-17.1
144.4167,-17.1
144.4175253599,-17.0819342168
144.5,-17.1667
144.5135880419,-17.1215050585
144.5167,-17.15
144.5167,-17.15
144.5167,-17.15
144.5333,-17.1667
144.55,-17.2
144.55,-17.2
144.5841906115,-17.2485997823
144.5841906115,-17.2485997823
145.8167,-17.1333
122.201294452,-17.865311213
122.2333,-17.9667
124.95,-17.57
126.02136,-17.57462
126.03305556,-17.64972222
126.0405,-17.6062
126.4025,-17.7372
128.7125,-17.5433
128.71376003,-17.54190009
122.21,-17.9836
122.21004,-17.98374
122.4,-18
124.19305556,-17.99166667
125.66666667,-18.08333333
144.8258571267,-18.1069292016
138.042596847,-18.5902829869
138.175929618,-18.7736155974
138.4092603995,-18.6902815688
138.4917596322,-18.6969479388
138.4925929958,-18.7069479208
138.4938466461,-18.6199592554
138.5842589384,-18.7486142056
145.2881909196,-18.7459667996
138.7569842577,-19.0445851362
146.6083,-19.1583
146.4591767687,-19.7569183895
140.0842501303,-20.2486065804
140.2833,-20.35
146.5425106394,-20.1735834169
146.5853643305,-20.0411197297
146.75,-20.1667
146.7591746524,-20.1735826856
116.5,-20.6
116.56666667,-20.86666667
116.63333333,-20.53333333
116.76666667,-20.78333333
116.79333333,-20.63166667
139.4925915726,-20.723608363
139.90382182,-20.82366246
139.9039,-20.8236
140.6089679728,-20.4880486794
147.686472455,-20.5932665444
147.9174957645,-20.7485768578
118.6958,-21.2483
149.1833,-21.05
149.2258135495,-21.0735712569
147.5841707265,-21.7485750135
121.5292,-22.8575
122.85244877,-23.05637406
148.7508283422,-23.0819003317
150.4758058851,-23.2068932066
150.7758012673,-23.0902257273
150.7924680796,-23.1735587478
150.8091351965,-23.3235582426
150.8167,-23.2833
150.8258014832,-23.2902249452
122.45,-23.8
122.48472222,-23.73666667
122.5,-23.8
122.5,-23.8
122.5,-23.8
122.5155,-23.7545
122.568833,-23.552528
142.55,-23.55
150.5841394678,-23.58189173
151.1924661851,-23.9568882829
150.8992070804,-24.6364080281
150.917473889,-24.7485541001
150.9667,-24.7
150.9758062009,-24.7068872833
120.64259196,-25.25708682
120.72120784,-25.11492798
152.7591171082,-25.2735450883
152.7591172776,-25.3068783383
152.7667,-25.2833
152.7833,-25.2667
151.9969760033,-25.646123406
152,-25.6333
152,-25.6333
151.9833,-26.1333
151.9969787746,-26.1322337042
151.483333333333,-26.7666666666667
151.5,-26.7667
151.5583333333,-26.8583333325
152.2508009918,-27.0818769995
152.762,-27.3356
152.7632949716,-27.3340964343
152.0331300971,-27.7670965318
152.8619057044,-27.5163179138
152.8655167112,-27.5077067987
153.0841270221,-27.9152051767
152.0841438547,-28.2485429914
152.1591419679,-28.1235427478
152.4025,-28.2975
152.4025,-28.2975
152.4033756594,-28.2961181432
152.533333333333,-28.3666666666667
152.5671111111,-28.2276388881
152.72,-29.95
151.7667,-30.71667
152.5967,-30.58278
152.2714,-31.09328
152.4,-31.22
150.83,-31.92
150.83,-31.92
150.8333,-31.9167
150.8333,-31.91667
150.8333,-31.9
150.835,-31.90222
150.835,-31.9022
150.835,-31.9022
151.67,-31.62
151.7908,-31.7961
151.7908,-31.7961
151.791,-31.7961
152.0861,-31.9081
152.0861,-31.9081
152.4,-31.92
150.9889,-32.0944
150.989,-32.0944
151.48,-32.13
151.5,-32.26667
151.5,-32.26667
151.97,-32.02
152.47,-32.37
150.85,-32.87
150.9167,-32.75
151,-32.7
151.0667,-32.75
152.15,-32.72
150.97,-33.37
150.97,-33.3
151.08,-33.37
151.15,-33.45
151.17,-33.17
150.6594,-33.59165
150.6667,-33.56667
150.92,-33.92
150.97,-33.88
150.97,-33.77
150.9833,-33.7833
151.02,-33.97
151.05,-33.78
151.07,-33.8
151.07,-33.77
151.111,-33.731
151.2167,-33.83333
151.2521,-33.60339
151.269,-33.547
151.2692,-33.54722
151.32,-33.57
151.38,-33.52
151.384,-33.528
150.3,-34.19167
150.7,-34.05
150.72,-34.07
150.756,-34.0367
150.7762,-34.42342
150.7762,-34.42342
150.78,-34.08
150.8512,-34.40675
150.1833,-34.8
150.3,-34.78
