"longitude","latitude"
142.2225,-10.545
142.2833,-10.6167
142.316666666667,-10.9666666666667
142.3167,-10.9667
142.3167,-10.9667
142.3258697157,-10.9736349683
142.4,-10.8833
142.4175353697,-10.9153018964
142.45,-10.9667
142.4592016413,-10.9569682736
132.15,-11.17
142.1333,-11.2167
142.1342,-11.2153
142.1425385449,-11.2236336846
142.35,-11.17
142.35,-11.1667
142.35,-11.1667
142.3592029048,-11.1736337526
142.366666666667,-11.1166666666667
142.366666666667,-11.1166666666667
142.3667,-11.1667
142.3667,-11.1167
142.36891667,-10.9810833296
142.375,-11.175
142.3758693456,-11.1236340302
142.3758693975,-11.1736337356
142.3833,-11.0333
142.4139,-11.3836
142.742532396,-11.3402990417
142.75,-11.15
142.75,-11.15
142.75,-11.15
142.75,-11.15
142.75,-11.15
142.75,-11.15
142.75919869,-11.1569667809
142.75919869,-11.1569667809
142.7667,-11.15
142.7758651808,-11.1569667609
142.7833,-11.1667
142.8,-11.2
142.8,-11.2
142.8,-11.1667
142.80108222,-11.1652238
142.809198179,-11.1736332974
142.064,-11.798
142.064483,-11.79825
142.2,-11.6
142.2333,-11.6
142.2333,-11.6
142.2425379388,-11.6069647139
142.9258644884,-11.940295337
141.7833,-12.3
141.8092100103,-12.3069614494
142.1775,-12.3630555556
142.6333,-12.4667
142.6333,-12.4667
142.6425348866,-12.473626074
141.828888889,-12.6477777776
141.9630360367,-12.5336085813
142.5,-12.5
142.5,-12.5
142.5092030268,-12.5236259928
142.6,-12.7667
142.6,-12.7667
142.6,-12.7666666666667
142.601086147,-12.765212511
142.6092023514,-12.7736245199
143.15,-12.72
143.15,-12.7167
143.18,-12.72
143.1833,-12.7167
143.1833,-12.7167
143.1833,-12.7167
143.1833,-12.7167
143.1833,-12.7167
143.1833,-12.7167
143.1833,-12.7167
143.183333333333,-12.7166666666667
143.1939,-12.7239
143.2091959003,-12.7402904834
143.2278,-12.7433
143.23,-12.75
143.2333,-12.75
143.233333333333,-12.75
143.2425289002,-12.7569570104
143.3425279486,-12.8402897419
143.416666666667,-12.6333333333333
143.4176,-12.6319
143.4203,-12.6328
143.4258600813,-12.6402907247
141.75,-13.0667
141.75,-13.0667
141.75,-13.0667
141.75,-13.0666666666667
141.7592117192,-13.0736243145
141.766666666667,-13.3666666666667
141.7667,-13.3667
141.7667,-13.3667
141.8333,-13.3167
141.8333,-13.3167
141.833333333333,-13.3166666666667
142.9167,-13.0833
143.25,-13
143.25,-13
143.25,-13
143.25,-13
143.25,-13
143.25,-13
143.2591957716,-13.0069556282
143.3167,-13.7833
143.3167,-13.7333
143.3167,-13.7333
143.3167,-13.7333
143.3167,-13.7333
143.3167,-13.7333
143.3167,-13.7333
143.32,-13.73
143.3258629723,-13.7402850291
143.3333,-13.6667
143.3333,-13.6667
143.3333,-13.6667
143.3333,-13.6667
143.3425294617,-13.7402850034
143.661666667,-14.228055556
143.66166667,-14.22944444
143.662,-14.228
144.4167,-14.45
144.45,-14.35
144.45,-14.35
144.45,-14.35
144.4591849807,-14.3569465021
141.5833,-14.75
141.583333333333,-14.75
144.5833,-14.6833
144.5998597927,-14.6970214811
144.783333333333,-14.7166666666667
144.784,-14.7292
144.7844,-14.7292
144.7844,-14.7292
144.7852931655,-14.7277773187
144.5,-15.3333
144.5,-15.3333
144.5091865063,-15.3402748846
145.0833,-15.1167
145.1333,-15
145.15,-15.0833
145.1925116265,-15.1402744254
145.2,-15.1
145.2,-15.1
145.2,-15.1
145.2,-15.0667
145.2091776929,-15.1069408885
145.2091779542,-15.0736080564
145.2833,-15.3167
145.2841,-15.3153
145.2925108789,-15.3236066335
145.17361111,-15.48722222
145.2425129792,-15.9736036158
145.25,-15.75
145.25,-15.7333
145.25,-15.5
145.25,-15.5
145.25,-15.5
145.3,-15.5833
145.3258444349,-15.5902719205
145.34576986,-15.88685512
142.3333,-16.0833
145.25,-16.0833
145.25,-16.0833
145.3258457591,-16.1402693166
145.3333,-16.0667
145.3425121533,-16.1069360953
145.3667,-16.3667
145.3925120354,-16.2902684743
145.412,-16.326
145.4125,-16.32611111
145.4175120625,-16.4152678431
145.4333,-16.2
122.6333,-16.9667
145.1367,-16.5283
145.3167,-16.6333
145.3175,-16.6319
145.317742284,-16.631839061
145.3258470496,-16.6402670635
145.41280556,-16.6325833295
145.4833,-16.6667
145.4833,-16.6667
145.5833,-16.75
145.5833,-16.75
145.5833,-16.75
145.6925098451,-16.7902654895
145.7425094391,-16.8569317356
145.75,-16.9333
145.75,-16.9333
145.75,-16.9333
145.75,-16.9333
145.75,-16.9333
145.75,-16.9333
145.7536205899,-16.9194314321
145.7591761371,-16.9402646599
145.992506723,-16.94026407
145.73,-17
145.73,-17
145.8091757786,-17.0235975011
145.8091758247,-17.040264095
145.8167,-17.0333
145.83,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.9333,-17.45
145.9333,-17.45
145.95,-17.4167
145.9591751387,-17.4235953897
145.85,-18.0833
145.917511463,-18.2485921657
145.9458,-18.2083
145.9667,-18.0167
146,-18.25
146,-18.25
146,-18.25
146,-18.25
146.0333,-18.0333
146.3258403714,-18.3902570979
146.1,-18.8167
146.1,-18.8167
146.1667,-18.6667
146.1833,-18.65
146.1833,-18.65
146.3394,-18.9922
145.7333,-19.9167
146.8167,-19.6667
143.1,-20.25
148.4333,-20
148.4424863296,-20.0069110741
148.5258188997,-20.0902438291
148.7333,-20.4667
148.75,-20.4166666661
148.9174805166,-20.081909266
149.209147426,-21.1569043568
150.6258024262,-22.8902269041
150.7091333192,-22.5902275324
150.7375,-22.7830555555556
150.75,-22.7833
150.7508001025,-22.7485602068
150.7567668334,-22.7995758642
150.7833,-22.8167
150.7834870374,-22.833356416
150.8091329666,-22.8235597525
150.6731,-23.2136
150.6738587647,-23.2121702022
150.7667,-23.15
150.7667,-23.15
150.7758015661,-23.1568921947
150.7924681546,-23.190225365
150.7924682297,-23.2068919823
150.7924688343,-23.3402249257
150.842467997,-23.3068914952
150.8424686058,-23.4402244429
150.9591324606,-23.1735581082
150.9667,-23.1667
150.9757988984,-23.1735580444
150.9757989731,-23.1902246609
150.875801711,-23.4902241697
151.2507977289,-23.7485552949
151.2507977289,-23.7485552949
151.2924637009,-23.7235552015
151.3257968039,-23.773554928
151.3757969687,-23.9568875498
151.5841279806,-24.0818863687
151.6167,-24.1167
151.8424581278,-24.1735517506
151.86277778,-24.13722222
151.87,-24.15
151.9091238514,-24.173551484
151.9757914222,-24.5568835058
152.0498285378,-24.9682514907
152.4424526681,-24.8068809349
152.2091244251,-25.1568810184
152.2667,-25.2167
152.2667,-25.2167
152.2667,-25.2167
152.3172669881,-25.0474284986
152.3919,-25.1453
152.3919,-25.1453
152.3919,-25.1453
152.3919,-25.1453
152.3919,-25.1453
152.3919,-25.1453
152.4117,-25.1269
152.4124546873,-25.1254913534
152.4167,-25.15
152.4174543957,-25.0818803303
152.4424535776,-24.9902137919
152.4591205062,-25.0902134689
152.52,-25.1
152.5257862989,-25.1068798155
152.5667,-25.2333
152.75,-25.33
152.758,-25.3417
152.758,-25.3417
