"longitude","latitude"
130.666762749,-11.411101478
132.140694951,-11.126400539
132.151189927,-11.365261724
132.15119692,-11.13192943
132.875353642,-11.163596214
132.983686952,-11.056396551
130.734535302,-11.765266045
132.5,-11.5
132.934514702,-11.548587967
133.398125902,-11.527200322
131.8,-12.33
131.801197745,-12.331890483
132.2016,-12.2096
132.351193055,-12.448591842
132.934526115,-12.398586711
132.95,-12.3
133.051186137,-12.331915582
133.051186137,-12.331915582
133.051186137,-12.331915582
133.33,-12.28
133.334517921,-12.28191476
134.217849117,-12.048580942
134.301176195,-11.998579196
134.451180782,-12.13191634
134.584506468,-12.065248037
134.884502165,-12.065253717
135.55,-12.07
136.751154742,-12.165243279
136.801148817,-12.115242803
143.0833,-12.25
130.984542984,-12.848594978
131.001212549,-12.698594352
131.001212549,-12.698594352
131.334540705,-12.648594387
131.467870709,-12.498598519
131.6,-12.87
131.603,-12.86
132.801197441,-12.865258585
132.817868399,-12.865253316
132.90119226,-12.6819164
133.134517985,-12.681912928
133.734513955,-12.765251866
134.834506661,-12.681909278
135.284501652,-12.631910465
135.401171347,-12.915246085
136.789206061,-12.50857418
141.95,-12.67
130.017892429,-13.181928124
130.667886891,-13.16526296
132.56786871,-13.43191767
132.634527037,-13.465251851
134.984506329,-13.015249045
136.084496351,-13.460242203
130.651217524,-13.931924928
130.71788998,-13.66526264
130.71788998,-13.66526264
130.751218759,-13.598596906
130.884543184,-13.881924915
131.1792,-13.8347
131.184544684,-13.848595329
131.45,-13.75
131.683333333,-13.966666666
136.584494488,-13.848565491
143.485,-13.535
126.651248404,-14.44861454
129.609531943,-14.04299492
131.334548166,-14.165261778
131.98,-14.08
132.084540342,-14.165257717
132.267878373,-14.315254946
132.267878582,-14.465258864
132.396208494,-14.328313925
132.417871073,-14.31525324
132.434537908,-14.315253215
133.751190588,-14.248574192
125.751258839,-14.581951109
125.884591028,-14.581949456
130.117903027,-14.96526551
130.684550821,-14.898593359
130.884548719,-14.681925917
132.084537264,-14.581917775
132.15121437,-14.94858254
132.2281,-14.5028
132.251207121,-14.515257666
132.334534147,-14.48191271
132.401210475,-14.581918116
132.467879451,-14.565251657
132.501202135,-14.515254964
132.534532178,-14.598586466
132.8372,-14.4897
133.134534813,-14.931907088
133.167875741,-14.915250085
133.217871785,-14.948577227
133.284534932,-14.915250642
142.364444444,-14.745277778
125.53222222,-15.36038889
130.1,-15.3
130.47622279,-15.07637335
130.539559676,-15.073592951
131.334553345,-15.115260911
135.401186804,-15.448563248
135.567855333,-15.348564101
135.734510071,-15.148566597
145.3,-15.47
145.3,-15.47
136.367845581,-15.648561988
136.384507134,-15.931888346
136.46784609,-15.93188854
136.641384331,-15.681098638
136.697082003,-15.748389219
136.81783938,-15.56522577
144.167756627,-15.498523092
144.2833,-15.5
123.5,-16.15
123.758,-16.125
123.78194444,-16.13333333
123.78194444,-16.13333333
123.783333,-16.143056
124.23,-16.3734
124.83460187,-16.44862825
125.15583,-16.40437
125.3,-16
136.317846094,-15.998557031
136.367845481,-16.08189239
136.75117273,-16.16522563
136.884503832,-16.231884334
137.2664,-16.0513
137.2664,-16.0511
137.751166539,-16.265220979
137.834496478,-16.381881556
142.3127,-16.0589
144.82,-16.02
144.82,-16.02
122.66767453,-16.79221699
122.884612621,-16.515304556
123.51794659,-16.49276588
124.083333333333,-16.75
125.3375,-16.4944
125.3375,-16.4944
125.3833,-16.7167
125.38333333,-16.73333333
125.384599414,-16.731950319
138.211388889,-16.714166667
139.05,-16.97
139.134485555,-16.765207796
139.167825173,-16.648537802
144.0253,-16.5228
144.359,-16.9317
145.2167,-16.65
145.513,-16.5917
145.76773585,-16.8651764
125.2,-17.1
125.4,-17.1
139.46782103,-17.06520472
141.723928724,-17.193219992
144.3842,-17.0819
144.3842,-17.0819
144.3842,-17.0819
144.5833,-17.1667
145.42,-17
145.73,-17.17
145.75,-17.1
145.75,-17.0333
141.067621,-17.665349
142.567787177,-18.248518136
142.625,-18.775
144.0667,-18.5333
145.756666666667,-18.905
145.757,-18.905
145.757,-18.905
145.757,-18.905
143.05,-19.02
148.5167,-20.1
