"longitude","latitude"
132.1531,-11.3605
132.17909,-11.1956
132.21453,-11.31446
132.567858375,-11.148597416
133.401181912,-11.515256763
131.0845339,-12.1652685
132.3167,-12.4667
132.317868189,-12.398594267
132.317868189,-12.398594267
132.58,-12.23
132.5833,-12.2333
132.584523445,-12.23192355
132.9,-12.3167
132.901190518,-12.315257881
133.267860104,-12.331913513
133.28708015,-12.45924586
134.251179582,-12.048582024
134.501176494,-12.215250656
134.8833,-12.0833
136.7,-12.3667
136.7,-12.3667
136.701159634,-12.365238066
136.92003,-12.31101
131.126968022,-12.872022613
131.201205709,-12.631927432
131.2422,-12.5939
131.251208348,-12.631925612
131.251208348,-12.631925612
131.251208348,-12.631925612
131.251208348,-12.631925612
131.27223,-12.61285
131.3167,-12.55
131.7167,-12.6
131.767875489,-12.598589652
132.1,-12.55
132.117869335,-12.565262136
132.3497884,-12.5727345
132.396471199,-12.681090403
132.396746385,-12.676648186
132.417866686,-12.581919323
132.4583,-12.65
132.5417,-12.925
132.5833,-12.9333
132.7,-12.5667
132.898610822,-12.50169052
132.90145,-12.51446
141.9175426321,-12.5819598718
130.767885952,-13.098593005
130.777324614,-13.151928467
130.795706708,-13.139896437
130.845106301,-13.102760912
131.001213341,-13.065264809
131.1,-13.3
131.151208615,-13.39859154
131.23453613,-13.16526478
132.654680531,-13.4320545
132.93167,-12.99982
132.95,-13.02
136.226161778,-13.20106759
136.360602314,-13.153569034
130.8572,-13.4967
130.858432149,-13.495256439
131.53,-13.65
132.2667,-13.55
132.267875124,-13.565259037
132.2833,-13.55
132.29637,-13.54455
132.42,-13.92
132.434531401,-13.515253833
132.95,-13.8
132.95,-13.8
126.3,-14.1
130.77055,-14.33995
130.7859,-14.075
132.0298,-14.1535
132.4521,-14.2328
132.45487,-14.29825
132.4823,-14.2867
132.56859,-14.24076
132.57119,-14.25325
132.9,-14.1833
132.95,-14.2
130.806219044,-14.733592312
132.607872441,-14.621358265
132.607872441,-14.621358265
133.134529624,-14.565251164
130.3144,-15.2117
130.4303,-15.2294
124.5,-15.5
128.7,-15.8
129.755,-15.6644
129.755,-15.6644
129.75522,-15.66457
126,-16.7
145.0273836276,-16.5042501692
145.02738363,-16.50425017
145.0275,-16.5042
145.0275,-16.5042
145.12280157,-16.56453086
145.2837258177,-16.9064908702
145.4175133959,-16.9152656369
145.5008446435,-16.4986005989
145.5633443023,-16.6458220057
145.5652777778,-16.6461111111
145.687222222222,-16.8138888888889
139.2486111111,-17.4247222222
145.3091821876,-17.2235979498
145.55106885,-16.99850311
145.561,-17.0017
145.5622,-17.0003
145.5622341648,-17.000264901
145.5622341648,-17.000264901
145.2591841924,-17.7069294726
145.5008474166,-17.498596308
146.4658411008,-19.1205317004
146.75,-19.3167
144.0734936588,-19.5629695578
146.7508398508,-19.7485841327
147,-19.7667
