"longitude","latitude"
142.2167,-10.5867
142.2167,-10.5833
142.2167,-10.5833
142.2167,-10.5833
142.217595,-10.582041
142.217754344,-10.581893605
142.225,-10.5749999997
143.0091982767,-12.8902899687
143.0425311496,-12.8236236096
142.9580277778,-13.4391388885
143.191666667,-13.9666666666
143.2925299395,-13.7069519228
143.4925277082,-13.6736184151
144.2833,-14.3
144.2833,-14.3
144.2945666154,-14.3124813372
144.4997222222,-14.2827777773
144.5833,-14.5
144.5923661251,-14.7032678389
144.5972232256,-14.5126909807
145.1711111111,-15.6805555551
