"longitude","latitude"
142.3667,-10.7167
142.4667,-10.7833
142.4667,-10.7833
142.4667,-10.7833
142.4667,-10.7833
142.4667,-10.7833
142.4667,-10.7833
142.4667,-10.7833
142.4667,-10.7833
142.4667,-10.7833
142.4667,-10.7833
142.467781471,-10.781862295
130.5333,-11.4667
130.664,-11.424
132.5333,-11.0833
132.534515953,-11.081928155
132.567862652,-11.065264937
142.5667,-11.2833
142.5842006283,-11.2486330795
142.675866393,-11.3069659724
142.781022164,-11.0762837877
130.7364,-11.5997
131.134534026,-11.698600753
131.167870841,-11.581928442
142.7337022347,-11.6387017208
142.734,-11.639
142.7678688316,-11.8606449544
142.8028683149,-11.7189789931
142.803,-11.719
142.8333,-11.6667
142.8425317131,-11.6736303066
131.047011157,-12.148592607
131.2167,-12.3667
131.271918654,-12.07705623
131.517878152,-12.365265665
132.25,-12.25
132.2667,-12.1833
132.26786904,-12.18191844
132.9167,-12.4167
132.9403,-12.3558
132.951187868,-12.381920849
133,-12.42
133,-12.4167
133,-12
133.1822,-12.2425
136.7094,-12.3638
136.7167,-12.3667
136.717820893,-12.365241844
136.817821065,-12.448572363
141.9291457615,-12.4270415101
141.92954886,-12.4187938
142,-12.45
143.0333,-12.1333
143.0441284663,-12.1465506843
143.0591967035,-12.1736271746
143.0814187756,-12.2386267784
143.2758613889,-12.4236254779
130.684544909,-12.598594885
130.784542684,-12.965266199
131.2167,-12.5333
131.21787615,-12.53192383
131.22,-12.53
131.2333,-12.55
131.234539967,-12.548594005
131.262311895,-12.509702845
131.60168,-12.85898
132.4667,-12.6667
132.784526739,-12.865253757
132.7997,-12.8392
132.801197441,-12.865258585
132.81,-12.8333
132.8167,-12.8667
132.834524765,-12.781917529
132.8667,-12.85
132.9,-12.7333
132.9,-12.5
132.9,-12.5
141.9167,-12.5167
141.9217368528,-12.5586821026
143,-12.5
143,-12.5
143.0157868901,-12.6121133449
143.0925304614,-12.723624077
143.2,-12.7167
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.7333
143.25,-12.5
143.2508621312,-12.7486237106
143.2591950196,-12.5069583675
143.2591950196,-12.5069583675
143.2591950435,-12.5236249412
143.2591953873,-12.7569569862
143.2833,-12.7667
143.2833,-12.7667
143.2833,-12.7667
143.2833,-12.7667
143.2833,-12.7667
143.2925283866,-12.7736235131
143.2925283866,-12.7736235131
143.358333333,-12.7916666666
130.0833,-13.25
130.234543583,-13.165263689
130.3333,-13.0833
130.334550966,-13.081926257
130.5,-13.1833
130.501213683,-13.398593735
130.501219096,-13.181930892
130.6667,-13.1
130.6667,-13.1
130.667879562,-13.098599521
130.7833,-13.3833
130.784545985,-13.381927077
132.83,-13.32
132.8333,-13.3167
132.8333,-13.3167
132.8333,-13.3167
132.834525537,-13.315259002
132.867869572,-13.048582912
132.9167,-13.4667
132.9833,-13.0667
132.9833,-13.0667
132.984524399,-13.065252457
133.001198009,-13.131916854
130.7667,-13.7667
130.767884869,-13.765263566
130.77,-13.77
130.9833,-13.75
131.201215816,-13.598595274
131.2333,-13.5667
131.23453901,-13.56526246
143.3167,-13.7167
143.3167,-13.7167
143.3167,-13.7167
143.3167,-13.7167
143.325862942,-13.723618447
143.3333,-13.9167
143.3333,-13.9167
143.3333,-13.75
143.3333,-13.6667
143.3333,-13.6667
143.4167,-13.6667
143.4175286594,-13.7486181605
143.4175289675,-13.915283984
143.459195259,-13.9569503667
126,-14
126.1,-14
126.1,-14
126.1,-13.9833
126.1,-13.9833
126.101250108,-13.998613427
127.5167,-14.1
127.5167,-14.1
127.5167,-14.1
127.5167,-14.1
130.00122904,-14.08192419
130.051226343,-14.398596455
136.684497281,-14.165238184
125.1833,-14.5833
125.1833,-14.5833
125.25,-14.6167
125.57016667,-14.78161111
125.7,-14.8167
125.7,-14.8167
125.7,-14.8
125.7,-14.8
125.7,-14.8
125.7,-14.65
125.8211,-14.7783
125.82111111,-14.77833333
125.85,-14.82
125.85,-14.8167
130.084559956,-14.51526305
125.06666667,-15.28333333
125.0667,-15.2833
125.35,-15.0042
125.41666667,-15.01666667
125.43477778,-15.21602778
125.4833,-15.4667
125.48333333,-15.46666667
125.48722222,-14.98583333
125.488480702,-14.984451635
145.2758443667,-15.3069400845
124.56666667,-15.93333333
125.21666667,-15.53333333
125.21666667,-15.53333333
125.21666667,-15.53333333
125.2167,-15.5333
125.2167,-15.5333
125.2167,-15.5333
125.41666667,-15.56666667
125.4333,-15.6
125.4333,-15.6
128.0989,-15.925
128.099,-15.925
128.1,-15.9167
128.1031,-15.8992
128.10321576,-15.89922367
128.1033,-15.8992
128.11666667,-15.88333333
145.3333,-15.8167
145.3425114588,-15.8236040957
124.6333,-15.9833
124.6333,-15.9833
124.76666667,-16.03333333
124.7667,-16.0333
124.9167,-16.1833
125.0167,-16.3333
125.0167,-16.3333
125.09927,-16.36423
125.396,-16.014
125.59602166,-16.02290917
125.71666667,-16.03333333
125.7167,-16.0333
125.7167,-16.0333
145.4147341561,-16.3527681332
145.4333,-16.15
145.4333,-16.15
145.4333,-16.15
145.4433,-16.1481
145.4441312357,-16.1466784496
145.45,-16.1333
145.45,-16.1333
145.45,-16.1333
145.451068665,-16.131809262
145.4559902189,-16.1246230322
145.4559902189,-16.1246230322
145.4559902227,-16.1246230295
145.4583333333,-16.0916666662
145.459177548,-16.140269006
145.8258419749,-16.9235978978
145.8333,-16.9667
145.8667,-16.9167
145.8925079025,-16.9402643224
145.9175075398,-16.9152643702
145.9667,-16.75
145.9667,-16.75
145,-17.3333
145.6833,-17.1667
145.6925,-17.1775
145.693,-17.1775
145.7167,-17.1667
145.7167,-17.1667
145.7258438432,-17.1735970676
145.83,-17
145.83,-17
145.83,-17
145.83,-17
145.83,-17
145.83,-16.98
145.83,-16.98
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-17
145.8333,-16.9833
145.8333,-16.9833
145.8333,-16.9833
145.8333,-16.9833
145.8333,-16.9833
145.8333,-16.9833
145.8333,-16.9833
145.8333,-16.9833
145.8333,-16.9833
145.8333,-16.9833
145.8333333,-17
145.833333333333,-17
145.84166667,-17.0083333295
145.842,-17.2583
145.8425086281,-16.9902642287
145.8425086281,-16.9902642287
145.8425086739,-17.0069308222
145.8425086739,-17.0069308222
145.8425086739,-17.0069308222
145.8425086739,-17.0069308222
145.8425086739,-17.0069308222
145.8425086739,-17.0069308222
145.8425086739,-17.0069308222
145.8425086739,-17.0069308222
145.8425086739,-17.0069308222
145.8425086739,-17.0069308222
145.8425086739,-17.0069308222
145.8425086772,-17.0069308189
145.8425093728,-17.25692974
145.8667,-17
145.8667,-17
145.8667,-17
145.8667,-17
145.8667,-17
145.8667,-17
145.8667,-17
145.8667,-17
145.8833,-17.1833
145.8833,-17.0833
145.8833,-17.0833
145.8833,-17.0833
145.8833,-17.0833
145.9333,-18.0667
146.15,-18.0083
146.15,-18.0083
146.15,-18
146.2333,-18.3333
146.259174611,-18.4235904954
146.3083,-18.375
