"longitude","latitude"
142.75,-11.9
143.7219444444,-18.6016666661
146.7708,-19.1917
146.7708,-19.1917
146.8593805556,-19.1378416661
146.8594,-19.1378
146.8667,-19.1333
144.2520912101,-19.8782583194
143.6867447761,-20.617395889
144.1919850141,-20.6827569921
145.8505818025,-21.9105256751
145.8747484005,-21.9605254693
148.4258269704,-21.8235716757
148.48,-21.93
148.4924932725,-21.940237752
147.5841759653,-22.9152387508
149.8390603735,-22.9594737525
149.8577640991,-22.9678292147
149.8591464897,-22.9735629282
149.8936092196,-22.7335995502
150.0804679137,-22.8991069549
147.2162587466,-23.4647459706
149.1591561874,-23.0568987735
150.2424749627,-23.0402279231
150.3,-23.0667
148.5838895482,-23.8018993561
149.3424899191,-23.6568965403
150.5,-23.5
150.6667,-23.6667
150.7091381846,-23.6735576501
151.0410782238,-23.7085562365
148.5117049599,-24.4610983702
150.65166077,-24.30833098
150.9413603366,-24.3257772324
151.0483027819,-24.2199437275
151.1963577944,-24.4388316766
151.2438545744,-24.0010546236
151.4424650299,-24.4402193267
144.6688917634,-24.8454718683
146.655956687,-24.5095219153
147.20577778,-24.7862222193
148.0167,-24.8667
148.5097089245,-24.503890255
148.5132551617,-24.5036316204
148.5425054977,-24.6402312543
151.1591380797,-24.9235526763
148.945,-25.288
148.945277778,-25.287777778
148.94527778,-25.28777778
149.4088888889,-25.3724999993
150.4444121513,-25.3243364272
151.3833333333,-25.4519444437
152.4174543957,-25.0818803303
147.511632177,-25.8064375928
150.759147172,-25.5902197039
151.4174712234,-25.5818834755
151.7038562048,-25.6099377188
151.7508007218,-25.7485483374
151.9832969224,-25.6579919535
147.9009193988,-26.0691981475
151.182199161,-26.0221614619
151.70169849,-26.2387775593
152.3167,-26.25
152.3257952321,-26.2568781065
150.57,-26.6361111103
150.9174848152,-26.748550426
151.5008084283,-26.4985480823
151.8851828819,-26.8225984477
151.8855501,-26.8015123592
151.9174715156,-26.9152121519
152.0091345255,-26.5068790718
152.8667,-26.5667
152.8757889766,-26.5735416944
152.9358333333,-26.8983333325
152.9373206662,-26.94755481
152.9424563471,-26.8735408297
152.9424565393,-26.9068740994
152.8757933502,-27.3402070097
151.5269073462,-27.6572923583
151.5924815697,-27.8068792045
151.63645496,-27.66972335
151.6364556,-27.6697222
152.0925,-27.7499999992
152.4174681917,-27.581875481
152.8055555556,-27.7861111103
150.5027574161,-28.3104517206
151.2555434205,-28.0363250998
151.3605786149,-28.0466033459
152.0936111111,-28.1988888881
152.636388888889,-28.4608333333333
152.7508006964,-28.2485397018
153.192,-28.2083
153.1924605276,-28.2068709338
153.217,-28.3889
152.505277777778,-28.5358333333333
153.387777777778,-28.6205555555556
153.408888888889,-28.5555555555556
152.781,-29.2622
150.178,-29.914
146.7667,-31.45
146.7667,-31.45
149.5,-31.22
149.7564,-31.20639
152.6,-31.28
150.32,-31.72
150.538,-32.3042
150.97,-32.7
150.6,-33.83
150.95,-33.9167
150.98,-33.88
151.0028,-33.8681
151.0081,-33.95157
150.4333,-34.15
150.62,-34.17
150.7,-34.05
150.72,-34.17
150.72,-34.12
149.9833,-34.7833
