"longitude","latitude"
142.1667,-10.6
142.2258703567,-10.5403043364
142.4667,-10.7667
142.4758679604,-10.773636032
142.2667,-12.1167
143.2591953589,-12.7402904141
143.2591953622,-12.7402904108
142.6925355567,-13.2402886373
143.4833,-13.7333
143.4925278891,-13.7736179023
143.4925280149,-13.8402842329
145.1,-17.6833333333333
145.1,-17.6833333333333
144.3167,-18.15
144.8253,-18.1081
144.8333,-18.1167
144.8333,-18.1167
144.8416666667,-18.1249999994
145.85,-19.3167
144.75,-19.4833
145.85,-19.875
149.7833,-24.8167
150.8,-24.7
151.7583,-25.4019
151.8833,-25.6833
150.82,-26.07
150.7431,-26.5783
151.7833,-26.5333
151.816666666667,-26.9333333333333
151.8619,-26.5594
151.8619,-26.5594
151.8833,-26.5667
152.55,-27.55
152.6667,-28.0333
152.9167,-28.25
152.7,-29.01667
152.7,-29.01667
152.2167,-31.41667
152.3167,-31.41667
