"longitude","latitude"
132.782388889,-11.938361111
132.7825,-11.9383
133.001194215,-12.381913775
133.05,-12.32
133.051186137,-12.331915582
133.051189686,-12.315257987
133.1,-12.3167
133.2167,-12.2667
133.251192144,-12.298587884
133.267860104,-12.331913513
133.38,-12.45
133.3833,-12.45
133.384520857,-12.448582666
134.251179815,-12.031916553
134.301176195,-11.998579196
130.501213894,-12.915265058
130.7253,-12.7933
132.25,-12.77
132.4,-12.97
132.47,-12.97
132.47,-12.97
132.7833,-12.8667
132.85,-12.82
132.851196007,-12.848584319
132.875,-12.8333
132.876191978,-12.481885534
132.9,-12.7667
132.9167,-12.75
132.9167,-12.75
132.9167,-12.75
132.9167,-12.75
132.917868128,-12.831914665
132.951189835,-12.748588365
132.9667,-12.95
132.96786715,-12.94858346
133.351192126,-12.498587327
133.7333,-12.7667
133.734513955,-12.765251866
134.167849692,-12.748581393
130.55,-13.0667
130.550555556,-13.059166666
130.5833,-13.1667
130.5833,-13.1667
130.5833,-13.1667
130.6586,-13.1358
130.709541299,-13.056928131
131.117880452,-13.365265339
131.117881302,-13.248590004
131.13,-13.35
131.134544122,-13.231922714
131.15,-13.3667
131.15,-13.35
132.4,-13.43
132.401196642,-13.398588505
132.401198012,-13.431914955
132.4097,-13.42
132.4097,-13.42
132.4097,-13.42
132.42,-13.42
132.45,-13.3333
132.8,-13.1
132.8,-13.1
132.8167,-13.2667
132.8167,-13.2667
132.834524968,-13.331913472
132.834524968,-13.331913472
132.834526471,-13.265259327
132.867864395,-13.315252002
132.87,-13.08
132.875,-13.3167
132.876196596,-13.315285692
132.87620518,-13.31520887
130.434358,-13.482048
130.601221675,-13.748596931
130.834542343,-13.531928388
130.91788516,-13.51526128
131.434541278,-13.548592146
131.884541627,-13.865256753
132.21787584,-13.5985881
132.25119963,-13.56525652
132.2667,-13.65
132.52,-13.52
132.579583333,-13.497611111
132.634241559,-13.609977576
132.751199523,-13.581912236
132.95,-13.5167
133.08619259,-13.77025263
135.75,-13.5833
127.31666667,-14.04166667
130.6667,-14.3097
130.667891518,-14.308317575
130.688985411,-14.17970734
130.8167,-14.2667
130.8167,-14.2667
130.8167,-14.2667
130.895,-14.2431
130.895,-14.243
130.895,-14.243
132.18453264,-14.19858931
132.184535024,-14.181916035
132.251205655,-14.165257714
132.4331,-14.2525
132.884501971,-14.248581877
125.4,-14.9
125.66666667,-14.81666667
125.6667,-14.8167
125.7,-14.8
125.71666667,-14.68333333
125.7167,-14.6833
125.73333333,-14.68333333
126.18,-14.9
126.1833,-14.9
126.184582458,-14.898613521
126.2,-14.9
126.2,-14.9
126.2,-14.9
126.2,-14.9
126.2,-14.9
126.2,-14.8833
126.75,-14.8333
126.758,-14.8417
126.95,-14.65
129.9025,-14.6544
130.3097,-14.5819
130.310941768,-14.580547296
125.98583333,-15.26805556
129.2667,-16.25
137.5,-18.5
