"longitude","latitude"
142.17045158,-10.6054939797
142.1706,-10.6056
142.2457901153,-10.9116911061
142.2458,-10.6481
142.2936,-10.5236
142.2936891,-10.5234969097
142.8523121619,-11.6245349926
141.742543939,-12.2402952268
141.742543939,-12.2402952268
141.9489309752,-12.4339050385
142.1592065976,-12.4569601723
143.0833,-12.25
143.0833,-12.25
143.0833,-12.25
143.0833,-12.25
143.0833,-12.25
143.0833,-12.25
143.0833,-12.25
143.0833,-12.25
143.0833,-12.25
143.0833,-12.25
143.0833,-12.25
143.0833,-12.25
143.0833,-12.25
143.0833,-12.25
143.0833,-12.25
143.0847520864,-12.2483489414
143.0925296143,-12.1236274157
143.0925297927,-12.2569599938
141.817,-12.677
141.8333,-12.5
141.8333,-12.5
141.834427086,-12.665217501
141.8425435488,-12.6736261802
141.85,-12.6333
141.85,-12.6333
141.8592100172,-12.6569595735
141.8758764095,-12.5902932233
141.8758764858,-12.6402929706
141.884431365,-12.615217067
141.8925429545,-12.6236263612
141.9175426321,-12.5819598718
141.9175428891,-12.7486256866
143.2667,-12.5
143.2667,-12.5
144.6758496092,-14.5569450673
144.8153,-15.4875
144.81531009,-15.4874418295
145.04433018,-15.6417196595
145.0444,-15.6417
146.9175021427,-19.0819193419
146.9175021427,-19.0819193419
146.9175021427,-19.0819193419
146.9175021427,-19.0819193419
146.9175021427,-19.0819193419
146.3425115169,-19.756918772
146.3425115169,-19.756918772
146.602507975,-19.6510849487
146.7925060379,-19.7569173019
146.5276624255,-20.1512177431
146.5853643296,-20.0411197282
146.5925095892,-20.0569169577
147.5328120437,-20.2775520706
148.5242636298,-20.2211427803
148.5583367535,-20.182901488
148.5591519243,-20.1235769264
148.5591519276,-20.1235769264
151.9248325892,-24.5004362139
153.1757776417,-25.2568767252
152.3758,-26.4747
152.3758,-26.4747
152.3766290238,-26.4732663521
152.377,-26.473
152.377,-26.473
152.3803088482,-26.4527869479
152.4097525108,-26.3872313523
152.45,-26.2333
152.45,-26.2333
152.4786395148,-26.2382924934
152.7507881155,-26.081876583
152.9525,-26.4319444436
152.9631771994,-26.4315600499
152.9667,-26.4333
152.9667,-26.4333
152.3591295616,-26.5235441182
152.5333,-26.7
152.5333,-26.7
152.5424612605,-26.7068762858
152.633333333333,-26.5166666666667
152.8889152653,-26.8222283995
152.8997474036,-26.6472286126
152.925787783,-26.4902083008
152.925787783,-26.4902083008
152.6802389006,-27.035763971
152.7188149611,-27.1066403694
152.792461637,-27.4068739625
153.1757922765,-27.9068714134
153.2532585865,-27.8821870642
