"longitude","latitude"
142.1425385808,-11.2569668251
133.734513955,-12.765251866
143.1,-12.9
143.1010825,-12.8985407
143.1091972309,-12.9069563956
143.2,-12.5
143.23,-12.5
143.234407312,-12.498542556
143.2425285323,-12.5069583905
143.2591950163,-12.5069583642
143.3,-12.7
143.3086,-12.715133333
142.9425326429,-13.0902890135
142.9443333333,-13.0888499996
143.4843,-13.3677
143.485,-13.3683
132.86787341,-13.94858211
143.4855186551,-13.5366360261
143.4855830966,-13.5366746914
143.485919729,-13.5336911256
