"longitude","latitude"
142.1758709325,-10.6069706365
142.1819,-10.6792
142.2,-10.6
142.2,-10.6
142.2072,-10.5586
142.21277778,-10.5824999997
142.2128,-10.5825
142.2167,-10.5833
142.2167,-10.5833
142.217754344,-10.581893605
142.225,-10.5749999997
142.22555556,-10.58027778
142.22833333,-10.57666667
142.25,-10.5972
142.2508701331,-10.5819707246
142.295,-10.59333333
142.364,-10.8603
142.409202096,-10.8903020577
142.409202096,-10.8903020577
142.4167,-10.7333
142.4167,-10.7333
142.4175352168,-10.748636236
142.4592014191,-10.7236363512
142.4592014799,-10.7903026157
142.8370345275,-11.6200905936
142.1667,-12.45
142.1667,-12.45
142.1667,-12.45
142.1667,-12.3833
142.1667,-12.3833
142.3333,-12.1667
143.3,-12.0333
143.3091938457,-12.0402942917
143.4175267565,-12.5819577254
142.8562,-13.2449
142.85625,-13.24485
142.9669768515,-13.1066777826
142.9671712994,-13.1066777823
143.2091979371,-13.9402842371
143.2258644901,-13.9736173721
143.3333,-13.75
143.3333,-13.75
143.3425294921,-13.7569515789
143.3425297075,-13.8736176604
143.3758626137,-13.8402844389
143.4175286627,-13.7486181605
144.4614069881,-14.2572247891
144.1,-14.5
144.1327391542,-14.5083749222
145.11944444,-15.42861111
145.25444444,-15.4605555595
144.8333,-15.9667
145.11982549,-15.6595766495
145.2167,-15.75
145.2167,-15.75
143.02458313,-16.2492464195
144.1472,-16.1264
144.1472,-16.1264
144.73027778,-16.35111111
145.3,-16.2333
145.3,-16.2333
145.3,-16.2333
145.3,-16.2333
145.3,-16.2333
145.3091795334,-16.2402689
144.2667,-16.7333
145.3270300439,-16.6657645319
145.6667,-16.8667
145.6667,-16.8667
