"longitude","latitude"
130.967879689,-11.815270429
131.0167,-12.1667
131.08,-12.17
131.0845339,-12.1652685
131.0845339,-12.1652685
131.13870436,-12.45359828
132.501193987,-12.46526287
132.617865852,-12.315255327
132.851193872,-12.465257837
132.901194884,-12.465253555
132.93,-12.47
132.93452352,-12.46525755
132.95,-12.4167
132.95,-12.4167
132.95,-12.4167
132.95,-12.4167
134.82086,-12.27866
130.834541971,-12.64859498
130.92,-12.58
130.92,-12.58
130.925,-12.475
130.967874208,-12.481929607
130.967880687,-12.498595902
130.967880687,-12.498595902
130.967882724,-12.548594802
130.984543292,-12.565264737
131,-12.5
131.002605466,-12.504693613
131.0037,-12.4902
131.034537086,-12.548594724
131.034537086,-12.548594724
131.057477284,-12.611888033
131.0667,-12.7
131.11585,-12.52109
131.11655,-12.51081
131.12189,-12.53376
131.1833,-12.5333
131.18352,-12.48375
131.184534676,-12.481924198
131.38,-12.8
131.3845357,-12.7985964
131.3845357,-12.7985964
131.5333,-12.7833
131.78281,-12.6559
131.78301,-12.65941
131.8815,-12.7304
131.967870542,-12.59859276
132.351201053,-12.748587956
132.355278,-12.734167
132.367865732,-12.73192382
132.367868883,-12.698587767
132.6333,-12.6167
132.667865766,-12.66525986
132.675,-12.675
132.675,-12.675
132.675,-12.675
132.766757559,-12.873868376
132.769300213,-12.881092147
132.7833,-12.8667
132.784526739,-12.865253757
132.8333,-12.85
132.8333,-12.7
132.8667,-12.5833
132.8667,-12.5833
132.867864859,-12.648583961
132.91786128,-12.68192104
132.917862727,-12.548591216
132.9667,-12.7833
132.9667,-12.4833
132.967860863,-12.481914185
132.9833,-12.75
132.984519414,-12.748582473
133,-12.7667
130.701217897,-13.181928915
130.7586,-12.9775
132.3167,-13.2833
132.6667,-13.1833
132.6667,-13.1833
132.75,-13.1333
132.751197926,-13.131912671
132.7667,-13.4
130.74306,-13.93541
132.12,-13.62
132.517872919,-13.548582667
132.412876027,-14.328315586
132.4894,-14.3347
132.5363,-14.379
132.5543,-14.359
132.6242,-14.0627
125.8333,-14.8167
132.117877062,-14.648586267
144.5844444444,-14.8349999995
130.30296,-14.99575
130.584557397,-15.13192203
135.66975,-15.19299
144.38972222,-15.20944444
125.3333,-15.8
125.6,-15.5667
128.101251358,-15.865278285
128.95,-15.6167
129.03088,-15.75712
129.03682,-15.73788
130.301231209,-15.58192497
135.1833,-15.9167
135.184514349,-15.915234736
143.6758634243,-15.7402749334
135.184519743,-16.215235776
135.7644,-16.3704
136.33,-16.17
136.3833,-16.05
128.5,-16.75
135.467857313,-16.698560791
143.1437186388,-16.6681417632
138.2572222222,-16.9769444444
138.3577777778,-17.4588888889
141.2375608208,-17.3669421027
142.4825,-17.29472222
138.29416667,-17.84972222
138.3216666667,-17.7077777778
141.5008918217,-17.4986076143
142.4447222222,-17.9352777778
138.1759280373,-18.3569495452
138.8759201049,-18.0236144695
143.3092088483,-18.4735992309
144.20944444,-18.09722222
138.5842589384,-18.7486142056
141.87277778,-18.71833333
142.5842172046,-18.5819345391
142.584451568,-18.681843078
142.704496433,-19.3405432638
144.0653134372,-19.0380395745
142.5842208995,-19.5819319862
132.2,-20.6333
132.2,-20.6167
