"longitude","latitude"
132.165359768,-11.406094101
131.251202021,-11.698593566
131.044261074,-12.226376746
132.86786364,-12.19858875
133.33451532,-12.33191287
134.9,-12.1
134.9,-12.0833
130.617882553,-12.948593052
130.70121266,-12.73192703
130.79796,-12.68626
130.9,-12.75
131.0167,-12.5167
131.1167,-12.8667
131.25,-12.6333
131.367880286,-12.798593087
131.3845357,-12.7985964
131.584532406,-12.831925958
131.584532406,-12.831925958
131.83771,-12.75581
132.5667,-12.95
132.567864313,-12.948590291
132.8333,-12.85
132.8333,-12.85
132.922695954,-12.708836275
132.92844569,-12.68086507
135.401171347,-12.915246085
135.401171347,-12.915246085
142.7,-12.7
142.7083333,-12.6916667
142.7092011648,-12.6902914813
130.571944444,-13.005277777
130.709542665,-13.062487099
130.964546731,-13.263870716
131.0667,-13.0667
131.117881302,-13.248590004
131.117882071,-13.165260246
131.117884805,-13.231925869
131.15,-13.4
131.15425,-13.26951
131.1667,-13.4667
131.167687,-13.465381
131.167878011,-13.465265192
131.1833,-13.0833
131.23453613,-13.16526478
131.57,-13.47
132.25,-13.3167
132.25,-13.3167
132.251198611,-13.315259286
132.41599,-13.43659
133.57,-13.07
142.9975,-13.18305556
143.052,-13.3555833329
131.201210382,-13.93192146
131.25987,-13.53098
131.3833,-13.5
131.46623,-13.68048
131.51756,-13.57702
131.5333,-13.5167
131.55,-13.5
131.634541173,-13.631922298
131.82,-13.82
131.8333,-13.8167
131.834541148,-13.831916636
132.034536405,-13.831917945
132.1833,-13.8
132.1833,-13.7167
132.1833,-13.7167
132.201205758,-13.615255974
132.220736,-13.8151
132.2833,-13.4833
132.3833,-13.7167
132.3833,-13.7167
132.384536642,-13.71525939
132.6667,-13.7333
132.6667,-13.7333
132.667867433,-13.731912587
132.667867433,-13.731912587
132.67,-13.73
133.867862723,-13.698579013
134.151187455,-13.915246242
143.1925314224,-13.9236176797
143.2,-13.95
143.2,-13.95
143.2108333333,-13.9622222222
126.4861,-14.1944
126.4862,-14.1945
132.0167,-14.2
132.0167,-14.1833
132.0228,-14.1595
132.034536563,-14.1819208
132.053425274,-14.182199138
132.184533582,-14.365258143
132.184536645,-14.415259388
132.2167,-14.4333
132.217879032,-14.465250786
132.2333,-14.4333
132.234536022,-14.465257563
132.234538466,-14.448583947
132.251205293,-14.415250726
132.251211882,-14.465254344
132.2667,-14.4667
132.2667,-14.4667
132.27,-14.47
132.27,-14.47
132.3,-14.4667
132.3,-14.4667
132.3,-14.4333
132.3311,-14.4203
132.3311,-14.4203
132.3311,-14.4203
132.4,-14.3333
132.412876027,-14.328315586
132.4167,-14.3333
132.4167,-14.3167
132.417871073,-14.31525324
132.434533913,-14.365254558
134.13,-14.2403
134.13,-14.24
134.3436,-14.2456
134.3437,-14.2458
143.0333,-14.1
144.206388889,-14.265555556
144.2064,-14.2656
144.2064,-14.2628
144.20724,-14.26417
144.4611428761,-14.2578583979
144.4937745249,-14.2411111037
125.73333333,-14.73333333
125.73333333,-14.73333333
125.75,-14.83
125.75,-14.5833
125.75,-14.58
125.7608,-14.6425
125.7608333,-14.6425
125.7667,-14.8667
125.767929653,-14.865292115
125.7833,-14.75
125.80166667,-14.56833333
125.8028,-14.5694
125.8333,-14.8833
125.8333,-14.8333
125.8333,-14.8333
125.8333,-14.8333
125.8333,-14.8333
125.8333,-14.8167
125.83333333,-14.88333333
125.83333333,-14.83333333
125.83333333,-14.83333333
125.83333333,-14.83333333
125.83333333,-14.81666667
128.735,-14.9522
128.735,-14.952
129.950119287,-14.762205341
130.8833,-14.6833
130.884548719,-14.681925917
131.96667,-14.86667
131.9667,-14.8667
132.134541811,-14.565259536
132.251209014,-14.498583892
132.251209014,-14.498583892
132.284539668,-14.531913823
132.3167,-14.4833
132.3408,-14.4858
132.35,-14.5
132.4667,-14.5833
132.4667,-14.5833
132.4667,-14.5667
132.4667,-14.5667
132.467874617,-14.581909818
132.472609472,-14.577480369
132.5981,-14.6128
132.617872009,-14.631913766
134.17478,-14.49433
142.7877777778,-14.8666666662
142.7877777778,-14.8666666662
143.32907,-14.71617
144.1676,-14.8819
144.1676,-14.8819
144.175,-14.8916667
144.1758559131,-14.8902777316
144.2508551296,-14.915277458
124.58,-15.42
124.58333333,-15.41666667
124.592,-15.393
124.9959,-15.3577
125,-15.1
125,-15
125.65,-15.47
125.65,-15.4667
126,-15
126.584583404,-15.348618546
126.73,-15.05
127.2,-15.3
127.2,-15.2833
130.43474,-15.1793
131.717885705,-15.331912992
142.855995,-15.2127839
143.56644,-15.12035
144.4258543034,-15.4236080066
144.8405606487,-15.100395196
144.8967420137,-15.2853470584
144.9595407136,-15.3507775684
145.1808333333,-15.4388888889
145.1838888889,-15.4375
145.184,-15.437
145.2539,-15.4628
145.253916667,-15.462866667
145.3333,-14.9833
125.3,-15.8
126.35125601,-15.59861545
126.367928695,-15.598617133
128.434580915,-15.831935449
128.55,-15.5833
128.55,-15.55
128.55,-15.55
128.551239988,-15.548602021
128.7,-15.7333
128.7,-15.65
128.705,-15.655
128.71666667,-15.83333333
128.717913475,-15.715270241
128.998722,-15.644472
129.195611,-15.618028
129.217908644,-15.598602424
129.656,-15.653
130.257064123,-15.89887144
130.407342969,-15.961094106
130.434532574,-15.581891539
130.817897231,-15.698586955
142.9938,-15.7778
144.366666666667,-15.5166666666667
144.3667,-15.5167
144.3667,-15.5167
144.3667,-15.5167
144.367748797,-15.515186573
144.375,-15.525
144.3758550992,-15.5236076524
144.4416666667,-15.5583333328
144.45,-15.55
144.7425183357,-15.823605451
145.02861111,-15.6922222195
145.2425125326,-15.7902711448
145.25,-15.7833
145.25,-15.7833
145.25,-15.75
145.25,-15.75
145.3186,-15.9533
145.3186111111,-15.9533611106
145.342510948,-15.6069384699
124.76666667,-15.98333333
124.7667,-15.9833
125.31654609,-16.02219737
128.5667,-16.2333
128.834575939,-16.198597951
129.2,-16.05
130.2667,-16.2278
130.2667,-16.2278
130.443169803,-16.155532887
130.7381,-16.1142
130.739334807,-16.112790641
130.9556,-16.2958
131.701220129,-16.398582181
131.901221613,-16.365257627
132.417890992,-16.331914557
133.35,-16.35
133.3667,-16.2667
133.484534532,-16.298574711
134.66787105,-16.41523709
136.05,-16.1667
136.0667,-16.45
136.0667,-16.4
136.1167,-16.45
136.117857096,-16.448561683
136.25,-16.1
