"longitude","latitude"
132.16091077,-11.40692732
132.5,-11.4
132.5,-11.4
130.53116,-11.77323
130.884536676,-11.748595092
131.267870574,-11.715270895
133.398125902,-11.527200322
133.398125902,-11.527200322
142.0091767601,-11.8757566449
142.0758732494,-11.8069637939
142.4167,-11.8
142.4258696,-11.8069633688
131.0333,-12.45
131.0845339,-12.1652685
132.3167,-12.4667
132.317868189,-12.398594267
132.584523445,-12.23192355
132.951192451,-12.431890695
133.15,-12.27
133.15,-12.2667
133.15119306,-12.26525468
133.2167,-12.4167
133.217861066,-12.41525704
133.245110352,-12.408357185
133.318283151,-12.470289269
133.5,-12.3
133.5,-12.2
134.251179815,-12.031916553
134.884506255,-12.098578074
134.925571,-12.330666
136.7844797,-12.18190616
136.84192,-12.24925
136.867827624,-12.231867254
142.7239811298,-12.4289754409
142.8248134304,-12.4011976643
142.8784240666,-12.4409196115
130.701214243,-12.548601294
130.9833,-12.7
130.984542984,-12.848594978
130.988444444,-12.492361111
131,-12.5
131.001206331,-12.498594348
131.0333,-12.5167
131.06649,-12.59818
131.067881577,-12.565267221
131.101212567,-12.965261104
131.117880839,-12.615268795
131.12,-12.58
131.251208348,-12.631925612
132.267871939,-12.831922465
132.317867955,-12.54859418
132.317897161,-12.565289155
132.325370669,-12.538027078
132.334528916,-12.665262802
132.396471199,-12.681090403
132.417866686,-12.581919323
132.417866686,-12.581919323
132.51789565,-12.89858905
132.797143885,-12.856928874
132.801197441,-12.865258585
132.88,-12.67
132.892729504,-12.658894637
132.9,-12.7667
132.901197375,-12.765258627
132.917862727,-12.548591216
132.951189835,-12.748588365
132.9667,-12.4833
132.984522218,-12.58191668
141.855,-12.6533
130.767885952,-13.098593005
130.775664964,-13.172484766
130.777324614,-13.151928467
130.80121483,-13.36526858
130.80121483,-13.36526858
130.88944,-13.04639
130.964546731,-13.263870716
131.0333,-13.1
131.034539209,-13.065266652
131.034545153,-13.015262201
131.084542986,-13.36526206
131.101208663,-13.165261783
131.101210581,-13.131923992
131.117880034,-13.465266871
131.15,-13.3667
131.151208007,-13.365264301
131.151208615,-13.39859154
131.2111,-13.3583
131.58,-13.42
131.901206821,-13.398591624
132.551199293,-13.281920122
136.138383274,-13.436073192
142.9958,-13.1206
130.901216451,-13.531927617
131.051214584,-13.490256344
131.067912979,-13.481922644
131.167884188,-13.73192173
131.2333,-13.5
131.401215676,-13.715260224
131.4667,-13.5333
131.4833,-13.55
131.5,-13.5333
131.517882891,-13.56525671
131.734534526,-13.748586323
131.7833,-13.7833
131.7833,-13.7833
131.7891,-13.7712
131.801203689,-13.781916988
131.8333,-13.8333
131.834541148,-13.831916636
131.92,-13.92
132.201203169,-13.731920063
132.251207905,-13.748587895
132.3833,-13.7167
132.45,-13.5167
132.451205652,-13.515252495
132.5,-13.55
132.501204764,-13.548588142
132.601204645,-13.581914316
132.62736466,-13.55841091
132.650318117,-13.572181167
136.5485,-13.8801
143.192531391,-13.9069510957
126.6,-14.3
127.853056,-14.461667
130.98865,-14.25117
131.0157,-14.3366
131.801211381,-14.415261213
131.834542759,-14.048588898
131.9333,-14.0167
132.0274,-14.1601
132.05,-14.2508
132.051203743,-14.248587039
132.101210608,-14.165252158
132.196208506,-14.405255365
132.267876633,-14.065257229
132.29,-14.4714
132.36583,-14.40194
132.7254,-14.2463
133.75,-14.08
133.75,-14.0667
133.751193977,-14.08190546
133.8,-14.0833
133.8,-14.0833
133.8,-14.0833
133.8178577,-14.0819069
133.817860004,-14.065245906
133.817864512,-14.098577011
133.8333,-14.05
133.851189836,-14.048573791
136.51259,-14.14155
125.83066667,-14.60283333
129.9489,-14.7636
129.950119287,-14.762205341
130.8833,-14.6833
130.884548719,-14.681925917
131.884542239,-14.898583926
132.2333,-14.7833
