"longitude","latitude"
132.104524341,-11.224433251
132.55,-11.1667
132.577886702,-11.16526022
132.418297638,-12.121093581
134.217850083,-12.398585007
134.251181394,-12.365285574
134.9178405,-12.1152476
134.93624,-12.197
135.0086,-12.4679
135.084497986,-12.248579632
131.2333,-12.6
132.5333,-12.85
134.934507014,-12.648575496
135.00117736,-12.48191305
136.234491205,-12.631899963
130.384551269,-13.265268679
130.4833,-13.4333
131.234541532,-13.098594414
131.234541532,-13.098594414
130.484549983,-13.631895416
130.851221199,-13.93192381
133.12,-13.62
129.901224621,-14.048595982
128.300944,-14.745833
128.65,-14.81
128.65,-14.81
128.65,-14.8056
128.66116667,-14.89716667
129.58099,-14.90495
129.7684,-14.8096
131.05,-14.7333
132.417878575,-14.581913337
132.7003,-14.6672
133.384532617,-14.831905792
134.45,-14.7
134.451191338,-14.698570165
134.7417,-14.7558
134.7417,-14.7558
134.74184,-14.75594
134.8839,-14.7792
134.917855804,-14.781897161
143.9,-14.6
143.9,-14.6
143.925,-14.6083
143.925858091,-14.6069462727
143.9333,-14.7833
143.9425249588,-14.790278686
144.058,-14.6083
144.0591899466,-14.606946011
144.1167,-14.5167
144.1167,-14.5167
144.117748485,-14.515196164
144.125,-14.525
144.1258557017,-14.5236129597
144.225,-14.9583
144.2258554992,-14.9569439747
128.1075,-15.4492
128.1075,-15.4492
129.367906901,-15.181933047
129.380125364,-15.053875248
133.023,-15.323
133.079262204,-15.105514754
135.3553,-15.3406
144.4236661863,-15.2626670549
128.2,-15.55
128.2167,-15.6
128.21791413,-15.54860267
128.23333333,-15.63333333
128.25,-15.55
128.25,-15.55
128.36245783,-15.54116063
128.42166667,-15.58805556
128.4217,-15.5881
128.4217,-15.5881
128.55,-15.55
128.7108,-15.7617
128.71083333,-15.76166667
128.71666667,-15.81666667
128.7167,-15.8167
128.7169,-15.6183
128.7181793,-15.6169059
128.7333,-15.7667
129.0392,-15.9717
129.1,-15.9
129.101238808,-15.948601593
131.101228088,-15.598589792
131.117893854,-15.581922126
136.234508334,-15.781889391
136.365277778,-15.638055555
136.46784609,-15.93188854
136.4833,-15.8833
136.4833,-15.8833
141.6667,-15.6333
141.6667,-15.6333
141.6676,-15.6319
141.675,-15.6417
141.6758846639,-15.640280032
141.7472731646,-15.7800015585
123.5167,-16.15
123.52,-16.15
124.93155037,-16.36747841
128,-16
128.4442,-16.0122
128.75,-16.08
128.8833,-16.4167
128.88333333,-16.41666667
129.629722222,-16.223611111
133.1147,-16.0942
134.867862842,-16.065234352
134.867865497,-16.131897173
136.2,-16.2833
136.201177776,-16.28188531
136.2167,-16.1
136.22,-16.1
137.734495803,-16.265220321
138.24055556,-16.72694444
123.6233,-17.3572
123.62333333,-17.35722222
123.72416667,-17.28055556
124,-17
124,-17
124.42,-17.4
124.75,-17.4
124.758,-17.4083
124.8,-17.4
124.9425,-17.4136
124.9425,-17.4136
128.96666667,-17.46666667
128.9667,-17.4667
128.9667,-17.4667
128.9667,-17.4667
128.97,-17.47
134.484536738,-17.348562782
141.0753405133,-17.4394423714
141.184463224,-17.465195508
141.2508941687,-17.4152752573
123.64305556,-17.73833333
123.6431,-17.7383
123.6431,-17.7383
125.1175,-17.6028
125.1175,-17.6028
126.17625,-17.55055
133.534542075,-17.715245151
139.7595769323,-17.6447973946
140.5627777778,-17.895
140.8333,-17.4833
140.835,-17.49
140.835,-17.49
140.835,-17.49
140.95,-17.75
141.0983965464,-17.6605527954
141.1175635284,-17.8161078769
124,-18
124.19305556,-17.99166667
124.2,-18
124.89055556,-18.08638889
134.2164,-18.2489
140.1167,-18.5833
140.12,-18.58
140.4759072391,-18.8736074663
146.61,-19.0316666661
146.6125,-19.0333
146.7258382415,-19.2069194677
146.7333,-19.1833
146.7531,-19.1953
146.7833,-19.4
146.785116667,-19.41475
146.9175038777,-19.5819175109
147.0841684961,-19.5819169793
147.15,-19.5666666666667
147.1569463977,-19.8663601813
147.8175,-19.9166666666667
147.8183272264,-19.9152467532
147.8625,-19.9286111111111
147.8625,-19.9286
147.863,-19.9286
147.8633267043,-19.9271910089
147.9174926469,-19.9152464339
147.95,-19.95
146.0091848069,-20.4402511022
147.25,-20
148.0999906889,-20.010523273
148.5591519276,-20.1235769264
146.4813370344,-20.5568028542
146.7083,-38.63333
146.7083,-38.63333
146.7083,-38.63333
146.7083,-38.63333
147.32,-42.97
