"longitude","latitude"
130.667880466,-11.498603508
130.884536676,-11.748595092
130.917875718,-11.865271606
130.93453345,-11.84859929
132.934517329,-11.765258326
132.501193987,-12.46526287
132.6167,-12.3167
132.617865852,-12.315255327
133.3497,-12.1961
130.717878229,-12.498598281
130.751210044,-12.581923245
130.80218,-12.69277
130.86639,-12.52334
130.8664,-12.7817
130.884542525,-12.715265878
130.901206959,-12.481928871
130.952777778,-12.5780555556
130.95277778,-12.57805556
130.952778,-12.578056
130.9528,-12.5781
130.9528,-12.5781
130.95293,-12.57829
130.953,-12.578
130.9667,-12.5667
130.967874208,-12.481929607
130.967880736,-12.565270124
130.967883361,-12.487491957
130.984542984,-12.848594978
130.984542984,-12.848594978
130.984542984,-12.848594978
131.01284,-12.49751
131.01503,-12.66664
131.034537086,-12.548594724
131.05247,-12.63873
131.101209165,-12.598600015
131.1345362,-12.6319273
131.251208348,-12.631925612
131.567873824,-12.815266998
131.867871174,-12.915263913
132.767860068,-12.731913507
132.767860068,-12.731913507
132.817861602,-12.831916491
132.817866149,-12.64858562
132.8333333333,-12.6833333333
132.834526879,-12.681914525
132.851190279,-12.831920065
132.889745461,-12.685982866
132.912474705,-12.720504597
132.9167,-12.6667
132.9167,-12.5333
132.917858614,-12.665255986
132.934519046,-12.565258761
132.93452533,-12.74858521
132.934525813,-12.498588377
130.915377475,-13.052484766
130.934540641,-13.048591386
131,-13
131.034545271,-13.098596755
131.051214155,-13.365263345
131.863143939,-13.043594857
132.302764,-13.192752
132.401198223,-13.19858329
130.551222515,-13.765268463
130.75803,-13.58886
131.7436,-13.885
131.753707569,-13.92359035
131.7692,-13.9117
132.5513,-13.9205
130.74072,-14.11334
130.74158,-14.112047
130.7449,-14.1173
132.051208519,-14.098587959
132.0544,-14.2467
132.09373,-14.1539
132.101210608,-14.165252158
132.102032966,-14.148589827
