"longitude","latitude"
142.2,-10.55
142.2,-10.55
142.2167,-10.5833
142.2206,-10.5772
142.2206,-10.5772
142.225,-10.5749999997
142.2258703853,-10.5736374665
142.2292,-10.575
141.8966666667,-12.1755555556
142.7833,-12.6506
143.25,-12.75
143.3,-12.7167
143.3,-12.7167
143.3,-12.7167
143.3,-12.7167
143.3333,-12.8333
143.3333,-12.8333
143.3333,-12.8333
143.3333,-12.8333
143.3333,-12.8333
143.3333,-12.8167
143.35,-12.9333
143.3667,-12.8333
143.3758609218,-12.8402896928
142.93,-13.45
142.9425332629,-13.4569537889
142.9591997186,-13.4402871825
142.9764,-13.1167
143.0225,-13.2041666667
143.1842,-13.9319
143.1842,-13.9319
143.192531454,-13.9402842639
143.2508641091,-13.9152842828
143.2508641091,-13.9152842828
143.2833,-13.8667
143.2833,-13.8667
143.2833,-13.8667
143.2833,-13.8667
143.2833,-13.8667
143.2833,-13.8667
143.2925302464,-13.8736177494
143.4167,-13.6667
143.4167,-13.6667
143.4167,-13.6667
143.4167,-13.6667
143.4167,-13.6667
143.4175286594,-13.7486181605
143.4175289675,-13.915283984
143.4258617665,-13.6736185295
143.459195259,-13.9569503667
143.5591942315,-13.9902833524
144.9966255153,-15.2538143768
145.05686111,-15.22530556
145.1667,-15.4333
145.1667,-15.4333
145.2508448976,-15.4152729362
145.3561111111,-15.9063888884
145.3667,-15.9667
145.3754613368,-15.9672295642
145.3758459873,-16.4569344225
145.4175120625,-16.4152678431
145.45,-16.5
145.45,-16.5
145.45,-16.4833
145.45,-16.4833
145.4833,-16.55
145.8667,-16.9167
145.8667,-16.9167
145.6667,-17.0833
145.6667,-17.0833
145.6667,-17.0833
145.6758441962,-17.0902642214
145.7167,-17.1667
145.7167,-17.1667
145.7167,-17.1333
145.7167,-17.1333
145.7167,-17.1333
145.7167,-17.1333
145.7167,-17.1333
145.7167,-17.1333
145.7167,-17.1333
145.7167,-17.1333
145.7167,-17.1333
145.7333,-17.2167
145.7333,-17.2167
145.7333,-17.2167
145.7333,-17.1833
145.7333,-17.1833
145.7333,-17.1833
145.7333,-17.1833
145.7333,-17.1833
145.7333,-17.1833
145.7333,-17.1667
145.742510361,-17.1902636196
145.7425104553,-17.2235968107
145.7591767379,-17.1569303857
145.7667,-17.1333
145.7895794229,-17.2732522386
145.8167,-17.1
145.8711,-17.3436
145.8720146818,-17.3422806606
145.8833,-17.45
145.8833,-17.35
145.8833,-17.35
145.8833,-17.35
145.8833,-17.35
145.8925090682,-17.3569291824
145.75,-17.5833
145.8333,-17.5833
145.8333,-17.5833
145.8333,-17.5167
145.8333,-17.5167
145.8425103373,-17.5902616728
145.85,-17.6667
145.85,-17.6667
145.8667,-17.5667
145.8667,-17.5667
145.9167,-17.5167
145.9167,-17.5167
145.9167,-17.5167
145.9667,-17.5333
146.2508418893,-18.5819232446
