"longitude","latitude"
142.2342,-10.5819
142.2342,-10.5819
142.2425368968,-10.5903040209
141.9163809138,-12.4283327984
142.2471777778,-12.1517999996
131.68,-12.9
130.98,-13.22
130.9833,-13.2
131.017883882,-13.048596432
131.05,-13.4917
132.25,-13.58
132.251207905,-13.748587895
132.70341,-13.56646
126.184,-14.0194
126.490333,-14.785361
124.695,-15.3508
124.622,-15.4894
124.6225,-15.4894
123.78333333,-16.13333333
144.75,-16.18
144.75,-16.18
144.75,-16.18
144.7591857216,-16.190270429
124.49605637,-16.88653773
133.2711,-16.6303
133.4239,-17.2831
138.11194444,-17.75972222
138.145,-17.69055556
138.21222222,-17.81555556
133.6844,-18.08
143.76055556,-18.31305556
134.734508953,-18.831894479
139.5044534256,-18.6885282385
144.8925256291,-18.8902596267
145.7303544355,-18.8561647279
136.7822,-19.3283
146.2294,-19.2775
146.22944444,-19.2774999994
146.4658411008,-19.1205317004
146.7375051973,-19.3305300882
146.7971925767,-19.260246965
146.8091707309,-19.2569190254
146.8258387822,-19.7069173666
137.326732546,-20.024676607
146.50896944,-20.1229694394
148.417486918,-20.0819108727
149.5591490007,-22.6402317034
150.2924734709,-22.8568949335
150.1924757136,-23.0568947347
150.8873687339,-23.6386988684
151.0323773533,-23.6967857813
151.2969096971,-24.0660542348
151.3230556,-24.0741667
151.3282982058,-24.0779985206
