"longitude","latitude"
142.24055556,-10.6041666697
142.2406,-10.6042
142.2406,-10.6042
142.25,-10.5833
142.2667,-10.6
142.324536327,-10.9024687274
130.584535378,-11.398602025
130.68,-11.42
130.8661,-11.344
132.484519189,-11.165267494
132.501191868,-11.165262528
132.99461,-11.08417
130.28744,-11.77569
131.084537087,-12.415268445
132.41579,-12.11507
132.967864688,-12.415260231
133.166666667,-12.383333333
133.1667,-12.3833
133.167672,-12.382045
134.217850083,-12.398585007
134.851176178,-12.048580235
134.96454,-12.32849
136.3167,-12.05
136.3189,-12.0536
136.72,-12.25
136.72,-12.25
136.9736,-12.3417
130.6167,-12.8333
130.623683333,-12.718119444
130.9667,-12.7
130.9833,-12.6833
130.9969,-12.9483
131.001212549,-12.698594352
131.0167,-12.4833
131.0167,-12.4833
131.02,-12.48
131.084506636,-12.565292046
131.10636,-12.52436
131.1069,-12.5231
131.1483,-12.5719
131.234534796,-12.631921289
131.25,-12.6167
131.25,-12.6167
131.25,-12.6167
131.251208348,-12.631925612
131.2833,-12.5667
131.3,-12.57
131.3,-12.5667
131.301209871,-12.515264656
131.3167,-12.6333
131.317909592,-12.631896243
132.43,-12.58
132.466391863,-12.686798982
132.4667,-12.6667
132.4667,-12.6667
132.5414,-12.9033
132.65,-12.75
132.6583,-12.8333
132.65929,-12.83197
132.662299376,-12.76168838
132.7083,-12.8833
132.757952504,-12.810510717
132.83,-12.67
132.899030809,-12.676115416
132.9,-12.55
132.9,-12.5
132.9,-12.5
132.9,-12.4833
132.903390574,-12.553286426
132.916666667,-12.533333333
132.9167,-12.5333
132.917674,-12.532045
132.917889185,-12.681885114
132.9333,-12.7833
132.9333,-12.6667
132.933333333,-12.666666666
132.93434,-12.665379
134.3,-12.6
134.5667,-12.8833
135.401171347,-12.915246085
136.4833,-12.8
136.5,-12.8
141.8275,-12.6783
141.82777778,-12.6786111096
141.8278,-12.6786
141.8333,-12.65
141.83635,-12.659883333
142.56775853,-12.54854806
142.57,-12.55
142.57,-12.55
142.5758690428,-12.5569587196
130.568888889,-12.997222222
130.684549262,-13.265270019
131.1875,-13.2881
131.23453613,-13.16526478
131.8,-13.3333
132.2667,-13.3667
132.4167,-13.4167
132.419,-13.429
132.84327643,-13.27210203
133.1,-13.1667
133.101189272,-13.165256764
134.53433,-13.009819
141.7258792234,-13.356956336
130.8286,-13.5264
130.89109,-13.51209
131.69747,-13.96184
131.76,-13.92
131.7667,-13.7667
131.767904402,-13.765285566
131.83435,-13.815379
131.8889,-13.7647
131.9167,-13.8167
131.9167,-13.8167
131.9167,-13.8167
131.9308,-13.8272
131.9333,-13.8167
131.9385,-13.8154
131.98,-13.82
132.017682,-13.482045
132.25,-13.5667
132.251199319,-13.565283614
132.43452768,-13.48191772
134.2167,-13.8833
134.228223,-13.891485
134.3333,-13.8333
134.5167,-13.4833
134.517665,-13.48204
143.0802777778,-13.7491666667
143.0841666667,-13.7480555556
143.2508641091,-13.9152842828
126,-14
126.3,-14.25
126.37027778,-14.08333333
126.6,-14.3
126.6,-14.25
126.6,-14.2
126.6,-14.2
126.61666667,-14.23333333
126.6167,-14.2333
