"longitude","latitude"
142.3667,-10.7167
145.25,-15.4167
145.4111,-16.3625
135.801186723,-16.84856128
145.9964,-16.9283
145.383333333333,-17.3833333333333
145.1,-17.6833333333333
123.66176944,-18.27783056
146.7806,-19.3442
146.833333333,-19.1333333333
146.25,-19.65
146.5206,-19.6136
148.5667,-20.25
117.334678782,-21.598693761
150.0781,-22.1558
117.78833333,-22.69833333
119.2,-22.8
117.67166667,-23.19305556
129.367970058,-23.331934542
132.551269185,-23.3485746
150.78413,-23.16523
122.465111,-23.768583
122.5155,-23.7545
132.751273629,-23.648573256
133.45,-23.72
133.71666667,-23.71666667
133.75,-23.5833
133.7925,-23.6703
133.884594701,-23.61523859
148.9833,-23.95
131.351291864,-24.265256259
131.651283481,-24.265256053
131.751285327,-24.381913141
146.92,-24.25
120.19305556,-25.14694444
120.64998469,-25.26061142
125.98,-25.05
130.667979931,-25.298596068
130.75,-25.33
131.001306491,-25.331929183
132.7,-25.0667
133.151281798,-25.231902505
142.067857912,-25.365173343
149.58,-25.25
148.58,-25.92
113.83489167,-26.26833333
117.08333333,-26.41666667
124.799556,-26.188111
127.768008209,-26.065296508
115.18224318,-26.95984763
150.6167,-26.7167
114.6131,-27.2103
120.66666667,-27.31666667
129.9,-27
150.477,-27.1428
116.5,-27.5
120.7,-27.9167
120.7,-27.9167
146.9167,-28.0167
152.7,-28.4166666666667
117.26226298,-28.74928671
151.9333,-28.8333
151.95,-28.8833
152.15,-28.8166666666667
147.9833,-29.4333
151.7,-29.31667
151.7,-29.31667
151.7,-29.25
151.7,-29.21667
151.7,-29.2
151.7,-29.05
151.9,-29.33333
151.9,-29.18333
115.8781,-29.69139
150.5833,-29.53333
150.5833,-29.53333
150.6333,-29.56667
151.05,-29.81667
151.3833,-29.58333
152,-29.48333
119.6458,-29.9831
119.6473,-29.98177
119.7056,-30.3515
119.7059,-30.35233
119.7076,-30.34983
148.8833,-30.35
150.1333,-30.28333
150.1333,-30.26667
150.5333,-30.3
151.3333,-30.25
151.3667,-30.46667
151.8914,-30.02972
151.9164,-30.00194
146.5333,-30.86667
150.05,-30.7
150.2,-30.97
150.7167,-30.75
151.0167,-30.66667
151.0333,-30.56667
151.1,-30.51667
151.1492,-30.75306
151.2667,-30.58333
151.795,-30.54278
152.05,-30.53333
152.05,-30.53333
117.8,-31.4
117.8,-31.4
118.7333,-31.3833
118.7333,-31.3833
146.87,-31.22
148.8011,-31.24844
148.92,-31.42
149.0833,-31.21667
149.3333,-31.36667
149.6,-31.43333
149.6,-31.43333
149.8,-31.11667
149.8333,-31.3
149.9167,-31.11667
150.1667,-30.98333
150.9667,-31.01667
151.0097,-31.00694
151.0667,-31.03333
116.0995,-31.90997
117.4983,-31.77744
118.5115,-31.62763
121.2244,-31.65967
121.6324,-31.94169
141.0343,-31.88194
145.6919,-31.5131
145.8333,-31.4833
146.7333,-31.55
117.3667,-32.01944
120.929,-32.12994
134.3967,-32.16458
135.97,-32.25
146.1,-32.1
148.62,-32.25
115.7781,-32.58406
117.3731,-32.94389
118.1,-32.6167
118.1,-32.6167
119.5318,-32.78652
121.173,-32.88048
137.997,-32.844
147.0667,-32.5667
148.3214,-32.7786
118.6571,-33.27617
118.8527,-33.46033
119.965,-33.4558
119.965,-33.4558
147,-32.9833
147.15,-33.08333
147.15,-33
116.4001,-33.83631
116.4001,-33.83629
118.1298,-33.55294
122.2333,-33.96667
145.8333,-33.95
146.3,-33.7833
146.3333,-33.7667
149,-33.61667
115.0056,-34.08333
115.6176,-34.07233
115.7758,-34.44878
115.8333,-34.33194
116.0583,-34.26869
116.1667,-34.33333
116.2182,-34.36686
117.8438,-34.45822
117.8438,-34.45822
137.75,-34.25
138.8,-34.46667
146.2167,-34.1167
146.2167,-34.1167
146.2167,-34.1167
146.2833,-34.18333
148.2167,-34.0333
148.35,-34.0833
150.12,-33.98
116.2037,-34.56547
116.2039,-34.5656
135.8167,-34.8167
135.8167,-34.8167
138.65,-34.9667
138.65,-34.9667
138.7333,-34.85
138.85,-34.7
138.85,-34.6667
137.0128,-35.06167
149.0075,-35.3197
149.0675,-35.3703
149.0981,-35.2719
149.1089,-35.2667
149.15,-35.2667
136.6333,-35.95
136.8667,-35.85
139.3344,-35.61531
149.2167,-35.66667
140.3514,-36.46521
140.3514,-36.46521
141.8013,-36.7152
148.3,-36.97
148.3,-36.9667
144.4167,-37.61667
146.6343,-37.51526
143.3928,-38.3489
144.1939,-38.3842
144.95,-38.35
145.1667,-38.3
143.6667,-38.7667
145.751,-38.6308
145.751,-38.6308
145.7511,-38.6308
145.7511,-38.6308
147.3344,-42.91529
