"longitude","latitude"
142.221562826,-10.531568555
142.4833,-10.7833
142.9258636796,-11.2402994453
142.9258636796,-11.2402994453
142.9294761182,-12.3586263095
143.2191666667,-12.7513888885
143.242528875,-12.740290435
143.25,-12.77
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.25,-12.75
143.3,-12.7167
143.3,-12.7167
143.3,-12.7167
143.3,-12.7167
143.3,-12.7167
143.3091947733,-12.7069571883
143.25,-13.6667
143.25,-13.6667
143.25,-13.6667
143.25,-13.6667
143.25,-13.6667
143.25,-13.6667
143.25,-13.6667
143.25,-13.6667
143.25,-13.6667
143.25,-13.6667
143.25,-13.6667
143.25,-13.6667
143.25,-13.6667
143.2925302464,-13.8736177494
143.3333,-13.6667
143.3333,-13.6667
143.3333,-13.6667
143.3333,-13.6667
143.3333,-13.6667
143.3333,-13.6667
143.3333,-13.6667
143.3333,-13.6667
143.3333,-13.6667
143.3333,-13.6667
143.3333,-13.6667
143.3333,-13.6667
143.3786111111,-13.7422222218
143.4258619783,-13.7902846007
143.4333,-13.65
143.4333,-13.65
143.4933612057,-13.7694512555
144.5833,-14.5833
144.5833,-14.5833
144.5833,-14.5833
144.5833,-14.5833
144.5833,-14.5833
145.2583333333,-15.4916666662
145.2591783055,-15.4902725516
145.352777778,-15.921388889
145.2508468987,-16.24860233
145.342511944,-16.0236031529
145.4,-16.35
145.4,-16.35
145.4,-16.35
145.4258450212,-16.3069349823
145.4167,-16.5833
145.4167,-16.5833
145.4167,-16.5833
145.4167,-16.5833
145.4167,-16.5833
145.4167,-16.5833
145.4167,-16.5833
145.4167,-16.5833
145.4167,-16.5833
145.4167,-16.5833
145.4167,-16.5833
145.4167,-16.5833
145.4167,-16.5833
145.4167,-16.5833
145.4167,-16.5833
145.4167,-16.5833
145.4167,-16.5833
145.4167,-16.5833
145.4167,-16.5833
145.4167,-16.5833
145.4167,-16.5833
145.4167,-16.5833
145.4167,-16.5833
145.4167,-16.5833
145.4167,-16.5833
145.4167,-16.5833
145.4167,-16.5833
145.4167,-16.5833
145.4167,-16.5833
145.6825,-16.8731
145.6825,-16.8731
145.6825,-16.8731
145.6825,-16.8731
145.6825,-16.8731
145.7,-16.8833
145.7091765872,-16.890265006
145.7167,-16.95
145.7167,-16.95
145.7167,-16.95
145.7167,-16.95
145.9667,-17.6667
145.9667,-17.6667
145.9667,-17.6667
145.9667,-17.6667
145.9667,-17.6667
145.9667,-17.6667
145.9667,-17.6667
145.9667,-17.6667
145.9667,-17.6667
145.9667,-17.6667
146.0167,-18.0333
146.123067177,-18.4268587108
146.1758414836,-18.1735917169
146.2591740816,-18.2569244815
146.2508418893,-18.5819232446
146.3091742251,-18.4902567579
148.55,-20.25
148.691437055,-20.3400391083
148.7258171263,-20.3069090338
148.75,-20.3333
148.75,-20.3333
148.75,-20.3333
148.75,-20.3333
148.75,-20.3333
148.75,-20.3333
148.75,-20.3333
148.75,-20.3333
148.75,-20.3333
148.75,-20.3333
148.75,-20.3333
148.95,-20.2583
148.9591472729,-20.2569084641
148.6719920571,-20.5529978982
149.4174810962,-21.9152344305
150.63,-23.2
150.6976093939,-23.2350214809
