"longitude","latitude"
142.401080961,-10.881889754
132.163134201,-11.39970404
132.52727,-11.35733
130.701206267,-11.531930909
132.667856998,-11.865259724
132.75,-11.63
133.398125902,-11.527200322
142.151095648,-11.948551819
131.05,-12.45
131.08,-12.43
131.131204002,-12.463038286
131.267879906,-12.331924353
131.27,-12.33
131.45120682,-12.39859239
131.467871109,-12.348592882
131.47,-12.35
131.517871669,-12.331926126
132.434528341,-12.46526086
132.6,-12.28
132.601195179,-12.281920618
133.1667,-12.3833
133.25,-12.4667
133.884508966,-12.065258749
134.051178624,-12.148584739
134.10118188,-12.14857991
134.217850083,-12.398585007
134.9675,-12.3306
135.65,-12.0167
135.651162466,-12.015251446
130.6833,-12.9667
130.96469,-12.47943
131.08,-12.58
131.117873774,-12.581921164
131.12,-12.58
131.1833,-12.5333
131.35,-12.52
131.35,-12.5167
131.351205142,-12.515265939
131.467876599,-12.681924805
131.78281,-12.6559
132.01219,-12.82305
132.28,-12.58
132.2833,-12.5833
132.4,-12.6
132.417866686,-12.581919323
132.417866686,-12.581919323
132.43,-12.6
132.434522811,-12.631923771
132.434523858,-12.598585899
132.4833,-12.6667
132.5167,-12.655
132.517870137,-12.648587664
132.517900249,-12.65689126
132.52,-12.65
132.525,-12.6583
132.83,-12.83
132.83,-12.65
132.833333333333,-12.8333333333333
132.834521248,-12.831918769
132.834523009,-12.648586036
132.8667,-12.8333
132.8667,-12.8333
132.8667,-12.65
132.87,-12.65
132.88,-12.67
132.88,-12.65
132.8833,-12.6667
132.8833,-12.6667
132.884490613,-12.656886253
132.88452284,-12.66525502
132.88452284,-12.66525502
132.88452284,-12.66525502
132.9,-12.75
132.9,-12.75
132.9,-12.7
132.90119675,-12.7485848
132.90119675,-12.7485848
134.7358,-12.9131
135.3,-12.9167
135.301172014,-12.915244843
136.59941,-12.95563
142.02445882,-12.61467528
131.13,-13.35
131.134540774,-13.348597068
131.23453613,-13.16526478
132.15119677,-13.03191968
132.1635,-13.0504
132.5,-13.1667
132.8,-13.1
133.084523033,-13.065253894
135.4278,-13.1036
135.4278,-13.1036
141.7833,-13.3667
141.783333333333,-13.3666666666667
141.784432006,-13.365217949
141.85,-13.1833
130.872885856,-13.509419883
132.49398,-13.94304
134.5167,-13.4833
134.517851434,-13.481902718
143.0913888889,-13.7477777778
126.4333,-14.0833
126.434582983,-14.081941871
126.72083333,-14.12611111
126.721,-14.1261
130.547,-14.26
130.5474,-14.2604
130.8078,-14.3583
132.03,-14.18
132.034536563,-14.1819208
132.18,-14.18
132.184535024,-14.181916035
132.184535024,-14.181916035
132.417871073,-14.31525324
132.46992,-14.02386
132.4903,-14.3294
132.49175,-14.27511
132.50689,-14.26511
132.508,-14.276
132.595,-14.044
134.63055,-14.25005
135.7167,-14.2833
135.71784862,-14.28189999
135.71784862,-14.28189999
143.74138889,-14.37888889
129.89995,-14.62001
130.88,-14.68
130.884548719,-14.681925917
131.035943101,-14.789138326
144.41916667,-14.9058333295
124.593983,-15.390383
130.7114,-15.3785
135.35367,-15.3669
135.66975,-15.19299
142.17166667,-15.46305556
142.17527778,-15.43722222
143.784412664,-15.131852439
144.3680555556,-15.1905555556
144.4294444444,-15.3025
144.5352777778,-15.3397222222
144.8258495122,-15.3069410309
125.3,-15.8
134.534520791,-15.71523918
135.694484894,-15.863022813
135.73958,-15.85651
136.984498619,-15.6985586
144.17,-15.5
144.5,-15.4833
145.33,-15.9
123.66666667,-16.16666667
123.67,-16.17
125.04589167,-16.41268056
130.4383,-16.1403
135.629,-16.167
135.6292,-16.1675
123.951280332,-16.765298954
136.21,-16.72
136.50118154,-16.66525772
143.1838253405,-16.5205619
143.1839,-16.5206
123.951285415,-16.981963261
125.051274999,-17.148627801
125.31,-17.1631
125.310277777778,-17.1630555555556
125.31027778,-17.16305556
125.43,-17.28
126.83,-17.28
127.367932922,-17.365278463
128.42,-17.45
141.175277777778,-17.2836111111111
141.175277777778,-17.2836111111111
145.4753,-16.9961
142.5088888889,-18.9016666667
147.8319,-19.7856
