"longitude","latitude"
132.31891,-11.40346
132.48594,-11.41683
132.6016,-11.4558
130.2111,-11.6922
130.834536301,-11.615266483
130.901208578,-11.765269751
131.0333,-12.4667
132.5833,-12.2333
132.58333333,-12.23333333
132.584523445,-12.23192355
132.9583,-12.4167
133.267860104,-12.331913513
133.267860104,-12.331913513
133.311867705,-12.46663345
136.7,-12.3667
136.701159634,-12.365238066
131.067882475,-12.631928376
131.0833,-12.7333
131.251208348,-12.631925612
131.534536324,-12.665260235
132.1,-12.5583
132.3964988,-12.6810907
132.417866686,-12.581919323
132.434900357,-12.707276216
132.5583,-12.9417
132.717863075,-12.665259845
132.801195447,-12.665256983
132.8083,-12.675
132.8333,-12.85
132.8333,-12.85
132.8333,-12.85
132.8333,-12.7083
132.834525506,-12.548591222
132.891000298,-12.645324972
132.897234603,-12.670678812
132.9333,-12.7833
132.943,-12.79
132.993958601,-12.596637978
133.001752217,-12.818033238
133.059,-12.624
135.8069,-12.4972
135.8069,-12.4972
130.6667,-13.1167
130.6667,-13.1167
130.667881199,-13.115267672
130.734546396,-13.031922738
130.767885952,-13.098593005
130.767885952,-13.098593005
130.777324614,-13.151928467
130.847598623,-13.069707852
131.11787734,-13.11526763
131.2167,-13.1833
131.2167,-13.1833
131.23453613,-13.16526478
132.4667,-13.0333
132.467864055,-13.031921896
132.467901277,-13.031886121
132.95119174,-13.38191876
130.867881329,-13.497753031
131.634541173,-13.631922298
132.62337,-13.74123
132.0224,-14.1594
132.0247,-14.153
132.1167,-14.085
132.39001,-14.35722
132.4711,-14.3046
132.534,-14.239
132.5721,-14.2651
132.5814,-14.2375
132.5815,-14.2376
134.1508,-14.0881
134.150833333,-14.088055556
129.4194,-15.4194
129.41946,-15.41962
129.70163,-15.26757
130.474285008,-15.061092775
129.52576,-15.50377
133.16,-15.49
133.284537383,-16.548578812
138.255,-17.395
