"longitude","latitude"
132.22427,-11.46016
132.23436,-11.19974
132.934520001,-11.615262358
133.067858477,-11.831922843
142.0051253938,-11.8793688867
134.0333,-12.2167
134.034515084,-12.215257189
134.067849837,-12.331914968
134.075,-12.3333
134.134506406,-12.348582261
134.4011,-12.0986
134.4011,-12.0986
134.402283564,-12.097190317
130.967878232,-12.748597903
131.1297,-12.8683
132.75546,-12.78166
133.91856,-12.63528
132.9617,-13.5275
135.706455014,-13.58468178
142.4176,-13.7153
142.4176,-13.7153
142.425,-13.725
132.4547,-14.3306
143.692,-14.1917
143.692526493,-14.1902821098
143.517757404,-14.848530199
143.52,-14.85
143.52,-14.85
143.52,-14.85
143.9,-14.6
143.9,-14.6
143.908,-14.6083
143.9091916086,-14.6069463055
143.9175247981,-14.5819464111
143.925,-14.575
143.925858022,-14.5736131022
144.05,-14.75
144.05,-14.75
144.051082523,-14.74852941
144.122246506,-15.3844421798
144.175,-15.425
144.1758571081,-15.4236085526
145.1952777778,-15.4658333328
145.2508448976,-15.4152729362
142.7042,-16.5375
145.75,-16.8833
145.7508428333,-16.9152647908
138.3307,-17.447302
138.330863285,-17.447146987
138.331,-17.447
146.7425047085,-19.2069194127
146.75,-19.2167
146.75,-19.2167
146.75,-19.2167
146.8167,-19.2667
146.825,-19.275
146.8258372517,-19.2735855791
145.1167,-20.6167
