"longitude","latitude"
142.8028683105,-11.7189789953
142.8034238653,-11.7192567732
142.8798129444,-12.442030714
142.88,-12.44
142.9244444444,-12.4608333329
143.0894742622,-12.2522378011
143.0902777778,-12.1511111107
143.1322930294,-12.0866886871
143.2408333333,-12.3836111107
143.2408333333,-12.3836111107
143.2408333333,-12.3836111107
143.2508616461,-12.4152922253
143.0258648173,-12.923623099
143.0425311529,-12.8236236096
143.2591950196,-12.5069583675
143.2632897544,-12.7412586542
143.2641666667,-12.4941666663
143.292528066,-12.5569580426
143.3,-12.7
143.3258612851,-12.7236237393
143.358333333,-12.7916666666
143.358333333,-12.7916666666
143.358333333,-12.7916666666
143.3591941106,-12.6236242449
143.3758606463,-12.6569573695
143.3992,-12.6506
143.4008603464,-12.6366796735
143.401,-12.637
143.4091936439,-12.6736238963
143.13424917,-13.1653324996
143.4175289675,-13.915283984
144.5897395373,-14.5902783996
144.5897395373,-14.5902783996
144.598150496,-14.5127004803
145.2583,-15.3083
145.2583,-15.3083
145.258333333,-15.308333333
145.259,-15.307
145.2591778884,-15.3069401162
145.2591778917,-15.3069401195
145.259178,-15.30694
145.2758443667,-15.3069400845
145.6333,-16.85
145.6333,-16.8333
145.64583333,-16.8519444395
145.6458333333,-16.8519444439
145.6458333333,-16.8519444439
145.6458333333,-16.8519444439
145.646886738,-16.8512750731
145.65,-16.85
