"longitude","latitude"
130.52,-11.62
132.867862979,-12.36525646
132.9333,-12.7833
132.95,-13.8833
132.95,-13.8833
132.951196114,-13.88191046
126,-14
126.1,-14
126.3667,-14.2083
126.3667,-14.2
126.6436,-14.1847
126.6446,-14.1834
126.6448489,-14.1833058
126.65,-14.45
127.31666667,-14.04166667
127.8,-14.3833
127.81666667,-14.36666667
127.85564968,-14.46133267
130.895,-14.2431
130.895,-14.243
130.895,-14.243
130.89517,-14.24323
132.50120208,-14.24858761
132.594,-14.241
133.3667,-14.45
133.367868713,-14.448576356
125.15,-14.55
125.46338889,-14.59741667
125.7,-14.8167
125.7,-14.8
125.7333,-14.6833
125.73333333,-14.68333333
126.22194444,-14.80527778
126.73333333,-14.71666667
126.73333333,-14.71666667
126.95,-14.65
128.30094302,-14.74614811
128.38333333,-14.81666667
129.76865,-14.81021
129.925844,-14.844512
129.9897,-14.8239
129.990944955,-14.822485428
130.04475,-14.80244
125.16666667,-15.08333333
125.16666667,-15.06805556
125.3,-15.1
125.49547222,-15.29202778
126.2,-15.35
126.2,-15.3
126.91666667,-15.03333333
127.2,-15.3
127.45,-15.3833
127.45,-15.38
127.451247545,-15.381938753
128.14058333,-15.08163889
129.077626622,-15.178603705
125.21666667,-15.53333333
125.2167,-15.5333
125.2167,-15.5333
125.3,-15.8
125.3,-15.6333
125.3,-15.6
125.3333,-15.8
125.334596167,-15.798625799
125.4333,-15.6
125.4333,-15.6
125.4333,-15.6
125.6,-15.6
125.6,-15.5667
126.38333333,-15.91666667
127.59027778,-15.79388889
127.5903,-15.7939
127.7685,-15.7684
128.14166667,-15.89305556
128.216389,-15.876333
128.67166667,-15.55972222
128.7,-15.65
128.7,-15.65
128.7,-15.65
128.75166667,-15.76861111
128.80615047,-15.54200532
128.9,-15.9
128.93,-15.9
128.93,-15.9
128.9333,-15.9
129.034570046,-15.681927078
129.20124245,-15.84859871
129.2575,-15.4777
129.501451107,-15.581045025
129.5392,-15.7147
129.6463,-15.6616
129.92134,-15.83048
130.314,-15.5944
130.3167,-15.6
130.3667,-15.6
130.367904596,-15.598594238
130.5,-15.5
123.52,-16.15
123.78194444,-16.13333333
124.95,-16.3
124.96666667,-16.31666667
125.04549167,-16.40883889
125.34166667,-15.99583333
125.342927755,-15.994447705
125.43333333,-16.16666667
125.59416667,-16.02013889
125.594167,-16.020139
126.757,-16.462
126.8,-16.4
126.8,-16
127.2,-16.2833
127.9125,-16.1778
128.766667,-16.104167
128.766692655,-16.104204112
125.45,-16.72
125.45,-16.7167
125.515277778,-16.573055555
125.515278,-16.573056
122.1833,-17.2333
122.18333333,-17.23333333
122.4333,-17.0833
122.4333,-17.0833
122.4333,-17.0833
123.6,-17.3
123.6086,-17.2944
123.6167,-17.3
123.6167,-17.3
123.6333,-17.3667
123.6469,-17.3119
123.64694444,-17.31194444
123.65,-17.3167
123.65,-17.3167
123.66166667,-17.30305556
123.67,-17.35
123.67388889,-17.34138889
123.67388889,-17.34138889
123.6739,-17.3414
123.6739,-17.3414
123.80888889,-17.44305556
123.98916667,-17.06638889
124.35,-17.4
124.355,-17.395
125.18166667,-17.19638889
125.4833,-17.3333
125.484607814,-17.331950404
126.2667,-17.2167
126.272,-17.22
126.5,-17.3
126.69656,-17.01443
126.6967,-17.0144
126.9,-17.2833
126.9,-17.2833
126.983,-17.4689
126.984598305,-17.398614073
127,-17.3833
127.03555556,-17.38555556
128.6883,-17.2742
128.68959158,-17.27273317
122.4,-17.8
122.66666667,-17.81666667
123.16666667,-17.63333333
123.16666667,-17.63333333
123.51666667,-17.71666667
123.51666667,-17.71666667
124.3333,-17.8333
124.33333333,-17.83333333
124.8,-17.5
124.834608416,-17.498629085
125.93166667,-17.81833333
126.03305556,-17.64972222
128.1667,-17.6333
123.71666667,-18.76666667
123.71666667,-18.76666667
133.6667,-23.6667
