"longitude","latitude"
130.634537619,-11.398599238
132.198693182,-11.224981468
132.28096,-11.22309
130.5333,-11.5167
130.534538234,-11.515275101
132.935474322,-11.777141246
133.067859993,-11.515258653
131.044261074,-12.226376746
131.044261074,-12.226376746
131.044261074,-12.226376746
134.9667,-12.2833
134.97633,-12.27189
135.5667,-12.0167
136.54109,-12.32902
131.20120704,-12.56526249
132.484528794,-12.515261592
132.682817987,-12.822338648
132.818612725,-12.841202284
132.8333,-12.85
132.8417,-12.6667
132.884494933,-12.665290949
132.984522218,-12.58191668
133.01797682,-12.64901145
130.6333,-13.1167
130.7167,-13.2167
130.7167,-13.2167
130.717689,-13.215382
130.717879861,-13.215261578
130.719822382,-13.188312737
130.767885952,-13.098593005
130.767885952,-13.098593005
130.7744,-13.1739
130.775664964,-13.172484766
130.777324614,-13.151928467
130.777324614,-13.151928467
130.791482116,-13.143035574
131.184543682,-13.465265432
135.50222,-13.06821
130.984541444,-13.581926109
131.65,-13.9667
131.701214557,-13.965251196
131.867879673,-13.798589043
132.2833,-13.55
132.29048943,-13.54233551
132.5552,-13.9185
136.5458,-13.8663
130.58144,-14.21878
132.0866,-14.1305
133.8,-14.0833
133.817860004,-14.065245906
133.82,-14.07
136.501169954,-14.048560637
136.5656,-14.0987
136.567832055,-14.098563303
125.7833,-14.7
125.8,-14.7
125.85,-14.83
130.073436072,-16.24029618
130.3344,-16.1572
130.335630197,-16.155791516
130.401232289,-16.165266594
130.451231024,-16.015265198
130.4667,-16.0167
133.512327737,-17.507185755
133.512327737,-17.507185755
