"longitude","latitude"
142.3836,-10.8694
142.3844801127,-10.8680799843
142.7645355328,-11.86203384
142.7678688316,-11.8606449544
142.8,-11.6167
142.8,-11.6167
142.8045349671,-11.720645649
142.8148126965,-11.7648120698
142.8333,-11.6167
142.8333,-11.6167
142.834256,-11.615369
142.8425316543,-11.6236305976
142.8551903018,-11.6489289813
143.0667,-12.1333
143.0758632816,-12.240293443
143.0825,-12.2456
143.0833,-12.3667
143.0833,-12.25
143.0833,-12.25
143.0833,-12.25
143.0833,-12.25
143.0833,-12.25
143.0833,-12.25
143.0833,-12.25
143.0833,-12.25
143.0833,-12.25
143.0833,-12.25
143.0833,-12.25
143.0833,-12.25
143.0833632067,-12.2441823001
143.0925296143,-12.1236274157
143.1167,-12.0833
143.1322930294,-12.0866886871
143.1322930294,-12.0866886871
143.2591950196,-12.5069583675
143.1758640602,-13.4402868183
143.4667,-13.8
143.4833,-13.7667
143.4833,-13.7667
143.4925280116,-13.8402842296
143.4989,-13.7756
143.4989,-13.7756
143.4997500337,-13.7741734425
145.2167,-15.1167
145.2167,-15.1167
145.2167,-15.1167
145.2258445379,-15.1236077706
145.23,-15.12
145.2333,-15.1167
145.2341,-15.1153
145.2341,-15.1153
145.2341,-15.1153
145.2341,-15.1153
145.2425110133,-15.1236077365
145.2425110133,-15.1236077365
145.25,-15.0833
145.25,-15.0833
145.25,-15.0833
145.25,-15.0833
145.25,-15.0833
145.2591774163,-15.0902745372
145.2925103342,-15.073607887
