"longitude","latitude"
132.56806,-11.0333
132.5833,-11.35
132.58949292,-11.34859266
132.87131,-11.1489
130.19014,-11.48757
132.9667,-12.4167
133.4333,-12.3333
134.5608,-12.2333
135.6167,-11.9833
135.617832788,-11.98190479
135.62,-11.98
135.901166754,-12.415242094
136.8667,-12.4
136.867,-12.4
136.867855882,-12.398572946
136.901157498,-12.281866863
143.2758613889,-12.4236254779
130.984541085,-12.681927063
131,-12.7
131.001212549,-12.698594352
132.934494314,-12.781888055
135.401171347,-12.915246085
135.73,-12.6
135.7333,-12.6
135.734500698,-12.59857127
130.0333,-13.1667
130.034547072,-13.181924742
130.7867,-13.1089
131.084536527,-13.015262805
132.1633,-13.0503
132.52,-13.32
132.851198043,-13.281919632
134.84995,-13.1559
134.9167,-13.0667
134.917847483,-13.048576631
136.35,-13.3083
136.35116126,-13.29856983
129.7667,-13.8
129.76789114,-13.79859464
131.034354,-13.695658
131.034542001,-13.73191853
131.05,-13.7
131.05,-13.6833
131.05,-13.67
135.551172255,-14.215239033
135.704231767,-14.210786846
135.71784862,-14.28189999
143.4911402803,-14.4283368761
125.1841,-14.5881
125.18507,-14.58884
125.73333333,-14.68333333
125.7375,-14.6692
125.738,-14.6692
131.584541453,-14.748583578
133.08852,-14.91055
133.1167,-14.9333
133.117870071,-14.931906037
133.1333,-14.9167
133.134529796,-14.915251775
134.6708,-14.7758
134.6709,-14.7759
129.58276,-15.35243
129.583,-15.352
131.156829808,-15.467548466
135.54712,-15.34804
135.18,-15.92
135.184514349,-15.915234736
136.6167,-15.7333
136.617838741,-15.731884072
125.46166667,-16.26861111
128.351,-16.227
135.65861111,-16.26388889
135.658611111111,-16.2638888888889
135.659,-16.264
136.25,-15.98
136.25,-15.98
143.5666995613,-16.3619392737
124.93,-16.83
124.93333333,-16.83333333
126.12555556,-16.53888889
126.126,-16.5388
129.8372,-16.5765
136.993055556,-16.754444444
125.182,-17.1073
125.18222222,-17.10722222
127.60126487,-17.31527499
127.61666667,-17.23333333
127.68333333,-17.38333333
137.4212,-17.2087
145.392514279,-17.1277647974
122.26666667,-17.76666667
122.27,-17.77
125.3,-17.6
127.967930194,-17.481935647
125.776,-18.139
125.78,-18.15
125.78,-18.15
125.917947411,-18.065292656
143.676426475,-18.3258207792
143.9175340753,-18.0819319613
143.95,-18.1167
143.95,-18.1167
143.967772707,-18.115176936
121.7833,-18.6833
121.78333333,-18.68333333
126.1014,-19.2283
126.10267727,-19.22692246
138.49923,-19.4390499994
146.8,-19.25
146.8047,-19.2617
146.8091707885,-19.2735856311
121.07861111,-19.75027778
121.448,-19.7917
121.448,-19.7914
121.4496479,-19.7900159
121.44964792,-19.79029368
123.35,-19.67
123.35,-19.67
123.35,-19.67
123.35,-19.6667
123.351305455,-19.665307996
145.2903024285,-19.904421822
145.3683556372,-19.5216449534
146.859171647,-19.6902506503
144.52972222,-20.1905555594
147.8511,-20.1467083294
116.823,-20.57
140.05705,-20.789230555
119.67259525,-21.41967227
149.2258149333,-21.4235700561
117.57083333,-21.55805556
117.571,-21.5581
117.9667,-22.2667
117.985,-22.259
118.38444,-22.415453
118.4,-22.42
118.418018471,-22.41536062
146.483075899,-22.3171889438
118.55,-22.48
118.55,-22.48
118.57,-22.5
118.584684004,-22.482018749
118.61472222,-22.49305556
118.61472222,-22.49305556
118.61472222,-22.49305556
135.584563805,-22.498557152
135.601232899,-22.481882953
135.6069,-22.4758
135.78,-22.6
135.784561659,-22.598555467
135.86790447,-22.54855259
135.87,-22.55
145.4,-22.7
145.4258684332,-22.7069146806
145.4269795792,-22.7169146616
149.89,-22.9356
140.575,-23.35833333
140.575,-23.358
140.58166667,-23.3452777793
140.5825934344,-23.343879966
150.9,-23.07
150.9091327003,-23.0735586021
150.9091327003,-23.0735586021
150.97,-23.22
150.9757991228,-23.2235578941
118.53769444,-23.88055556
118.53888889,-23.88166667
151.3349633703,-23.7793882085
131.66666667,-24.33333333
131.667729,-24.332058
131.667957229,-24.331914725
131.67,-24.33
131.673492105,-24.33468731
131.681,-24.334
131.6812,-24.334
151.5007978319,-24.4985522713
151.1366393974,-25.1182745616
150.2424884022,-25.7235551228
144.7692409634,-27.9521929241
144.62748889,-28.2356213892
