"longitude","latitude"
142.3669,-10.8517
130.551206035,-11.448602785
130.667873093,-11.315269332
131.17851,-11.31965
132.1333,-11.1167
132.1333,-11.1167
132.1333,-11.1167
132.133333333,-11.1166666667
132.140694951,-11.126400539
132.144494113,-11.154196277
132.144494113,-11.154196277
132.144494113,-11.154196277
132.1453,-11.1268
132.15119692,-11.13192943
132.183971622,-11.366372102
132.190085607,-11.301921388
132.232864238,-11.24775935
132.3778,-11.2386
132.519250267,-11.20137569
130.20094,-11.68956
130.334538971,-11.665271335
130.5344,-11.5167
130.536206633,-11.515275336
130.667907434,-11.648595947
130.686474811,-11.481103448
130.701207785,-11.681929848
130.751209822,-11.748603571
131.4167,-11.5
131.017945,-12.176459
131.024709819,-12.181900704
131.025,-12.2417
131.026210552,-12.240293331
131.040404276,-12.221895469
131.0406,-12.2222
131.0406,-12.2222
131.04071,-12.2224
131.041,-12.222
131.044261074,-12.226376746
131.044261074,-12.226376746
131.0717,-12.2275
131.07174,-12.22763
131.0766,-12.277
131.0833,-12.1667
131.0833,-12.1667
131.0845339,-12.1652685
131.0845339,-12.1652685
132.8667,-12.3167
132.867863178,-12.315261752
132.9167,-12.4167
132.917859117,-12.465256069
132.917859117,-12.465256069
132.967864688,-12.415260231
132.9708,-12.4444
133.317860964,-12.315259272
143.4,-12.2833
143.409193101,-12.2902927225
131.201203256,-12.548598502
132.7,-12.85
132.701196506,-12.856891592
132.701198415,-12.848587389
132.843,-12.669
132.843,-12.669
132.8431,-12.6694
132.8431,-12.6694
132.851196881,-12.665258987
132.8583,-12.6667
132.858333333,-12.6666666667
132.861191529,-12.847192935
132.86497,-12.8524
132.8833,-12.6667
132.889745461,-12.685982866
132.903930097,-12.752067779
132.9333,-12.8
132.95612,-12.53957
133.006475832,-12.815818667
133.10084,-12.78393
133.25,-12.6667
133.251185612,-12.665252122
143.1,-12.8
143.1091971016,-12.8236235107
143.25,-12.5333
143.2591953622,-12.7402904108
143.2591955399,-12.8569564411
143.2600284019,-12.5472359198
143.2833,-12.7667
143.2833,-12.7667
143.2833,-12.7167
143.2925283113,-12.7236237874
143.2925283866,-12.7736235131
143.3091949496,-12.8236232154
143.3258612602,-12.7069571611
143.342222222,-12.786666667
143.358333333,-12.7916666666
143.4,-12.8
143.4,-12.8
143.4091935219,-12.5902910271
132.834526471,-13.265259327
132.93167,-12.99982
132.95119551,-13.01528468
133,-13
133.034524768,-13.081914676
143.0184067154,-13.016903175
143.0262816544,-13.031428086
143.4,-13
143.4,-13
143.4091941804,-13.0236219793
132.7,-13.5
143.4833,-13.6667
143.4833,-13.5333
143.4925274428,-13.5236191922
143.4925277082,-13.6736184151
143.3167,-14.0167
143.3167,-14.0167
143.3167,-14.0167
143.3167,-14.0167
143.3167,-14.0167
143.3167,-14.0167
143.3425301193,-14.090283253
143.7036111111,-14.2694444444
144.2342,-14.1819
144.2425204106,-14.1902810929
144.4620020565,-14.2580572607
144.4620028,-14.2580582995
144.4714068808,-14.2619469696
144.3172365301,-15.3316175431
144.4167,-15.4167
144.4258540356,-15.3069418874
144.4258543034,-15.4236080066
144.4333,-15.25
144.4425204015,-15.2569420884
144.72583333,-15.28916667
144.9378526406,-15.2645137218
144.4113888889,-15.5455555556
144.9802777778,-15.6277777773
145.0133055556,-15.6864166662
145.06027778,-15.6199999995
145.1833,-15.5333
145.1881097735,-15.5307809071
144.7921334486,-16.2282558646
144.7933,-16.2308
144.79334698,-16.23070554
144.0333,-17.0167
144.0333,-17.0167
144.0333,-17.0167
144.0333,-17.0167
144.0375,-17.0211111106
144.0380972388,-17.0193889456
144.0772222222,-17.0288888884
144.2158333333,-17.0336111106
144.4944,-17.1183
144.4944444444,-17.1183333333
145.2333,-17.1
145.2333,-17.1
145.2333,-17.1
145.2333,-17.1
145.2333,-17.1
145.4667,-17.4167
145.4758474892,-17.4235966819
144.9925204177,-17.6402638067
144.5511,-18.2256
144.5511111111,-18.2255555556
144.8667,-18.0667
144.1092017749,-19.0235950318
