"longitude","latitude"
142.5,-11.82
145,-15.2833
128.29013809,-15.58828924
134.29914,-16.50852
134.32384,-16.49944
134.551196983,-16.481896197
133.6333,-17.25
133.667882299,-17.24857268
135.667863132,-17.331887625
137.183333333,-17.272222222
144.7091895487,-17.3735989551
144.96194444,-17.26555556
145.053,-17.1581
145.053629404,-17.15665446
145.1864,-17.1847
145.18658333,-17.1849166695
145.3425156177,-17.3902638465
145.41666667,-17.4166666695
145.5841790504,-17.2485971203
144.41972222,-17.89777778
145.1833,-18.0319
145.208,-18.1917
145.2091862793,-18.1902611113
145.50918341,-18.3902594922
145.5333,-18.2167
144.75,-18.92
144.7508606918,-18.9152599907
145.1676,-18.6153
145.175,-18.625
145.1758547536,-18.6235929887
145.2167,-18.55
145.2258539468,-18.5569264044
145.5886,-18.8664
145.5895226769,-18.8650540345
140.3667,-19.1667
143.5133755016,-19.1138744878
144.1083333,-19.025
144.1092017749,-19.0235950318
144.4258650567,-19.0902604743
144.85,-19.2719
144.8503,-19.2719
144.8511385645,-19.2705363179
145.93277778,-19.1943361094
146.6136,-19.2036
146.6144506901,-19.2021976079
146.6333,-19.0292
146.6333,-19.0292
146.6333333333,-19.0291666661
146.7758374038,-19.1402528922
146.7758374038,-19.1402528922
146.7758374038,-19.1402528922
144.4420856999,-19.9030240889
144.884429147,-19.948493842
145.58,-19.97
145.5916666667,-19.9749999994
145.8401336495,-19.8336053719
146.0591817872,-19.8069195433
146.1331416577,-19.8578599547
146.25,-19.92
146.2508465444,-19.9152518909
146.4333,-19.7333
146.5008419979,-19.4985858027
146.7288888889,-19.6433333327
146.8333,-19.6833
146.8333,-19.6833
146.8333,-19.6833
144.778,-20.3897
144.7791992117,-20.3883111425
144.8075,-20.4675
144.9175297165,-20.0819225921
144.92,-20.08
144.9833,-20.1
146.15556499,-20.1211443194
146.156,-20.121
146.25,-20.3833
146.2591815864,-20.3902503812
147.8091613108,-20.0902461513
148.4591527242,-19.9902444172
148.4758193577,-20.0402441748
148.4758194177,-20.0569107753
148.5156648809,-20.1236497716
148.5193048594,-20.139057627
148.8189098177,-20.2232335433
144.1911,-20.6842
144.5008695682,-20.498589639
144.8833,-20.6333
144.8925322378,-20.6402545326
145.0925296114,-20.5735873151
146.1614063503,-20.7313608396
146.5725118308,-20.5766376185
146.88194444,-20.51111111
146.924,-20.4972
146.925284957,-20.4958033113
146.934,-20.8003
146.9350082511,-20.7988578981
139.7833,-21.45
140.05,-21.2
140.05,-21.2
140.067842018,-21.331848699
140.0842546317,-21.2486054711
146.184185507,-21.1371929705
146.472,-21.4319
146.4725165542,-21.4305244633
146.5575,-21.1831
146.635,-21.2306
146.6355692561,-21.2291355116
146.6494,-21.22
146.6502912531,-21.2185799311
146.8178,-21.2281
146.818,-21.2281
146.8186225423,-21.2266348492
146.8258441124,-21.0902463199
146.947,-20.9842
146.9480643842,-20.9827461927
147.5833,-21.2167
147.592,-21.225
147.5925017598,-21.2235765006
148.4424908833,-21.2069068625
148.4717,-21.4319
148.5758223693,-21.1735731697
148.6258217252,-21.1735729946
140.4925848694,-21.4902702254
145.846,-21.8967
145.8469706656,-21.895247949
145.8497,-21.9119
145.85,-21.9119
145.8505818025,-21.9105256751
145.8961,-21.8967
146.5008498297,-21.4985797358
146.739,-21.4817
146.7397356946,-21.4802455583
146.7797352399,-21.4896898286
147.05,-21.9333
147.0636215044,-21.7005215338
147.7167,-21.825
147.86493669,-21.5042055094
147.8833,-21.6
147.9174991318,-21.5819075868
147.9174998314,-21.7485737736
147.92,-21.58
148.5591590773,-21.9402375047
139.6592650781,-22.4736066082
145.4935,-22.4358888882
146.0050248464,-22.0160803904
146.2161335095,-22.0463572723
147.7508367242,-22.0819068113
148.5758262432,-22.1069036206
148.5841608176,-22.4152360596
148.9591543748,-22.0569023414
119.2,-22.8
146.8855736905,-22.9157971458
147.3597344604,-22.909406003
147.9277808894,-22.5266272013
148.1691679772,-22.8102366515
148.2241675213,-22.8652362982
148.225834205,-22.8735696045
148.4424968467,-22.6069027597
148.5841623121,-22.748568504
148.6591606227,-22.5902352962
148.6924932979,-22.5402353024
148.7508268083,-22.7485678521
149.5841484112,-22.5818984382
149.8355355885,-22.9499519751
133.7333,-23.25
145.7508663184,-23.0819126724
148.7508299177,-23.4152328643
149.3424872468,-23.0902312957
149.9091460451,-23.0235625935
150.0324781021,-23.1077285444
150.242474891,-23.0235613046
150.2507229934,-23.0272331875
150.2758078451,-23.0402277946
150.5591387678,-23.3568924542
150.58,-23.25
150.6288888889,-23.2149999993
115.7,-23.9
118.53769444,-23.88055556
133.8,-23.7333
146.1108663557,-23.9577430914
148.0091735206,-23.5402356444
148.08,-23.67
148.1425057841,-23.6735681429
148.2508372586,-23.5819012157
149.247489116,-23.5394624566
149.8758165832,-23.7568941207
149.9174826476,-23.7485606386
150.0841478624,-23.9152262133
131.8,-24.37
145.9617033785,-24.3032988645
146.0814225296,-24.0057987113
146.34962662,-24.3190699893
146.35,-24.32
147.876,-24.433
147.87614944,-24.4325581893
148.0569681897,-24.0793656607
148.0687916616,-24.0883279573
148.0687916664,-24.0883279537
149.95,-24.4667
150.5841434881,-24.4152229424
151.198022362,-24.1032767564
144.6914444267,-24.8910820516
144.7508882931,-24.9152484177
146.2508688893,-24.7485748058
146.655956687,-24.5095219153
146.7425284063,-24.5735727549
146.8758603183,-24.6235720828
146.8758614162,-24.8235718302
147.4353,-24.9511
147.5841843541,-24.5819022717
147.6333,-24.5667
147.6425175198,-24.6902351842
