"longitude","latitude"
142.4092020516,-10.8403023557
142.2711111111,-12.6522222218
142.8333,-12.65
142.8333,-12.65
142.834390871,-12.648543034
142.8425330316,-12.6569581332
143.17,-12.73
143.17,-12.73
143.17,-12.73
143.17,-12.73
143.1833,-12.7333
143.25,-12.7333
143.251078351,-12.731844567
143.2591953622,-12.7402904108
143.3,-12.7167
143.3,-12.7167
143.3,-12.7167
143.3,-12.7167
143.3,-12.5833
143.3,-12.5833
143.3,-12.5833
143.3,-12.5833
143.4628471503,-12.6209895728
142.6115,-13.2116944396
143.0105875282,-13.1272331563
143.4180555556,-13.1649999996
143.4667,-13.2
143.4667,-13.2
143.3333,-13.75
143.3333,-13.75
143.3425294888,-13.7569515822
145.2,-15.1167
145.2,-15.1167
145.2,-15.1167
145.2213888889,-15.6197222217
145.3258448257,-15.7569377842
145.3333,-15.75
145.3333,-15.75
145.3333,-15.75
145.4667,-16.0833
145.4667,-16.0833
145.65,-16.7167
145.65,-16.7167
145.685,-16.8725
145.7091763165,-16.7902654479
145.9667,-16.7667
145.9667,-16.7667
145.9667,-16.75
145.9667,-16.75
145.9925062296,-16.7569315606
145.6952778,-17.1836111
145.6953,-17.1836
145.6962140238,-17.1823676347
145.7,-17.2
145.7,-17.1833
145.7,-17.1833
145.7,-17.1833
145.90833333,-17.3416666695
145.6153,-17.7522
145.6161245965,-17.7508171947
145.8425103373,-17.5902616728
145.9167,-17.5167
145.9167,-17.5167
145.95,-17.67
145.8125,-18.1542
145.8658333333,-18.0552777772
145.8833,-18
146.2258416771,-18.4235905928
146.25,-18.25
146.25,-18.25
146.25,-18.25
146.25,-18.25
146.25,-18.25
146.2591740816,-18.2569244815
146.353044475,-19.0771189125
151.2692,-33.85889
151.2692,-33.8589
