"longitude","latitude"
142.37,-10.97
142.4167,-10.7667
142.4167,-10.75
142.4167,-10.75
142.4167,-10.75
142.4167,-10.75
142.4258684674,-10.756969178
142.45,-10.9167
142.459201609,-10.9236351404
142.263,-11.164
142.3667,-11.05
142.367753714,-11.048557835
142.37,-11.05
142.37,-11.05
142.37,-11.05
142.3758692776,-11.0569674246
142.41333333,-11.43777778
142.4667,-11.15
142.5258677259,-11.0736341778
142.5258677259,-11.0736341778
142.6591996424,-11.0569674804
142.2508715668,-11.9152963126
142.4333,-11.5167
142.4333,-11.5
142.4425357522,-11.5236316283
142.4592023218,-11.5902978934
142.4592023218,-11.5902978934
142.4592023218,-11.5902978934
142.4667,-11.65
142.4706,-11.5444
142.4758688928,-11.6569641596
142.5,-11.83
142.5,-11.8167
142.5,-11.8
142.5022185338,-11.8372240549
142.5092019769,-11.7402969795
142.5833,-11.75
142.6333,-11.9
142.6667,-11.8167
142.6667,-11.8
142.6667,-11.8
142.67,-11.82
142.67,-11.8
142.6758669706,-11.8069630681
142.6758669912,-11.8236296399
142.7667,-11.6
142.7758656739,-11.6069641036
142.7925322033,-11.6402972242
142.8141666667,-11.7644444444
142.8487,-11.9162
142.8487014369,-11.9162001216
142.8683333333,-11.9183333333
142.50109085,-12.16521691
142.5842018479,-12.2486273796
142.9667,-12.4667
142.9667,-12.4667
142.9738888889,-12.4330555556
143.017757761,-12.465213358
143.0258641411,-12.4736255414
143.07,-12.35
143.07,-12.35
143.07,-12.35
143.07,-12.35
143.0758634418,-12.3569594548
143.0925296143,-12.1236274157
142.4,-12.95
143.05,-12.5
143.05,-12.5
143.0591971625,-12.5069586412
143.11774879,-12.49854543
143.118333333333,-12.5005555555556
143.1191965087,-12.499180831
143.1258631184,-12.506958552
143.3,-13.8667
143.466666666667,-13.8833333333333
143.4667,-13.8833
143.4667,-13.8833
143.4758616192,-13.8902840059
143.85,-14.5333
143.85,-14.5333
143.85,-14.5333
143.85919202,-14.5402800653
144.8391666667,-15.1011111111
144.8391666667,-15.1011111111
144.8391666667,-15.1011111111
144.8392238,-15.10107817
144.8392238,-15.10107817
144.87,-15.28
144.87475132,-15.14214771
144.8758489434,-15.3069409282
144.91887139,-15.15274232
144.932183,-15.271083
144.934241,-15.265347
144.9392,-15.2697
144.9400147926,-15.2683298694
144.94638889,-15.26722222
144.94638889,-15.26722222
144.9464,-15.2672
145.01666667,-15.03333333
145.0167,-15.1667
145.021,-15.219
145.0425135233,-15.2236076518
145.0841797689,-15.2486074414
145.0841797689,-15.2486074414
145.0841797689,-15.2486074414
145.0925130254,-15.2569407162
145.1333,-15.25
145.1333,-15.25
145.1425124562,-15.2569406082
145.1667,-15.0667
145.1675,-15.0653
145.1675,-15.0653
145.17,-15.07
145.175845003,-15.0736081243
145.2167,-15.1167
145.2167,-15.1167
145.2167,-15.1167
145.2167,-15.1167
145.2167,-15.1167
145.2167,-15.1167
145.2258445379,-15.1236077706
145.2258445379,-15.1236077706
145.2333,-15.4667
145.2333,-15.4667
145.2333,-15.1
145.2333,-15.1
145.2338888889,-15.4519444444
145.235,-15.4525
145.242511679,-15.4236062463
145.25,-15.4667
145.25,-15.42
145.25,-15.0833
145.2508448976,-15.4152729362
145.2591774163,-15.0902745372
145.2756,-15.2892
145.2833,-15.3167
145.2925108789,-15.3236066335
145.3167,-15.2833
145.3258437543,-15.2902733961
145.3333,-15.2667
145.3333,-15.2333
145.3591767036,-15.2902733264
144.5,-15.5333
145.25,-15.5833
145.25,-15.5667
145.25,-15.5667
145.2591784207,-15.540272308
145.3,-15.5833
145.3,-15.5833
145.3,-15.5833
145.3,-15.5833
145.3,-15.5833
145.3091779604,-15.5902719568
145.3091779604,-15.5902719568
145.316666666667,-15.6
145.3167,-15.6
145.3258444736,-15.6069385062
145.3333,-15.5833
145.3333,-15.5833
145.3333,-15.5833
