"longitude","latitude"
142.7258663409,-11.723630153
132.8333,-12.85
132.45,-13.3167
132.5167,-12.975
132.5583,-13.3333
132.6417,-13.2917
132.6833,-12.9833
125.8333,-14.8
145.1667,-15.4333
145.2333,-15.1167
144,-15.6
138.2509239939,-17.4152843064
124.1833,-17.9833
145.984,-18.2522
145.9925106508,-18.273591852
146.0258435873,-18.2735917555
142.5008844862,-18.4986017025
130,-19
146.4833,-19.1333
139.209444444,-19.549166667
139.45,-20.8167
133.4167,-21.95
146.25,-22.1333
138.4426112865,-22.5902788306
150.6591345759,-22.7235606283
138.233333333,-23.305277778
138.2334367769,-23.3053165979
138.2486111,-23.3336111111
138.248611111,-23.333611111
138.355879349,-23.1510104
138.4631700873,-23.2177789175
138.537,-23.2859999993
146.35427466,-23.4046117493
138.36830556,-23.74166667
138.56599,-23.89181
138.5792,-23.8956
146.0841997964,-23.9152432695
149.0841604645,-23.7485640563
149.0841612837,-23.9152303501
149.0841612837,-23.9152303501
145.7508714619,-24.0819112034
144.8218920656,-24.8103322256
147.7519,-24.8019
147.7519,-24.8019
148,-24.9
148.0091805944,-24.9068998741
150.7367,-24.8064
150.7328238204,-25.2780742964
150.9333,-25.4167
150.9758098301,-25.4068857645
151.139,-25.274
153.1757775583,-25.2402101055
152.1667,-25.6333
152.771,-25.5769
136.0333,-26.2833
149.48111111,-26.27611111
149.6167,-26.4333
151.3263913728,-25.9867442088
151.6258044518,-26.1068815297
152.4757941635,-26.4568770492
152.9757849674,-26.1068755447
151.287946799,-26.737163936
151.8258049664,-26.7068795752
152.8833,-26.95
152.8924575558,-26.956874242
152.9167,-26.9
152.9257903989,-26.9568740895
152.9257904939,-26.9735407266
152.9358333333,-26.8983333325
152.9424565393,-26.9068740994
152.9424565393,-26.9068740994
151.9396940858,-27.0299340948
153.2924555091,-27.6235379463
153.445,-27.508
145.683333333333,-28.0666666666667
146.5757073468,-28.0252769975
151,-28.2167
151,-28.0333
151.0025,-28.2189
151.608948184,-28.0287202404
153.4167,-28.05
129.7333,-28.5333
150.764,-28.921
151.750817538,-28.5818777109
151.750817538,-28.5818777109
151.7897222222,-28.6097222214
151.7924836508,-28.5902108262
151.7967313618,-28.5820858879
151.8591490178,-28.540210527
151.9174817686,-28.581876865
151.9258166739,-28.8402099662
151.9924824715,-28.8568762798
152.1125,-28.9116666666667
152.505277777778,-28.5358333333333
152.8517,-28.9436
130.15,-29.4667
151.5667,-29.2833
151.5667,-29.2833
151.57,-29.28
151.6,-29.23333
151.6333,-29.3
151.6389,-29.29444
151.7,-29.31667
151.703,-29.228
152.1228,-28.9772
152.2333,-29.01667
152.85,-29.47
152.85,-29.4667
115.2211,-29.645
151.1333,-29.81667
151.1833,-29.83333
151.3833,-29.6
151.568,-29.6578
151.8833,-29.95
152,-29.48333
152.0667,-29.65
152.4167,-29.58333
153.336,-29.5758
153.35,-29.48333
149.8864,-30.33833
150.15,-30.2667
150.73,-30.4
150.7333,-30.4
150.7333,-30.4
150.7333,-30.4
150.9289,-30.0325
151.2333,-30.45
151.25,-30.08333
151.4167,-30.06667
151.438,-30.3167
151.5833,-30.16667
151.891,-30.035
151.9333,-30
152.15,-30.2833
152.1667,-30.35
152.2,-30.43333
152.2333,-30.43333
152.25,-30.45
153.1,-30.35
153.1069,-30.3583
153.107,-30.3583
153.17,-30.22
153.2,-30.16667
153.2167,-30
153.2167,-30
149.2167,-30.58333
149.25,-30.92
149.25,-30.91667
150.9167,-30.93333
150.9194,-30.55861
150.92,-30.93
151.5,-30.5
151.7992,-30.60056
151.8333,-30.56667
151.8667,-30.71667
151.8667,-30.53333
151.87,-30.72
151.8833,-30.55
151.9303,-30.66861
151.9317,-30.77535
151.9481,-30.52472
152.0333,-30.58333
152.05,-30.53333
152.07,-30.53
152.15,-30.78333
152.4,-30.48333
152.4,-30.4833
152.4167,-30.48333
138.7256,-31.4283
149.1231,-31.0792
150.3028,-31.2517
150.95,-31.1
150.95,-31.1
150.95,-31.1
151.58,-30.98
151.7667,-31.05
151.8167,-31.16667
152.2167,-31.15
152.22,-31.15
146.47,-31.9
148.65,-31.75
150.942,-31.833
152.8,-31.73333
152.8372,-31.54611
152.85,-31.6
148.6333,-32.0917
148.759,-32.24561
150.5409,-32.234
150.65,-32.4
150.7,-32.4
147.5667,-32.63333
148.85,-32.7
150.67,-32.48
150.85,-32.8333
151,-32.58
151.0667,-32.7333
151.1333,-32.7
151.2,-32.65
150.202,-33.423
150.2417,-33.47
151.1439,-33.34861
150.3697,-33.71
150.375,-33.5958
150.375,-33.5908
150.538,-33.487
150.65,-33.77
150.7306,-33.81078
150.7386,-33.7988
150.87,-33.77
150.87,-33.58
150.878,-33.5917
150.92,-33.92
150.92,-33.92
151.0028,-33.8681
151.0028,-33.8681
151.108,-33.72
151.23,-33.78
151.25,-33.9667
151.25,-33.68
151.273,-33.81
140.6144,-34.1142
146.2833,-34.1667
150.042,-34.0042
150.3232,-34.40543
150.35,-34.4167
150.4411,-34.44537
150.57,-34.2
150.9361,-34.07379
150.9833,-34.2167
150.15,-34.65
150.15,-34.65
150.1833,-34.6333
150.2,-34.6667
150.2,-34.65
150.2,-34.63
150.3833,-34.55
150.4149,-34.65847
148.8333,-35.4667
148.8333,-35.4667
148.8333,-35.4667
148.8667,-35.3
149.2139,-35.375
150.149,-35.078
150.1667,-35.0667
150.25,-35.0833
150.25,-35.0833
150.25,-35.08
150.3894,-35.0525
150.3894,-35.0525
150.3961,-35.0228
150.45,-35.4167
148.8222,-35.5917
149.6361,-35.84
149.9056,-35.9306
147.75,-36.0333
147.8,-36.0333
147.8333,-36
148.0417,-36.35
148.1833,-36.3667
149.55,-36.0833
149.55,-36.08
142.4333,-36.9167
145.92,-36.8283
146.8167,-36.7167
146.8333,-36.71667
146.9667,-36.65
147.2086,-36.8231
147.7667,-36.5
142.25,-37.3333
142.25,-37.3167
142.2609,-37.13853
142.2981,-37.33778
142.3349,-37.36303
142.5,-37.3667
142.5167,-37.13333
142.5333,-37.1167
142.5667,-37.3333
143.2167,-37.3
143.2167,-37.3
143.3833,-37.3833
143.9167,-37.4333
144.2622,-37.4175
144.2622,-37.4175
144.3167,-37.3667
149.8775,-37.3942
149.908,-37.3772
149.9081,-37.3772
149.9092,-37.4128
149.9503,-37.4186
141.3167,-37.6667
141.3167,-37.6667
141.3177,-37.66531
142.868,-37.53185
145.1292,-37.9486
147.7333,-37.5833
149.1833,-37.7333
149.2306,-37.7156
149.3667,-37.7333
145.1167,-38.15
145.166,-38.176
145.1664,-38.1758
145.1664,-38.17592
145.1667,-38.1667
145.1667,-38.1667
145.1833,-38.1667
145.1833,-38.15
145.2667,-38.2167
145.2969,-38.2944
145.3361,-38.3
146.0667,-37.9833
146.2833,-38.95
146.3667,-38.8667
146.4167,-38.8833
144.65,-40.93
144.6667,-40.9333
144.67,-40.95
144.7,-40.9
144.8344,-40.73196
144.6719,-41.0317
144.6844,-41.1653
144.6844,-41.13196
144.6883,-41.1314
144.689,-41.17
144.7399,-41.18335
144.74,-41.18343
144.8677,-41.2153
