"longitude","latitude"
142.1511489858,-10.6266927684
142.151207,-10.626764
142.225,-10.5749999997
142.2258703567,-10.5403043364
142.3669833333,-10.9673333329
131.301202515,-11.665266286
133.384336,-11.632046
133.384516573,-11.631919592
142.6258676232,-11.9069625614
142.7167,-11.65
142.7258662612,-11.6569638707
131.044261074,-12.226376746
131.084537087,-12.415268445
136.767857863,-12.181868547
130.638712306,-12.726933765
131.00273,-12.50322
131.005655556,-12.497416666
131.05,-12.62
131.051212351,-12.615265189
131.087037811,-12.734146068
131.101209165,-12.598600015
131.134537017,-12.848592768
131.17,-12.82
131.9758,-12.5358
131.9758,-12.5358
132.534343,-12.882045
132.534526401,-12.881913948
132.58833,-12.57045
132.984522218,-12.58191668
132.992802956,-12.690396901
133.251185612,-12.665252122
133.251186335,-12.748582838
133.284521068,-12.748584287
141.921111111,-12.5583333326
142.105833333,-12.6736111106
142.1092074984,-12.7069589453
131.15,-13.22
131.151213983,-13.21526362
131.184543682,-13.465265432
141.784269,-13.015363
130.434358,-13.482048
131.42,-13.85
132.5919,-13.5767
132.6633,-13.8446
143.25,-13.9167
143.4922496647,-13.5211192057
131.051211913,-14.031922326
131.834542759,-14.048588898
132.6139,-14.2182
125.8,-14.8
125.8,-14.8
125.80277778,-14.56944444
132.605097428,-14.618863325
132.75,-14.65
142.55758333,-14.8120249995
125,-15
125.18627,-15.07108
130.233046,-15.185839
131.3207,-15.4376
144.275,-15.4916666662
144.2833,-15.5
134.067871211,-16.365244388
134.1,-16.4667
134.101201799,-16.465243808
134.25119646,-16.46523714
125.35555556,-16.54166667
134.433333,-16.483333
145.2172392018,-16.5640141066
145.6647326484,-16.884709587
144.51444444,-17.16583333
145.4591804879,-17.2402641513
145.4167,-17.5333
145.4758480298,-17.6069292711
144.6658333333,-18.2230555556
144.4388337568,-18.9288789561
144.88,-18.88
144.8925256291,-18.8902596267
146.5133,-19.4622
144.1863452229,-19.524101024
145.5008539868,-19.4985890369
145.7375,-19.9278
146.1667,-20.05
148.5591524128,-20.2569097629
145.1758625714,-20.7235866253
145.2508611061,-20.5819200579
147.6258318395,-20.5069119906
146.1425193634,-21.1402486722
147.0841755885,-21.4152444602
147.9258300748,-21.0235759361
148.455833333,-21.2380555554
149.2091479521,-21.2902372319
149.2424799987,-21.0735711998
149.292480328,-21.3235701608
146.792513146,-21.5569118244
146.7925145917,-21.8902443007
147.0758446875,-21.956909711
148.4383763788,-21.78516022
148.7591565549,-21.9569033814
145.8928039584,-22.0096919564
147.0519562061,-21.9816319654
146.117805569,-22.9402447154
147.3597344604,-22.909406003
148.0091705655,-22.9235703501
149.532825226,-22.5819739293
149.5841491528,-22.7485646265
149.8424795966,-22.8735632768
145.9925313099,-23.3402445464
148.6886069228,-23.0794005864
150.0324781021,-23.1077285444
150.0483112272,-23.1088395908
150.0758103201,-22.99022871
150.47,-23.33
150.8167,-23.7333
150.9591348247,-23.6902232787
149.6133225291,-24.2471718441
151.9591239416,-24.340217489
144.7780877268,-24.9343578613
146.3833,-24.5167
147.193696801,-24.8422764063
147.4353,-24.9511
147.775849802,-24.8152343985
147.9827919368,-24.8860666911
148.4167,-24.7667
149.7583333333,-24.8083333326
149.7583333333,-24.8083333326
150.0091521556,-24.5735583471
150.1122065918,-24.6293911208
150.1333,-24.7
151.0458062006,-24.8985532149
151.3758011204,-24.8068853649
151.9333,-24.7
151.9424592983,-24.7068832524
